,AOEGJLWFISOZQ,AU2980AA60A2C,AJALV8WOILDPA
0,-100.0,-100.0,-100.0
13194,-100.0,-100.0,-100.0
13213,-100.0,-100.0,-100.0
13243,-100.0,-100.0,-100.0
13260,-100.0,-100.0,-100.0
13277,-100.0,-100.0,-100.0
13293,-100.0,-100.0,-100.0
13310,-100.0,-100.0,-100.0
13327,-100.0,-100.0,-100.0
13344,-100.0,-100.0,-100.0
13360,-100.0,-100.0,-100.0
13377,-100.0,-100.0,-100.0
13393,-100.0,-100.0,-100.0
13411,-100.0,-100.0,-100.0
14227,-100.0,-100.0,-100.0
14245,-100.0,-100.0,-100.0
14260,-100.0,-100.0,-100.0
14277,-100.0,-100.0,-100.0
14293,-100.0,-100.0,-100.0
14310,-100.0,-100.0,-100.0
14327,-100.0,-100.0,-100.0
14344,-100.0,-100.0,-100.0
14360,-100.0,-100.0,-100.0
14381,-100.0,-100.0,-100.0
14393,-100.0,-100.0,-100.0
14412,-100.0,-100.0,-100.0
58264,-100.0,-100.0,-100.0
58282,-100.0,-100.0,-100.0
58298,-100.0,-100.0,-100.0
58314,-100.0,-100.0,-100.0
58331,-100.0,-100.0,-100.0
58348,-100.0,-100.0,-100.0
58364,-100.0,-100.0,-100.0
58381,-100.0,-100.0,-100.0
58398,-100.0,-100.0,-100.0
58415,-100.0,-100.0,-100.0
58431,-100.0,-100.0,-100.0
58447,-100.0,-100.0,-100.0
58464,-100.0,-100.0,-100.0
58481,-100.0,-100.0,-100.0
61264,-100.0,-100.0,-100.0
61282,-100.0,-100.0,-100.0
61297,-100.0,-100.0,-100.0
61314,-100.0,-100.0,-100.0
61331,-100.0,-100.0,-100.0
61348,-100.0,-100.0,-100.0
61364,-100.0,-100.0,-100.0
61381,-100.0,-100.0,-100.0
61398,-100.0,-100.0,-100.0
61414,-100.0,-100.0,-100.0
61431,-100.0,-100.0,-100.0
61448,-100.0,-100.0,-100.0
61464,-100.0,-100.0,-100.0
61481,-100.0,-100.0,-100.0
98282,-100.0,-100.0,-100.0
98299,-100.0,-100.0,-100.0
98315,-100.0,-100.0,-100.0
98332,-100.0,-100.0,-100.0
98348,-100.0,-100.0,-100.0
98365,-100.0,-100.0,-100.0
98382,-100.0,-100.0,-100.0
98398,-100.0,-100.0,-100.0
98415,-100.0,-100.0,-100.0
98432,-100.0,-100.0,-100.0
98448,-100.0,-100.0,-100.0
98465,-100.0,-100.0,-100.0
98482,-100.0,-100.0,-100.0
98498,-100.0,-100.0,-100.0
98515,-100.0,-100.0,-100.0
98532,-100.0,-100.0,-100.0
98548,-100.0,-100.0,-100.0
98565,-100.0,-100.0,-100.0
98582,-100.0,-100.0,-100.0
