,AXKVHJHF1EOVT,AQNCH42WD4ITI,A1XY2JMPVJCF4,A93LDI16XJWI8
0,-100.0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0,-100.0
166828,-100.0,-100.0,-100.0,-100.0
166846,-100.0,-100.0,-100.0,-100.0
166894,-100.0,-100.0,-100.0,-100.0
166911,-100.0,-100.0,-100.0,-100.0
166928,-100.0,-100.0,-100.0,-100.0
166979,-100.0,-100.0,-100.0,-100.0
166994,-100.0,-100.0,-100.0,-100.0
167028,-100.0,-100.0,-100.0,-100.0
167128,-100.0,-100.0,-100.0,-100.0
167161,-100.0,-100.0,-100.0,-100.0
167195,-100.0,-100.0,-100.0,-100.0
167213,-100.0,-100.0,-100.0,-100.0
167261,-100.0,-100.0,-100.0,-100.0
167279,-100.0,-100.0,-100.0,-100.0
167446,-100.0,-100.0,-100.0,-100.0
167463,-100.0,-100.0,-100.0,-100.0
167482,-100.0,-100.0,-100.0,-100.0
167496,-100.0,-100.0,-100.0,-100.0
167516,-100.0,-100.0,-100.0,-100.0
167531,-100.0,-100.0,-100.0,-100.0
167547,-100.0,-100.0,-100.0,-100.0
167568,-100.0,-100.0,-100.0,-100.0
167697,-100.0,-100.0,-100.0,-100.0
167719,-99.0,-100.0,-100.0,-100.0
167737,-99.0,-100.0,-100.0,-100.0
167753,-99.0,-100.0,-100.0,-100.0
167765,-99.0,-100.0,-100.0,-100.0
167777,-97.0,-100.0,-100.0,-100.0
167785,-97.0,-100.0,-100.0,-100.0
167801,-97.0,-100.0,-100.0,-100.0
167802,-96.66666666666667,-100.0,-100.0,-100.0
167820,-96.33333333333333,-100.0,-100.0,-100.0
167826,-96.0,-100.0,-100.0,-100.0
167890,-96.0,-100.0,-100.0,-100.0
167902,-95.5,-100.0,-100.0,-100.0
167909,-95.0,-100.0,-100.0,-100.0
167920,-95.0,-100.0,-100.0,-100.0
167924,-95.0,-100.0,-100.0,-100.0
167952,-94.5,-100.0,-100.0,-100.0
167955,-94.0,-100.0,-100.0,-100.0
167967,-94.0,-100.0,-100.0,-100.0
167969,-93.66666666666667,-100.0,-100.0,-100.0
167985,-93.33333333333333,-100.0,-100.0,-100.0
167999,-93.0,-100.0,-100.0,-100.0
168006,-93.0,-100.0,-100.0,-100.0
168043,-92.0,-100.0,-100.0,-100.0
168083,-92.0,-100.0,-100.0,-100.0
168085,-91.5,-100.0,-100.0,-100.0
168105,-91.0,-100.0,-100.0,-100.0
168120,-91.0,-100.0,-100.0,-100.0
168135,-90.5,-100.0,-100.0,-100.0
168145,-90.0,-100.0,-100.0,-100.0
168178,-90.0,-100.0,-100.0,-100.0
168185,-89.5,-100.0,-100.0,-100.0
