,AUOV735LIDVBE,A1NJP8CPZQER4,A4FNENGCDFSOG,AF8GOPFSTWCH8
0,-100.0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0,-100.0
7659,-100.0,-100.0,-100.0,-100.0
7660,-100.0,-100.0,-100.0,-100.0
7677,-100.0,-100.0,-100.0,-100.0
7709,-100.0,-100.0,-100.0,-100.0
7761,-100.0,-100.0,-100.0,-100.0
7792,-100.0,-100.0,-100.0,-100.0
7913,-100.0,-100.0,-100.0,-100.0
7942,-100.0,-100.0,-100.0,-100.0
7981,-100.0,-100.0,-100.0,-100.0
8025,-100.0,-100.0,-100.0,-100.0
8042,-100.0,-100.0,-100.0,-100.0
8075,-100.0,-100.0,-100.0,-100.0
8092,-100.0,-100.0,-100.0,-100.0
8109,-100.0,-100.0,-100.0,-100.0
8125,-100.0,-100.0,-100.0,-100.0
8143,-100.0,-100.0,-100.0,-100.0
8226,-100.0,-100.0,-100.0,-100.0
8242,-100.0,-100.0,-100.0,-100.0
8258,-100.0,-100.0,-100.0,-100.0
8275,-100.0,-100.0,-100.0,-100.0
8292,-100.0,-100.0,-100.0,-100.0
8308,-100.0,-100.0,-100.0,-100.0
8325,-100.0,-100.0,-100.0,-100.0
8343,-100.0,-100.0,-100.0,-100.0
8442,-100.0,-100.0,-100.0,-100.0
8458,-100.0,-100.0,-100.0,-100.0
8477,-100.0,-100.0,-100.0,-100.0
8509,-100.0,-100.0,-100.0,-100.0
8658,-100.0,-100.0,-100.0,-100.0
8675,-100.0,-100.0,-100.0,-100.0
8690,-100.0,-100.0,-100.0,-100.0
8708,-100.0,-100.0,-100.0,-100.0
8726,-100.0,-100.0,-100.0,-100.0
8729,-100.0,-100.0,-100.0,-100.0
8788,-100.0,-100.0,-100.0,-100.0
8809,-100.0,-100.0,-100.0,-100.0
8825,-100.0,-100.0,-100.0,-100.0
8830,-100.0,-100.0,-100.0,-100.0
8843,-100.0,-100.0,-100.0,-100.0
8858,-100.0,-100.0,-100.0,-100.0
8874,-100.0,-100.0,-100.0,-100.0
8891,-100.0,-100.0,-100.0,-100.0
8991,-100.0,-100.0,-100.0,-100.0
9008,-100.0,-100.0,-100.0,-100.0
9014,-100.0,-100.0,-100.0,-100.0
9034,-100.0,-100.0,-100.0,-100.0
9041,-100.0,-100.0,-100.0,-100.0
9068,-100.0,-100.0,-100.0,-100.0
9081,-100.0,-100.0,-100.0,-100.0
9109,-100.0,-100.0,-100.0,-100.0
9191,-100.0,-100.0,-100.0,-100.0
9209,-100.0,-100.0,-100.0,-100.0
9226,-100.0,-100.0,-100.0,-100.0
9257,-100.0,-100.0,-100.0,-100.0
9272,-100.0,-100.0,-100.0,-100.0
