,AAUXQDLH9Z1YS,A3ST8XFT4X93K
0,-100.0,-100.0
5,-100.0,-100.0
52055,-100.0,-100.0
52080,-100.0,-100.0
52161,-100.0,-100.0
52217,-100.0,-100.0
52246,-100.0,-100.0
52280,-100.0,-100.0
52310,-100.0,-100.0
52419,-100.0,-100.0
52442,-100.0,-100.0
52511,-100.0,-100.0
52544,-100.0,-100.0
52599,-100.0,-100.0
52626,-100.0,-100.0
52709,-100.0,-100.0
52767,-100.0,-100.0
52790,-100.0,-100.0
52838,-100.0,-100.0
52862,-100.0,-100.0
52900,-100.0,-100.0
53038,-100.0,-100.0
53109,-100.0,-100.0
53134,-100.0,-100.0
53178,-100.0,-100.0
53232,-100.0,-100.0
53342,-100.0,-100.0
53367,-100.0,-100.0
53435,-100.0,-100.0
53464,-100.0,-100.0
53493,-100.0,-100.0
53512,-100.0,-100.0
53562,-100.0,-100.0
53584,-100.0,-100.0
53668,-100.0,-100.0
53709,-100.0,-100.0
53741,-100.0,-100.0
53815,-100.0,-100.0
53861,-100.0,-100.0
53885,-100.0,-100.0
53927,-100.0,-100.0
53971,-100.0,-100.0
53995,-100.0,-100.0
54050,-100.0,-100.0
54091,-100.0,-100.0
54111,-100.0,-100.0
54142,-100.0,-100.0
54162,-100.0,-100.0
54264,-100.0,-100.0
54324,-100.0,-100.0
54357,-100.0,-100.0
54421,-100.0,-100.0
54456,-100.0,-100.0
54561,-100.0,-100.0
54644,-100.0,-100.0
54710,-100.0,-100.0
54757,-100.0,-100.0
54811,-100.0,-100.0
54869,-100.0,-100.0
54933,-100.0,-100.0
54969,-100.0,-100.0
55022,-100.0,-100.0
55062,-100.0,-100.0
55083,-100.0,-100.0
55121,-100.0,-100.0
55141,-100.0,-100.0
55173,-100.0,-100.0
55199,-100.0,-100.0
55224,-100.0,-100.0
55254,-100.0,-100.0
55383,-100.0,-100.0
55510,-100.0,-100.0
55549,-100.0,-100.0
55656,-100.0,-100.0
55689,-100.0,-100.0
55806,-100.0,-100.0
55896,-100.0,-100.0
55916,-100.0,-100.0
55919,-100.0,-100.0
55947,-100.0,-100.0
55964,-100.0,-100.0
55981,-100.0,-100.0
55997,-100.0,-100.0
55999,-100.0,-100.0
56014,-100.0,-100.0
56028,-100.0,-100.0
56032,-100.0,-100.0
56047,-100.0,-100.0
56057,-100.0,-100.0
56074,-100.0,-100.0
56092,-100.0,-100.0
56107,-100.0,-100.0
56112,-100.0,-100.0
56125,-100.0,-100.0
56152,-100.0,-100.0
56156,-100.0,-100.0
56163,-100.0,-100.0
56183,-100.0,-100.0
56206,-100.0,-100.0
56223,-100.0,-100.0
56244,-100.0,-100.0
56261,-100.0,-100.0
56263,-100.0,-100.0
56279,-100.0,-100.0
56295,-100.0,-100.0
56309,-100.0,-100.0
56328,-100.0,-100.0
56343,-100.0,-100.0
56346,-100.0,-100.0
56362,-100.0,-100.0
56375,-100.0,-100.0
56379,-100.0,-100.0
56396,-100.0,-100.0
56405,-100.0,-100.0
56426,-100.0,-100.0
56445,-100.0,-100.0
56462,-100.0,-100.0
56476,-100.0,-100.0
56480,-100.0,-100.0
56496,-100.0,-100.0
56506,-100.0,-100.0
56508,-100.0,-100.0
56529,-100.0,-100.0
56546,-100.0,-100.0
56564,-100.0,-100.0
56571,-100.0,-100.0
56580,-100.0,-100.0
56596,-100.0,-100.0
56601,-100.0,-100.0
56612,-100.0,-100.0
56627,-100.0,-100.0
56647,-100.0,-100.0
56663,-100.0,-100.0
56664,-100.0,-100.0
56682,-100.0,-100.0
56688,-100.0,-100.0
56694,-100.0,-100.0
56713,-100.0,-100.0
56734,-100.0,-100.0
56748,-100.0,-100.0
56761,-100.0,-100.0
56764,-100.0,-100.0
56780,-100.0,-100.0
56796,-100.0,-100.0
56814,-100.0,-100.0
56829,-100.0,-100.0
56847,-100.0,-100.0
56863,-100.0,-100.0
56881,-100.0,-100.0
56898,-100.0,-100.0
56914,-100.0,-100.0
56929,-100.0,-100.0
56931,-100.0,-100.0
56948,-100.0,-100.0
56964,-100.0,-100.0
56980,-100.0,-100.0
56996,-100.0,-100.0
56998,-100.0,-100.0
57012,-100.0,-100.0
57017,-100.0,-100.0
57048,-100.0,-100.0
57061,-100.0,-100.0
57068,-100.0,-100.0
57080,-100.0,-100.0
57097,-100.0,-100.0
57100,-100.0,-100.0
57116,-100.0,-100.0
57135,-100.0,-100.0
57136,-100.0,-100.0
57158,-100.0,-100.0
57165,-100.0,-100.0
57195,-100.0,-100.0
57197,-100.0,-100.0
57215,-100.0,-100.0
57222,-100.0,-100.0
57230,-100.0,-100.0
57246,-100.0,-100.0
57248,-100.0,-100.0
57266,-100.0,-100.0
57282,-100.0,-100.0
57283,-100.0,-100.0
57299,-100.0,-100.0
57316,-100.0,-100.0
57326,-100.0,-100.0
57347,-100.0,-100.0
57353,-100.0,-100.0
57363,-100.0,-100.0
57379,-100.0,-100.0
57383,-100.0,-100.0
57394,-100.0,-100.0
57411,-100.0,-100.0
57413,-100.0,-100.0
57429,-100.0,-100.0
57438,-100.0,-100.0
57461,-100.0,-100.0
57464,-100.0,-100.0
57483,-100.0,-100.0
57498,-100.0,-100.0
57517,-100.0,-100.0
57527,-100.0,-100.0
57546,-100.0,-100.0
57550,-100.0,-100.0
57566,-100.0,-100.0
57567,-100.0,-100.0
57583,-100.0,-100.0
57595,-100.0,-100.0
57600,-100.0,-100.0
57617,-100.0,-100.0
57632,-100.0,-100.0
57643,-100.0,-100.0
57646,-100.0,-100.0
57663,-100.0,-100.0
57679,-100.0,-100.0
57684,-100.0,-100.0
57700,-100.0,-100.0
57711,-100.0,-100.0
57717,-100.0,-100.0
57734,-100.0,-100.0
57747,-100.0,-100.0
