,A3UTSRN8QLKWE,A3ST8XFT4X93K,A2YN6Z2DAW88X,A6PO7JT39QQGP
0,-100.0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0,-100.0
2,-100.0,-100.0,-100.0,-100.0
5990,-100.0,-100.0,-100.0,-100.0
6038,-100.0,-100.0,-100.0,-99.0
6135,-100.0,-100.0,-100.0,-98.0
6147,-100.0,-100.0,-100.0,-98.0
6158,-100.0,-100.0,-100.0,-96.0
6172,-100.0,-100.0,-100.0,-95.0
6214,-100.0,-100.0,-100.0,-95.0
6247,-100.0,-100.0,-100.0,-93.0
11850,-100.0,-100.0,-100.0,-93.0
11868,-100.0,-100.0,-100.0,-93.0
11909,-100.0,-100.0,-100.0,-93.0
11921,-100.0,-100.0,-100.0,-93.0
11957,-100.0,-100.0,-100.0,-93.0
11972,-100.0,-100.0,-100.0,-93.0
12018,-100.0,-100.0,-100.0,-93.0
12030,-100.0,-100.0,-100.0,-93.0
12058,-100.0,-100.0,-100.0,-93.0
12069,-100.0,-100.0,-100.0,-93.0
12101,-100.0,-100.0,-100.0,-93.0
12113,-100.0,-100.0,-100.0,-93.0
12147,-100.0,-100.0,-100.0,-93.0
12159,-100.0,-100.0,-100.0,-93.0
12193,-100.0,-100.0,-100.0,-93.0
12203,-100.0,-100.0,-100.0,-93.0
12237,-100.0,-100.0,-100.0,-93.0
12248,-100.0,-100.0,-100.0,-93.0
12252,-100.0,-100.0,-100.0,-93.0
12265,-100.0,-100.0,-100.0,-93.0
12298,-100.0,-100.0,-100.0,-93.0
12313,-100.0,-100.0,-100.0,-93.0
12348,-100.0,-100.0,-100.0,-93.0
12360,-100.0,-100.0,-100.0,-93.0
12402,-100.0,-100.0,-100.0,-93.0
12418,-100.0,-100.0,-100.0,-93.0
12452,-100.0,-100.0,-100.0,-93.0
12455,-100.0,-100.0,-100.0,-93.0
12488,-100.0,-100.0,-100.0,-93.0
12498,-100.0,-100.0,-100.0,-93.0
12530,-100.0,-100.0,-100.0,-93.0
12541,-100.0,-100.0,-100.0,-93.0
12574,-100.0,-100.0,-100.0,-93.0
12584,-100.0,-100.0,-100.0,-93.0
12614,-100.0,-100.0,-100.0,-93.0
12625,-100.0,-100.0,-100.0,-93.0
12655,-100.0,-100.0,-100.0,-93.0
12667,-100.0,-100.0,-100.0,-93.0
12689,-100.0,-100.0,-100.0,-93.0
12701,-100.0,-100.0,-100.0,-93.0
12734,-100.0,-100.0,-100.0,-93.0
12745,-100.0,-100.0,-100.0,-93.0
12778,-100.0,-100.0,-100.0,-93.0
12789,-100.0,-100.0,-100.0,-93.0
12823,-100.0,-100.0,-100.0,-93.0
12835,-100.0,-100.0,-100.0,-93.0
