,A1NRY8F9U4AYE,A3TDR6MXS6UO5,A2YP8M9VHFXZV
0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0
2304,-100.0,-100.0,-100.0
2344,-100.0,-100.0,-100.0
2380,-100.0,-100.0,-100.0
2398,-100.0,-100.0,-100.0
2438,-100.0,-100.0,-100.0
2457,-100.0,-100.0,-100.0
2474,-100.0,-100.0,-100.0
2490,-100.0,-100.0,-100.0
2509,-100.0,-100.0,-100.0
2526,-100.0,-100.0,-100.0
2544,-100.0,-100.0,-100.0
2551,-100.0,-100.0,-100.0
2568,-100.0,-100.0,-100.0
2585,-100.0,-100.0,-100.0
2603,-100.0,-100.0,-100.0
2621,-100.0,-100.0,-100.0
2639,-100.0,-100.0,-100.0
2655,-100.0,-100.0,-100.0
2673,-100.0,-100.0,-100.0
2691,-100.0,-100.0,-100.0
2708,-100.0,-100.0,-100.0
2726,-100.0,-100.0,-100.0
2744,-100.0,-100.0,-100.0
2760,-100.0,-100.0,-100.0
2767,-100.0,-100.0,-100.0
2785,-100.0,-100.0,-100.0
2803,-100.0,-100.0,-100.0
2821,-100.0,-100.0,-100.0
2838,-100.0,-100.0,-100.0
2855,-100.0,-100.0,-100.0
2873,-100.0,-100.0,-100.0
2891,-100.0,-100.0,-100.0
2908,-100.0,-100.0,-100.0
2926,-100.0,-100.0,-100.0
2942,-100.0,-100.0,-100.0
2961,-100.0,-100.0,-100.0
2977,-100.0,-100.0,-100.0
2985,-100.0,-100.0,-100.0
3003,-100.0,-100.0,-100.0
3019,-100.0,-100.0,-100.0
3037,-100.0,-100.0,-100.0
3055,-100.0,-100.0,-100.0
3073,-100.0,-100.0,-100.0
3090,-100.0,-100.0,-100.0
3108,-100.0,-100.0,-100.0
3126,-100.0,-100.0,-100.0
3142,-100.0,-100.0,-100.0
3160,-100.0,-100.0,-100.0
3179,-100.0,-100.0,-100.0
3186,-100.0,-100.0,-100.0
3203,-100.0,-100.0,-100.0
3220,-100.0,-100.0,-100.0
3237,-100.0,-100.0,-100.0
3255,-100.0,-100.0,-100.0
3273,-100.0,-100.0,-100.0
3290,-100.0,-100.0,-100.0
3306,-100.0,-100.0,-100.0
3325,-100.0,-100.0,-100.0
3342,-100.0,-100.0,-100.0
3360,-100.0,-100.0,-100.0
3374,-100.0,-100.0,-100.0
3378,-100.0,-100.0,-100.0
3395,-100.0,-100.0,-100.0
3412,-100.0,-100.0,-100.0
3414,-100.0,-100.0,-100.0
3419,-100.0,-100.0,-100.0
3434,-100.0,-100.0,-100.0
3437,-100.0,-100.0,-100.0
3454,-100.0,-100.0,-100.0
3455,-100.0,-100.0,-100.0
3472,-100.0,-100.0,-100.0
3475,-100.0,-100.0,-100.0
3490,-100.0,-100.0,-100.0
3494,-100.0,-100.0,-100.0
3507,-100.0,-100.0,-100.0
3520,-100.0,-100.0,-100.0
3524,-100.0,-100.0,-100.0
3534,-100.0,-100.0,-100.0
3544,-100.0,-100.0,-100.0
3554,-100.0,-100.0,-100.0
3561,-100.0,-100.0,-100.0
3574,-100.0,-100.0,-100.0
3577,-100.0,-100.0,-100.0
3594,-100.0,-100.0,-100.0
3612,-100.0,-100.0,-100.0
3615,-100.0,-100.0,-100.0
3620,-100.0,-100.0,-100.0
3635,-100.0,-100.0,-100.0
3636,-100.0,-100.0,-100.0
3655,-100.0,-100.0,-100.0
3673,-100.0,-100.0,-100.0
3674,-100.0,-100.0,-100.0
3689,-100.0,-100.0,-100.0
3694,-100.0,-100.0,-100.0
3706,-100.0,-100.0,-100.0
3714,-100.0,-100.0,-100.0
3725,-100.0,-100.0,-100.0
3735,-100.0,-100.0,-100.0
3742,-100.0,-100.0,-100.0
3755,-100.0,-100.0,-100.0
3759,-100.0,-100.0,-100.0
3775,-100.0,-100.0,-100.0
3779,-100.0,-100.0,-100.0
3794,-100.0,-100.0,-100.0
3811,-100.0,-100.0,-100.0
3815,-100.0,-100.0,-100.0
3835,-100.0,-100.0,-100.0
3855,-100.0,-100.0,-100.0
3875,-100.0,-100.0,-100.0
3895,-100.0,-100.0,-100.0
3915,-100.0,-100.0,-100.0
3935,-100.0,-100.0,-100.0
3956,-100.0,-100.0,-100.0
3976,-100.0,-100.0,-100.0
3996,-100.0,-100.0,-100.0
4016,-100.0,-100.0,-100.0
4397,-100.0,-100.0,-100.0
4418,-100.0,-100.0,-100.0
4421,-100.0,-100.0,-100.0
4437,-100.0,-100.0,-99.5
4441,-100.0,-100.0,-99.0
4457,-100.0,-100.0,-98.33333333333333
4477,-100.0,-100.0,-97.66666666666667
4486,-100.0,-100.0,-97.0
4497,-100.0,-100.0,-96.0
4517,-100.0,-100.0,-95.0
4534,-100.0,-100.0,-94.0
4537,-100.0,-100.0,-93.5
4551,-100.0,-100.0,-93.0
4557,-100.0,-100.0,-92.5
4568,-100.0,-100.0,-92.0
4577,-100.0,-100.0,-91.0
4586,-100.0,-100.0,-90.0
4597,-100.0,-100.0,-89.33333333333333
4618,-100.0,-100.0,-88.66666666666667
4620,-100.0,-100.0,-88.0
4638,-100.0,-100.0,-87.5
4639,-100.0,-100.0,-87.0
4658,-100.0,-100.0,-86.0
4673,-100.0,-100.0,-85.0
4678,-100.0,-100.0,-84.5
4679,-100.0,-100.0,-84.0
4697,-100.0,-100.0,-83.0
4698,-100.0,-100.0,-82.0
4716,-100.0,-100.0,-81.0
4718,-100.0,-100.0,-80.33333333333333
4738,-100.0,-100.0,-79.66666666666667
4751,-100.0,-100.0,-79.0
4758,-100.0,-100.0,-78.33333333333333
4780,-100.0,-100.0,-77.66666666666667
4786,-100.0,-100.0,-77.0
4798,-100.0,-100.0,-76.5
4803,-100.0,-100.0,-76.0
4818,-100.0,-100.0,-75.0
4838,-100.0,-100.0,-74.0
4855,-100.0,-100.0,-73.0
4879,-100.0,-100.0,-70.0
4896,-100.0,-100.0,-69.0
4898,-100.0,-100.0,-68.5
4915,-100.0,-100.0,-68.0
4918,-100.0,-100.0,-67.5
4933,-100.0,-100.0,-67.0
4938,-100.0,-100.0,-66.5
4948,-100.0,-100.0,-66.0
4958,-100.0,-100.0,-65.5
4966,-100.0,-100.0,-65.0
4978,-100.0,-100.0,-64.5
4984,-100.0,-100.0,-64.0
4998,-100.0,-100.0,-63.5
5001,-100.0,-100.0,-63.0
5019,-100.0,-100.0,-62.0
5020,-100.0,-100.0,-61.0
5036,-100.0,-100.0,-60.0
5038,-100.0,-100.0,-59.5
5055,-100.0,-100.0,-59.0
5059,-100.0,-100.0,-58.333333333333336
5079,-100.0,-100.0,-57.666666666666664
5089,-100.0,-100.0,-57.0
5096,-100.0,-100.0,-56.0
5099,-100.0,-100.0,-55.5
5113,-100.0,-100.0,-55.0
5118,-100.0,-100.0,-54.5
5132,-100.0,-100.0,-54.0
5138,-100.0,-100.0,-53.0
5159,-100.0,-100.0,-52.0
5166,-100.0,-100.0,-51.0
5178,-100.0,-100.0,-50.5
5183,-100.0,-100.0,-50.0
5199,-100.0,-100.0,-49.5
5201,-100.0,-100.0,-49.0
5220,-100.0,-100.0,-48.0
5236,-100.0,-100.0,-47.0
5253,-100.0,-100.0,-46.0
5260,-100.0,-100.0,-45.5
5271,-100.0,-100.0,-45.0
5279,-100.0,-100.0,-44.5
5289,-100.0,-100.0,-44.0
5295,-100.0,-100.0,-43.0
5300,-100.0,-100.0,-42.5
5312,-100.0,-100.0,-42.0
5319,-100.0,-100.0,-41.0
5330,-100.0,-100.0,-40.0
5340,-100.0,-100.0,-39.5
5350,-100.0,-100.0,-39.0
5360,-100.0,-100.0,-38.333333333333336
5380,-100.0,-100.0,-37.666666666666664
5383,-100.0,-100.0,-37.0
5399,-100.0,-100.0,-36.5
5400,-100.0,-100.0,-36.0
5418,-100.0,-100.0,-35.0
5420,-100.0,-100.0,-34.5
5435,-100.0,-100.0,-34.0
5439,-100.0,-100.0,-33.5
5452,-100.0,-100.0,-33.0
5460,-100.0,-100.0,-32.0
5470,-100.0,-100.0,-31.0
5480,-100.0,-100.0,-30.5
5488,-100.0,-100.0,-30.0
5499,-100.0,-100.0,-29.5
5505,-100.0,-100.0,-29.0
5519,-100.0,-100.0,-28.5
5522,-100.0,-100.0,-28.0
5541,-100.0,-100.0,-27.0
5548,-100.0,-100.0,-26.0
5561,-100.0,-100.0,-25.333333333333332
5580,-100.0,-100.0,-24.666666666666668
5583,-100.0,-100.0,-24.0
5599,-100.0,-100.0,-23.0
5601,-100.0,-100.0,-22.0
5620,-100.0,-100.0,-21.0
5635,-100.0,-100.0,-20.0
5640,-100.0,-100.0,-19.5
5652,-100.0,-100.0,-19.0
5661,-100.0,-100.0,-18.5
5670,-100.0,-100.0,-18.0
5680,-100.0,-100.0,-17.5
5686,-100.0,-100.0,-17.0
5700,-100.0,-100.0,-16.5
5705,-100.0,-100.0,-16.0
5721,-100.0,-100.0,-15.5
5729,-100.0,-100.0,-15.0
5740,-100.0,-100.0,-14.5
5748,-100.0,-100.0,-14.0
5760,-100.0,-100.0,-13.0
5764,-100.0,-100.0,-12.0
5780,-100.0,-100.0,-11.5
5781,-100.0,-100.0,-11.0
5799,-100.0,-100.0,-10.0
5801,-100.0,-100.0,-9.333333333333334
5820,-100.0,-100.0,-8.666666666666666
5834,-100.0,-100.0,-8.0
5841,-100.0,-100.0,-7.5
5852,-100.0,-100.0,-7.0
5861,-100.0,-100.0,-6.5
5869,-100.0,-100.0,-6.0
5881,-100.0,-100.0,-5.5
5892,-100.0,-100.0,-5.0
5901,-100.0,-100.0,-4.5
5906,-100.0,-100.0,-4.0
5922,-100.0,-100.0,-3.5
5926,-100.0,-100.0,-3.0
5940,-100.0,-100.0,-2.0
5942,-100.0,-100.0,-1.5
5950,-100.0,-100.0,-1.0
5962,-100.0,-100.0,-1.0
5967,-100.0,-100.0,-1.0
5989,-100.0,-100.0,0.0
6009,-100.0,-100.0,0.0
6017,-100.0,-100.0,1.0
6034,-100.0,-100.0,2.0
6052,-100.0,-100.0,3.0
6068,-100.0,-100.0,5.0
6085,-100.0,-100.0,6.0
6103,-100.0,-100.0,7.0
6122,-100.0,-100.0,8.0
6139,-100.0,-100.0,9.0
6156,-100.0,-100.0,10.0
6162,-100.0,-100.0,11.0
6186,-100.0,-100.0,12.0
6206,-100.0,-100.0,13.0
6220,-100.0,-100.0,13.0
6233,-100.0,-100.0,15.0
6242,-100.0,-100.0,15.5
6250,-100.0,-100.0,16.0
6263,-100.0,-100.0,16.5
6267,-100.0,-100.0,17.0
6282,-100.0,-100.0,17.5
6285,-100.0,-100.0,18.0
6303,-100.0,-100.0,19.0
6320,-100.0,-100.0,20.0
6322,-100.0,-100.0,20.5
6341,-100.0,-100.0,21.0
6343,-100.0,-100.0,21.5
6355,-100.0,-100.0,22.0
6363,-100.0,-100.0,22.5
6373,-100.0,-100.0,23.0
6379,-100.0,-100.0,25.0
6383,-100.0,-100.0,25.5
6399,-100.0,-100.0,26.0
6403,-100.0,-100.0,26.5
6414,-100.0,-100.0,27.0
6423,-100.0,-100.0,27.5
6431,-100.0,-100.0,28.0
6443,-100.0,-100.0,28.5
6449,-100.0,-100.0,29.0
6463,-100.0,-100.0,29.5
6467,-100.0,-100.0,30.0
6482,-100.0,-100.0,30.5
6484,-100.0,-100.0,31.0
6502,-100.0,-100.0,32.0
6518,-100.0,-100.0,34.0
6523,-100.0,-100.0,34.5
6537,-100.0,-100.0,35.0
6544,-100.0,-100.0,35.5
6554,-100.0,-100.0,36.0
6563,-100.0,-100.0,36.5
6571,-100.0,-100.0,37.0
6579,-100.0,-100.0,38.0
6584,-100.0,-100.0,38.5
6596,-100.0,-100.0,39.0
6604,-100.0,-100.0,39.5
6613,-100.0,-100.0,40.0
6624,-100.0,-100.0,40.5
6631,-100.0,-100.0,41.0
6644,-100.0,-100.0,41.5
6649,-100.0,-100.0,42.0
6664,-100.0,-100.0,42.5
6666,-100.0,-100.0,43.0
6683,-100.0,-100.0,45.0
6684,-100.0,-100.0,45.5
6702,-100.0,-100.0,46.0
6704,-100.0,-100.0,46.5
6718,-100.0,-100.0,47.0
6724,-100.0,-100.0,47.5
6736,-100.0,-100.0,48.0
6744,-100.0,-100.0,48.5
6754,-100.0,-100.0,49.0
6764,-100.0,-100.0,49.5
6771,-100.0,-100.0,50.0
6784,-100.0,-100.0,50.5
6789,-100.0,-100.0,51.0
6804,-100.0,-100.0,51.5
6806,-100.0,-100.0,52.0
6812,-100.0,-100.0,53.0
6824,-100.0,-100.0,54.0
6830,-100.0,-100.0,55.0
6844,-100.0,-100.0,55.5
6848,-100.0,-100.0,56.0
6864,-100.0,-100.0,56.5
6866,-100.0,-100.0,57.0
6883,-100.0,-100.0,58.0
6884,-100.0,-100.0,58.5
6900,-100.0,-100.0,59.0
6905,-100.0,-100.0,59.5
6918,-100.0,-100.0,60.0
6925,-100.0,-100.0,60.5
6935,-100.0,-100.0,61.0
6945,-100.0,-100.0,61.5
6953,-100.0,-100.0,62.0
6965,-100.0,-100.0,63.0
6971,-100.0,-100.0,64.0
6985,-100.0,-100.0,65.0
7005,-100.0,-100.0,66.0
7011,-100.0,-100.0,67.0
7025,-100.0,-100.0,67.5
7030,-100.0,-100.0,68.0
