Time(sec),AH00EJ6PK1H3A
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-95.4875
16.0,-86.0
17.0,-90.64117647058823
18.0,-93.0
19.0,-93.0
20.0,-93.0
21.0,-93.0
22.0,-93.0
23.0,-93.0
24.0,-93.0
25.0,-93.0
26.0,-93.0
27.0,-93.0
28.0,-93.0
29.0,-93.0
30.0,-93.0
31.0,-93.0
32.0,-93.0
33.0,-92.73333333333335
34.0,-90.85416666666666
35.0,-81.14166666666668
36.0,-74.80024509803921
37.0,-62.59173721015827
38.0,-78.475
39.0,-88.56458333333333
40.0,-91.0
41.0,-91.0
42.0,-91.0
43.0,-91.0
44.0,-95.86363636363636
45.0,-97.0
46.0,-97.0
47.0,-97.0
48.0,-97.0
49.0,-97.0
50.0,-97.0
51.0,-97.0
52.0,-97.0
53.0,-97.0
54.0,-97.0
55.0,-97.0
56.0,-97.0
57.0,-97.0
58.0,-97.0
59.0,-98.00769230769231
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-100.0
80.0,-100.0
81.0,-100.0
82.0,-100.0
83.0,-100.0
84.0,-100.0
85.0,-100.0
86.0,-100.0
87.0,-100.0
88.0,-100.0
89.0,-100.0
90.0,-100.0
91.0,-100.0
92.0,-100.0
93.0,-100.0
94.0,-100.0
95.0,-95.32794871794871
96.0,-94.0
97.0,-94.0
98.0,-94.0
99.0,-94.0
100.0,-94.0
101.0,-94.0
102.0,-94.0
103.0,-94.0
104.0,-94.0
105.0,-94.0
106.0,-94.0
107.0,-94.0
108.0,-94.0
109.0,-94.0
110.0,-94.0
111.0,-94.0
112.0,-94.0
113.0,-94.0
114.0,-94.0
115.0,-94.0
116.0,-94.0
117.0,-94.0
118.0,-94.0
119.0,-94.0
120.0,-94.0
121.0,-94.0
122.0,-94.0
123.0,-94.0
124.0,-94.0
125.0,-94.0
126.0,-94.0
127.0,-94.0
128.0,-94.0
129.0,-94.0
130.0,-94.0
131.0,-94.0
132.0,-94.0
133.0,-98.68333333333332
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-100.0
154.0,-100.0
155.0,-100.0
156.0,-100.0
157.0,-100.0
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-100.0
172.0,-97.75
173.0,-90.0
174.0,-90.0
175.0,-90.0
176.0,-96.38636363636364
177.0,-97.0
178.0,-97.0
179.0,-97.0
180.0,-97.89375
181.0,-100.0
