Time(sec),AD2M4BF7KYVQW
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-97.175
9.0,-96.0
10.0,-96.0
11.0,-96.0
12.0,-96.0
13.0,-96.0
14.0,-96.0
15.0,-96.0
16.0,-96.0
17.0,-96.0
18.0,-96.0
19.0,-96.0
20.0,-96.0
21.0,-96.0
22.0,-96.0
23.0,-96.0
24.0,-96.0
25.0,-96.0
26.0,-96.0
27.0,-96.0
28.0,-96.0
29.0,-96.0
30.0,-96.0
31.0,-96.0
32.0,-96.0
33.0,-96.0
34.0,-96.0
35.0,-96.0
36.0,-96.0
37.0,-96.0
38.0,-96.0
39.0,-96.0
40.0,-96.0
41.0,-96.0
42.0,-96.0
43.0,-96.0
44.0,-96.0
45.0,-96.0
46.0,-96.0
47.0,-96.0
48.0,-96.0
49.0,-96.0
50.0,-96.0
51.0,-96.0
52.0,-96.0
53.0,-96.0
54.0,-93.47454658647315
55.0,-71.37276785714286
56.0,-50.909898989898984
57.0,-33.0
58.0,-28.095476190476194
59.0,8.708333333333332
60.0,12.333333333333332
61.0,12.333333333333332
62.0,12.333333333333332
63.0,12.333333333333332
64.0,12.333333333333334
65.0,
66.0,
67.0,
68.0,
69.0,
70.0,
71.0,
72.0,
73.0,
74.0,
75.0,
76.0,
77.0,
78.0,
79.0,
80.0,
81.0,
82.0,-20.728813559322035
83.0,-23.10828625235405
84.0,-25.61299435028248
85.0,-28.117702448210917
86.0,-30.622410546139356
87.0,-40.077188552188545
88.0,-60.837493788890846
89.0,-84.15333333333334
90.0,-99.825
91.0,-100.0
92.0,-100.0
93.0,-100.0
94.0,-100.0
95.0,-100.0
96.0,-100.0
97.0,-100.0
98.0,-100.0
99.0,-100.0
100.0,-100.0
101.0,-100.0
102.0,-100.0
103.0,-100.0
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-100.0
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-100.0
154.0,-100.0
155.0,-100.0
156.0,-100.0
157.0,-100.0
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-100.0
172.0,-100.0
173.0,-100.0
174.0,-100.0
175.0,-100.0
176.0,-100.0
177.0,-100.0
178.0,-100.0
179.0,-100.0
180.0,-100.0
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
