Time(sec),ABB9DYBUWGNNX
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-98.05386141636141
8.0,-72.67259220664393
9.0,-70.55252030578117
10.0,-65.95652173913045
11.0,-65.95652173913045
12.0,-26.575374469848963
13.0,-9.0
14.0,-9.0
15.0,22.38609066859067
16.0,81.86583333333333
17.0,90.11310125546967
18.0,93.0
19.0,93.0
20.0,93.0
21.0,93.0
22.0,93.0
23.0,77.52714285714285
24.0,79.37275793650795
25.0,96.0
26.0,96.0
27.0,96.0
28.0,96.0
29.0,96.0
30.0,96.0
31.0,96.0
32.0,96.0
33.0,96.0
34.0,96.0
35.0,96.0
36.0,96.0
37.0,96.0
38.0,96.0
39.0,83.50682865418895
40.0,80.1644212962963
41.0,84.0
42.0,84.0
43.0,84.0
44.0,84.0
45.0,81.10364006916996
46.0,67.04629629629629
47.0,66.99
48.0,38.71714285714286
49.0,22.0
50.0,22.0
51.0,20.603796992481204
52.0,-5.622727272727273
53.0,-6.41875
54.0,-28.505540935672514
55.0,-65.14166666666667
56.0,-82.9
57.0,-39.50197627151431
58.0,46.90119047619048
59.0,60.30847763347764
60.0,79.30470085470085
61.0,81.90555555555555
62.0,73.45106060606061
63.0,96.3521421911422
64.0,97.18923076923078
65.0,97.18923076923078
66.0,97.18923076923078
67.0,97.18923076923078
68.0,97.18923076923078
69.0,97.18923076923078
70.0,97.18923076923078
71.0,97.18923076923078
72.0,97.18923076923078
73.0,99.1366227106227
74.0,100.0
75.0,100.0
76.0,100.0
77.0,100.0
78.0,100.0
79.0,100.0
80.0,100.0
81.0,100.0
82.0,100.0
83.0,100.0
84.0,100.0
85.0,100.0
86.0,100.0
87.0,100.0
88.0,100.0
89.0,100.0
90.0,100.0
91.0,100.0
92.0,100.0
93.0,100.0
94.0,100.0
95.0,100.0
96.0,100.0
97.0,100.0
98.0,100.0
99.0,100.0
100.0,100.0
101.0,100.0
102.0,100.0
103.0,100.0
104.0,100.0
105.0,100.0
106.0,100.0
107.0,100.0
108.0,100.0
109.0,100.0
110.0,100.0
111.0,100.0
112.0,100.0
113.0,99.4316239316239
114.0,98.86324786324785
115.0,98.86324786324785
116.0,98.86324786324785
117.0,98.86324786324785
118.0,98.86324786324785
119.0,98.86324786324785
120.0,98.86324786324785
121.0,98.86324786324785
122.0,85.16920109211776
123.0,33.87220238095238
124.0,-5.639376851218957
125.0,-36.73252663350864
126.0,17.360577806696227
127.0,43.0
128.0,43.0
129.0,52.40999999999999
130.0,73.0
131.0,91.28928571428571
132.0,96.0
133.0,96.0
134.0,96.0
135.0,96.0
136.0,96.0
137.0,96.0
138.0,96.0
139.0,96.0
140.0,96.0
141.0,96.0
142.0,96.0
143.0,96.0
144.0,96.0
145.0,96.0
146.0,96.0
147.0,96.0
148.0,96.0
149.0,96.0
150.0,96.0
151.0,96.0
152.0,96.0
153.0,96.0
154.0,96.0
155.0,96.0
156.0,96.0
157.0,96.0
158.0,96.0
159.0,96.0
160.0,96.0
161.0,96.0
162.0,96.0
163.0,96.0
164.0,96.0
165.0,96.0
166.0,96.0
167.0,96.0
168.0,96.0
169.0,96.0
170.0,96.0
171.0,96.0
172.0,94.69999999999999
173.0,91.66666666666666
174.0,91.66666666666666
175.0,81.37857142857143
176.0,66.6125
177.0,57.0
178.0,57.0
