Time(sec),A1A43SKHDYO3Y
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-99.54166666666666
6.0,-95.6902564102564
7.0,-98.00326086956521
8.0,-98.37282608695651
9.0,-98.74239130434783
10.0,-99.11195652173913
11.0,-99.4445652173913
12.0,-99.5
13.0,-99.5
14.0,-99.5
15.0,-99.5
16.0,-99.5
17.0,-96.5
18.0,-87.50666666666666
19.0,-81.02222222222221
20.0,
21.0,-50.55
22.0,-26.53666666666667
23.0,-36.01011904761905
24.0,-41.86857334525939
25.0,-68.2051282051282
26.0,-62.710705128205134
27.0,-96.16333333333336
28.0,-96.70000000000002
29.0,-96.7
30.0,-96.70000000000002
31.0,-96.70000000000002
32.0,-96.7
33.0,-81.64954545454546
34.0,-78.31756833036245
35.0,-61.371875
36.0,-51.675714285714285
37.0,-34.63525944643592
38.0,-5.5787784679089025
39.0,-22.89337121212121
40.0,-28.31818181818182
41.0,
42.0,-50.44166666666667
43.0,-60.45016317016317
44.0,-99.7
45.0,-70.83368978000557
46.0,-63.289473684210535
47.0,-41.23319530443757
48.0,-32.79411764705883
49.0,-22.815727382149685
50.0,-19.071014492753623
51.0,-7.823668954996185
52.0,20.5
53.0,-35.70902777777778
54.0,-99.68492063492064
55.0,-92.76543209876542
56.0,
57.0,-7.898148148148148
58.0,5.5
59.0,5.5
60.0,5.5
61.0,5.5
62.0,5.5
63.0,3.91
64.0,-43.474566181545086
65.0,-99.8276
66.0,-100.0
67.0,-74.72005697121507
68.0,-14.496007453567938
69.0,-0.09722222222222214
70.0,9.0
71.0,9.0
72.0,9.0
73.0,9.0
74.0,9.0
75.0,9.0
76.0,9.0
77.0,9.0
78.0,9.0
79.0,10.582419786096256
80.0,58.689583333333324
81.0,77.0
82.0,77.0
83.0,58.41953674948239
84.0,27.6
85.0,27.6
86.0,21.303956043956045
87.0,2.1964803312629404
88.0,-12.64285714285714
89.0,-12.64285714285714
90.0,-26.24461940836941
91.0,-93.76880952380952
92.0,-100.0
93.0,-100.0
94.0,-59.31276031512633
95.0,-9.6356529693217
96.0,-6.058823529411765
97.0,-6.058823529411765
98.0,-6.058823529411765
99.0,7.183970588235295
100.0,33.220454545454544
101.0,52.07175324675325
102.0,69.75
103.0,27.016666666666662
104.0,20.0
105.0,6.2600000000000025
106.0,3.45
107.0,3.45
108.0,3.45
109.0,3.45
110.0,3.45
111.0,1.5986904761904759
112.0,-26.071428571428573
113.0,-50.580357142857146
114.0,-51.58125
115.0,-64.76561688311688
116.0,-82.47380952380952
117.0,-79.44166666666668
118.0,-97.91776223776223
119.0,-99.74166666666666
120.0,-76.86375374625375
121.0,-70.0
122.0,-70.0
123.0,-70.0
124.0,-70.0
125.0,-70.0
126.0,-70.0
127.0,-70.0
128.0,-70.0
129.0,-70.0
130.0,-70.0
131.0,-70.0
132.0,-70.0
133.0,-70.0
134.0,-70.0
135.0,-70.0
136.0,-70.0
137.0,-70.0
138.0,-70.0
139.0,-70.0
140.0,-70.0
141.0,-70.0
142.0,-70.0
143.0,-70.0
144.0,-70.0
145.0,-70.0
146.0,-70.0
147.0,-70.0
148.0,-70.0
149.0,-70.0
150.0,-70.0
151.0,-70.0
152.0,-70.0
153.0,-70.0
154.0,-70.0
155.0,-70.0
156.0,-70.0
157.0,-70.0
158.0,-70.0
159.0,-70.0
160.0,-70.0
161.0,-70.0
162.0,-70.0
163.0,-70.0
164.0,-70.0
165.0,-70.0
166.0,-70.0
167.0,-70.0
168.0,-70.0
169.0,-70.0
170.0,-70.0
171.0,-70.0
172.0,-70.0
173.0,-70.0
174.0,-70.0
175.0,-70.0
176.0,-70.0
177.0,-70.0
178.0,-70.0
179.0,-70.0
180.0,-70.0
181.0,-70.0
182.0,-70.0
183.0,-70.0
184.0,-70.0
185.0,-70.0
186.0,-70.0
