Time(sec),A1UH47OTAH2RT
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-98.98333333333335
4.0,-97.58333333333334
5.0,-97.39166666666668
6.0,-95.66666666666666
7.0,-95.66666666666666
8.0,
9.0,
10.0,
11.0,
12.0,
13.0,
14.0,
15.0,
16.0,
17.0,
18.0,
19.0,
20.0,
21.0,
22.0,
23.0,
24.0,
25.0,
26.0,
27.0,-80.23745173745175
28.0,-80.66795366795368
29.0,
30.0,
31.0,
32.0,-80.66795366795367
33.0,
34.0,
35.0,
36.0,
37.0,
38.0,
39.0,
40.0,
41.0,
42.0,
43.0,
44.0,
45.0,
46.0,
47.0,
48.0,
49.0,
50.0,
51.0,
52.0,
53.0,
54.0,
55.0,
56.0,
57.0,
58.0,
59.0,
60.0,
61.0,
62.0,
63.0,
64.0,
65.0,
66.0,
67.0,
68.0,
69.0,
70.0,
71.0,
72.0,
73.0,
74.0,
75.0,
76.0,
77.0,
78.0,
79.0,
80.0,
81.0,
82.0,
83.0,
84.0,
85.0,
86.0,
87.0,
88.0,
89.0,
90.0,
91.0,
92.0,
93.0,
94.0,
95.0,
96.0,
97.0,
98.0,
99.0,-42.53333333333333
100.0,-41.800000000000004
101.0,
102.0,
103.0,
104.0,
105.0,
106.0,-22.12272727272727
107.0,-10.831818181818182
108.0,
109.0,
110.0,
111.0,
112.0,
113.0,
114.0,
115.0,
116.0,59.5
117.0,59.5
118.0,59.5
119.0,59.5
120.0,59.5
121.0,59.52393617021276
122.0,59.577127659574465
123.0,59.63031914893617
124.0,59.68351063829787
125.0,59.736702127659576
126.0,59.78989361702128
127.0,59.84308510638298
128.0,59.89627659574468
129.0,59.949468085106375
130.0,59.99468085106383
131.0,60.0
132.0,60.0
133.0,60.0
134.0,60.0
135.0,60.0
136.0,60.0
137.0,60.0
138.0,60.0
139.0,60.0
140.0,60.0
141.0,60.0
142.0,60.0
143.0,60.0
144.0,60.0
145.0,60.0
146.0,60.0
147.0,60.0
148.0,60.0
149.0,60.0
150.0,60.0
151.0,60.0
152.0,60.0
153.0,60.0
154.0,60.0
155.0,60.0
156.0,60.0
157.0,60.0
158.0,60.0
159.0,60.0
160.0,60.0
161.0,60.0
162.0,60.0
163.0,60.0
164.0,60.0
165.0,60.0
166.0,60.0
167.0,60.0
168.0,60.0
169.0,60.0
170.0,60.0
171.0,60.0
172.0,60.0
173.0,60.0
174.0,60.0
175.0,60.0
176.0,60.0
177.0,60.0
178.0,60.0
179.0,60.0
180.0,60.0
181.0,60.0
182.0,60.0
183.0,60.0
184.0,60.0
185.0,60.0
186.0,60.0
187.0,60.0
188.0,60.0
189.0,60.0
190.0,60.0
191.0,60.0
192.0,60.0
193.0,60.0
194.0,60.0
195.0,60.0
196.0,60.0
197.0,60.0
198.0,60.0
199.0,60.0
200.0,60.0
201.0,60.0
202.0,60.0
203.0,60.0
204.0,60.0
205.0,60.0
206.0,60.0
207.0,60.0
208.0,60.0
209.0,60.0
210.0,60.0
211.0,60.0
212.0,60.0
213.0,60.0
214.0,60.0
215.0,60.0
216.0,60.0
217.0,60.0
218.0,60.0
219.0,60.0
220.0,60.0
221.0,60.0
222.0,60.0
223.0,60.0
224.0,60.0
225.0,60.0
226.0,60.0
227.0,60.0
228.0,60.0
229.0,60.0
230.0,60.0
231.0,60.0
232.0,60.0
233.0,60.0
234.0,60.0
235.0,60.0
