Time,Value
0.0,-99.916334805579
0.0,
1e-05,
28.99999,
29.0,-92.27006304311074
29.0,-92.27006304311074
29.00001,
36.97753468911672,
37.99999,
38.0,-90.166670000783
38.994728798570506,-90.166670000783
39.0,-90.16671896682345
39.00001,
360.9961621464302,
360.99616223620535,
360.99999,
361.0,-93.14887452671233
361.0,-93.14887452671233
361.00001,
362.99999,
363.0,-88.4691586021779
363.9697847609329,-86.20000000762366
363.9999999968174,-86.20000000762356
364.0,-86.20000001366749
364.00001,
368.99999,
369.0,-95.69526591158599
370.7402009190169,-98.99999999995951
604.5,-98.99999999995954
605.0,-98.99999999995954
