Time,Value
0.0,-99.99977272727271
218.31742016138764,-99.99977272727271
223.61790341254158,-76.15625000051386
224.99999517227715,-76.15625000051391
225.0,-76.15619865658931
225.00001,
227.99999,
227.99999874250167,-44.250533373789494
228.0,-44.250533373789494
230.0,-44.25053337378943
230.00001,
231.99999,
232.0,-44.250533373789374
233.7923299175808,-44.25053337378932
235.0,-45.380447373038486
235.00001,
288.99999,
289.0,-95.90364642192837
292.30943203218885,-99.00000000157743
532.5,-99.00000000157745
533.0,-99.00000000157745
