Time,Value
0.0,-96.55726454545454
53.6419696758806,-96.55726454545454
59.73496540549567,12.333329999990385
63.99999999760278,12.333329999990491
64.0,12.33332999543227
64.00001,
81.99999,
82.0,-21.892941134805888
85.99999999999297,-29.498779163734326
85.99999999999535,-29.498779163734323
90.45018829849488,-99.97604491914468
398.67723783486605,-99.9760449191446
402.89797868764487,-1.3397750000003723
403.6307093012459,-1.3397750000002393
415.0,51.82865268529325
415.00001,
416.99999,
417.0,61.1816420835008
424.59052548674583,96.67869428567974
430.0,96.67869428567974
430.00001,
486.3067414072432,
489.99999,
490.0,75.39925587430096
506.0,-16.78790243889911
506.00001,
511.57746686616235,
512.99999,
513.0,-48.92357874999515
527.7228241676319,-48.923578749995066
533.8198767984977,16.65851428570204
540.0,16.658514285702072
