Time,Value
0.0,-99.81395348837208
39.0,-99.81395348837208
39.00001,
45.99999,
46.0,-99.81395348837208
46.0,-99.81395348837208
46.00001,
150.99999,
151.0,-99.81395348837208
151.84930229916114,-99.81395348837208
152.0,-99.49999999526172
152.00001,
161.5600007292441,
161.99999,
162.0,-79.58333500053038
162.0,-79.58333500053038
162.00001,
162.85863398426002,
208.99999,
209.0,-80.95615514287461
210.0,-80.98590762445211
210.00001,
510.99999,
511.0,-89.94140457928114
511.0,-89.94140457928114
511.00001,
521.99999,
522.0,-90.26868187663369
522.0,-90.26868187663369
522.00001,
534.99999,
535.0,-90.65546413714127
535.9999999993404,-90.68521661869914
535.999999999887,-90.68521661869914
536.0,-90.68521661868455
536.00001,
579.9996618664072,
579.99999,
580.0,-85.00004368998094
600.0,-85.00004368998094
