Time,Value
0.0,-100.0
191.27889229078892,-100.0
197.70927415073982,-56.3155085716362
203.64971560756396,-56.315508571636094
205.0,5.773929999581014
206.0,5.7739299995809565
206.00001,
209.33972323094838,
209.99999,
210.0,14.642860000099542
210.9999999999854,28.074999999706048
212.0,28.07499999970611
213.0,6.9740700000438665
213.9045612218095,6.9740700000438665
216.7652652682591,64.49237249997805
219.90387815889898,64.49237249997805
221.93955924290333,33.179180000534416
221.99999961805267,33.17918000053435
222.99999999999991,-5.4625000000942245
225.0,-5.462500000094244
225.00001,
226.99999,
227.0,-5.462500000094264
231.6986776456667,-5.462500000094309
233.95454960273037,-20.62357249995784
236.8598836660532,-20.623572499957874
238.0,-33.77053851355996
238.00001,
242.99999,
243.0,-91.42678648647795
243.6920800446259,-99.40733422048972
244.0,-99.40733422048972
244.00001,
263.99999,
264.0,-99.40733422048969
264.0,-99.40733422048969
264.00001,
271.99999,
272.0,-99.40733422048967
422.2424037139657,-99.40733422048949
423.0,-98.36601120306996
423.00001,
433.99999,
434.0,-83.2464106945002
436.0,-80.49739242021478
436.00001,
437.3510768090066,
437.99999,
438.0,-78.6403250012536
438.87634818152003,-78.6403250012536
442.99999999806886,-56.24930801295886
443.74110078269854,-56.249308012958835
458.0,-45.98902555231591
458.00001,
463.99999,
464.0,-41.67160287994301
467.9999999989793,-38.79332109909553
467.99999999902013,-38.79332109909554
482.6231921254029,-7.068750000000364
489.66590612602715,-7.068750000000391
492.85497141542504,-34.33823999998367
492.8549714156685,-34.33823999998357
497.0,-43.49709327502687
497.00001,
498.99999,
499.0,-47.91629236555397
505.9164140436368,-63.19879769122826
506.0,-63.19879769122826
506.00001,
509.99999,
510.0,-63.198797691228236
520.999999999989,-63.19879769122817
536.9999999995063,-17.035006612380812
538.0,-17.03500661238084
538.00001,
539.99999,
540.0,-17.035006612380897
541.8030645823217,-17.035006612380947
544.8768693865895,5.21875
547.0,5.218749999999939
547.00001,
548.99999,
549.0,5.218749999999882
552.4653201065156,5.218749999999782
575.9350915545009,64.69218749879656
590.8555105630905,64.69218749879627
598.0,88.70095166618944
