Time,Value
0.0,-99.22677
11.305423051607198,-99.22677
15.0,-83.10560456852988
15.00001,
18.99999,
19.0,-65.65173566104039
24.0,-43.83439952667854
24.00001,
35.99999,
35.999999999999474,8.527207195787609
35.999999999999744,8.527207195787602
36.0,8.52720719578438
38.88742859462602,-27.844287751190446
246.86799405102585,-27.84428775119051
248.865874692285,24.498346999977002
257.7119769709776,24.498346999977123
260.66689695748846,-44.999999999988184
328.99999999999983,-44.99999999998837
331.85507988981567,22.96507888886663
339.57179282976927,22.965078888866913
341.83383681386425,-49.99452584716892
642.0,-49.9945258471687
