Time,Value
0.0,-99.9625207
198.39364567636454,-99.9625207
201.85869986131732,-39.250000000038646
202.0,-39.250000000038646
202.00001,
203.99999,
204.0,-39.25000000003864
207.99985383131698,-39.25000000003862
208.0,-39.25002470582174
208.00001,
367.69822132689166,
371.99999,
372.0,-66.2426029999649
380.49208923818014,-66.2426029999649
383.8052267696849,-17.601758333349608
388.7384634958837,-17.60175833334936
390.9999999999444,-71.31073999822365
395.0,-71.3107399982237
395.00001,
397.99999,
398.0,-71.31073999822374
404.5885839517112,-71.31073999822381
408.0,-13.027170999965405
408.0,-13.027170999965165
409.99999999989404,61.60019819524314
410.99999999999176,61.60019819524194
412.9999999999994,-8.081375639223554
416.80529799635804,-8.081375639222715
420.7672365575535,95.11003999977221
420.76723655756655,95.11003999977156
421.0,90.06817373739042
421.00001,
423.99999,
424.0,25.085465847306452
426.916637959478,-38.09154499999022
429.0,-38.09154499999039
429.00001,
431.99999,
432.0,-38.09154499999064
432.0,-38.09154499999064
432.0,-38.09154499999064
432.00001,
708.99999,
709.0,-38.09154499999064
