Time,Value
0.0,-102.22161914430642
0.0,
1e-05,
63.99999,
64.0,-14.225615776312466
71.0,-4.601052907938126
71.00001,
104.99999,
104.99999999998968,42.14682388129447
104.99999999999838,42.146823881294495
105.0,42.14682388128452
105.0,42.14682388128452
105.00001,
127.99998910293094,
127.99999,
128.0,-99.49993288977566
131.67466310070108,-99.49993288977564
140.99999999999974,96.71622436355074
151.00000000013574,96.71622436355094
156.0,94.6903994770586
156.00001,
535.8814262909943,
535.99999,
535.9999999983223,-59.224249986419885
536.0,-59.224249983031655
538.0,-55.18505405628911
538.00001,
575.99999,
576.0,21.559668551819165
579.9999999999883,29.63806040528061
579.9999999999976,29.638060405280616
588.594490965681,99.99999999987448
710.0,99.99999999987408
