Time,Value
0.0,-100.81468550458716
7.0,-95.49429738115094
7.00001,
26.695730683301633,
26.99999,
27.0,-80.52445000831716
28.0,-80.52445000831716
28.00001,
31.99999,
31.99999999916211,-80.52445000831716
32.0,-80.52445000784101
32.0,-80.52445000784101
32.00001,
98.99999,
99.0,-42.45018994519181
99.99999999461865,-41.88191741000139
99.9999999971317,-41.88191741000139
100.0,-41.881917400555494
100.00001,
105.99999,
105.99999729482748,-22.12273890858052
105.99999949394156,-22.12273890858049
106.0,-22.122733194718556
106.9999995130752,-10.831825497815773
106.99999973953459,-10.831825497815853
107.0,-10.831823462370583
107.00001,
115.99999,
115.99999999551994,59.49999996499786
116.0,59.49999996499786
120.5242601664167,59.499999964997855
129.99999766266944,59.99990369472912
548.0,59.99990369472912
