Time(sec),Data
54.0,-29.178
55.0,-29.178
56.0,-29.178
57.0,-29.178
58.0,-29.178
59.0,-29.178
60.0,-29.178
61.0,-29.178
62.0,-29.178
63.0,-29.178
64.0,-29.178
65.0,-29.178
66.0,-29.178
67.0,-29.178
68.0,-29.178
69.0,-29.178
70.0,-29.178
71.0,-29.178
72.0,-29.178
73.0,-29.178
74.0,-29.178
75.0,-29.178
76.0,-29.178
77.0,-29.178
78.0,-29.178
79.0,-29.178
80.0,-29.178
81.0,-29.178
82.0,-29.178
83.0,-29.178
84.0,-29.178
85.0,-29.178
86.0,-29.178
87.0,-29.178
88.0,-29.178
89.0,-29.178
90.0,-29.178
91.0,-29.178
92.0,-29.178
93.0,-29.178
94.0,-29.178
95.0,-29.178
96.0,-29.178
97.0,-29.178
98.0,-29.178
99.0,-29.178
100.0,-29.178
101.0,-29.178
102.0,-29.178
103.0,-29.178
104.0,-29.178
105.0,-29.178
106.0,-29.178
107.0,-29.178
108.0,-29.178
109.0,-29.178
110.0,-29.178
111.0,-29.178
112.0,-29.178
113.0,-29.178
114.0,-29.178
115.0,-29.178
116.0,-29.178
117.0,-29.178
118.0,-29.178
119.0,-29.178
120.0,-29.178
121.0,-29.178
122.0,-29.178
123.0,-29.178
124.0,-29.178
125.0,-29.178
126.0,-29.178
127.0,-29.178
128.0,-29.178
129.0,-29.178
130.0,-29.178
131.0,-29.178
132.0,-29.178
133.0,-29.178
134.0,-29.178
135.0,-29.178
136.0,-29.178
137.0,-29.178
138.0,-29.178
139.0,-29.178
140.0,-29.178
141.0,-29.178
142.0,-29.178
143.0,-29.178
144.0,-29.178
145.0,-29.178
146.0,-29.178
147.0,-29.178
148.0,-29.178
149.0,-29.178
150.0,-29.178
151.0,-29.178
152.0,-29.178
153.0,-29.178
154.0,-29.178
155.0,-29.178
156.0,-29.178
157.0,-29.178
158.0,-29.178
159.0,-29.178
160.0,-29.178
161.0,-29.178
162.0,-29.178
163.0,-29.178
164.0,-29.178
165.0,-29.178
166.0,-29.178
167.0,-29.178
168.0,-29.178
169.0,-29.178
170.0,-29.178
171.0,-29.178
