Time(sec),Data
0.0,-35.400000000000006
1.0,-35.400000000000006
2.0,-35.400000000000006
3.0,-35.400000000000006
4.0,-35.400000000000006
5.0,-35.400000000000006
6.0,-35.400000000000006
7.0,-35.400000000000006
8.0,-35.400000000000006
9.0,-35.400000000000006
10.0,-35.400000000000006
11.0,-35.400000000000006
12.0,-35.400000000000006
13.0,-35.400000000000006
14.0,-35.400000000000006
15.0,-35.400000000000006
16.0,-35.400000000000006
17.0,-35.400000000000006
18.0,-35.400000000000006
19.0,-35.400000000000006
20.0,-35.400000000000006
21.0,-35.400000000000006
22.0,-35.400000000000006
23.0,-35.400000000000006
24.0,-35.400000000000006
25.0,-35.400000000000006
26.0,-35.400000000000006
27.0,-35.400000000000006
28.0,-35.400000000000006
29.0,-35.400000000000006
30.0,-35.400000000000006
31.0,-37.12800000000001
32.0,-38.856
33.0,-40.584
34.0,-42.312000000000005
35.0,-44.04
36.0,-45.768
37.0,-45.768
38.0,-45.236000000000004
39.0,-44.704
40.0,-44.704
41.0,-43.248000000000005
42.0,-41.792
43.0,-40.336
44.0,-38.88
45.0,-38.88
46.0,-38.88
47.0,-38.88
48.0,-38.88
49.0,-38.88
50.0,-38.88
51.0,-38.88
52.0,-38.88
53.0,-38.88
54.0,-38.88
55.0,-38.88
56.0,-38.88
57.0,-38.88
58.0,-38.88
59.0,-38.88
60.0,-38.88
61.0,-38.88
62.0,-38.88
63.0,-38.88
64.0,-38.88
65.0,-38.88
66.0,-38.88
67.0,-38.88
68.0,-38.88
69.0,-38.88
70.0,-38.88
71.0,-38.88
72.0,-38.88
73.0,-38.88
74.0,-38.88
75.0,-38.88
76.0,-38.88
77.0,-38.88
78.0,-38.88
79.0,-38.88
80.0,-38.88
81.0,-38.88
82.0,-38.88
83.0,-38.88
84.0,-38.88
85.0,-38.88
86.0,-38.88
87.0,-38.88
88.0,-38.88
89.0,-38.88
90.0,-38.88
91.0,-38.88
92.0,-38.88
93.0,-38.88
94.0,-38.88
95.0,-38.88
96.0,-38.88
97.0,-38.88
98.0,-38.88
99.0,-38.88
100.0,-38.88
101.0,-38.88
102.0,-38.88
103.0,-38.88
104.0,-38.88
105.0,-38.88
106.0,-38.88
107.0,-38.88
108.0,-38.88
109.0,-38.88
110.0,-38.88
111.0,-38.88
112.0,-38.88
113.0,-38.88
114.0,-38.88
115.0,-38.88
116.0,-38.88
117.0,-38.88
118.0,-38.88
119.0,-38.88
120.0,-38.88
121.0,-38.88
122.0,-38.88
123.0,-38.88
124.0,-38.88
125.0,-38.88
126.0,-38.88
127.0,-38.88
128.0,-38.88
129.0,-38.88
130.0,-38.88
131.0,-38.88
132.0,-38.88
133.0,-38.88
134.0,-38.88
135.0,-38.88
136.0,-38.88
137.0,-38.88
138.0,-38.88
139.0,-38.88
140.0,-38.88
141.0,-38.88
142.0,-38.88
143.0,-38.88
144.0,-38.88
145.0,-38.88
146.0,-38.88
147.0,-38.88
148.0,-38.88
149.0,-38.88
150.0,-38.88
151.0,-38.88
152.0,-38.88
153.0,-38.88
154.0,-38.88
155.0,-38.88
156.0,-38.88
157.0,-38.88
158.0,-38.88
159.0,-38.88
160.0,-38.88
161.0,-38.88
162.0,-38.88
163.0,-38.88
164.0,-38.88
165.0,-38.88
166.0,-38.88
167.0,-38.88
168.0,-38.88
169.0,-38.88
170.0,-38.88
171.0,-38.88
172.0,-38.88
173.0,-38.88
174.0,-38.88
175.0,-38.88
176.0,-38.88
177.0,-38.88
178.0,-38.88
179.0,-38.88
180.0,-38.88
181.0,-38.88
182.0,-38.88
183.0,-38.88
184.0,-38.88
185.0,-38.88
186.0,-38.88
187.0,-38.88
188.0,-38.88
189.0,-38.88
190.0,-38.88
191.0,-38.88
192.0,-38.88
193.0,-38.88
194.0,-38.88
195.0,-38.88
196.0,-38.88
197.0,-38.88
198.0,-38.88
199.0,-38.88
200.0,-38.88
201.0,-38.88
202.0,-38.88
203.0,-38.88
204.0,-38.88
205.0,-38.88
206.0,-38.88
207.0,-38.88
208.0,-38.88
209.0,-38.88
210.0,-38.88
211.0,-38.88
212.0,-38.88
213.0,-38.88
214.0,-38.88
215.0,-38.88
216.0,-38.88
217.0,-38.88
218.0,-38.88
219.0,-38.88
220.0,-38.88
221.0,-38.88
222.0,-38.88
223.0,-38.88
224.0,-38.88
225.0,-38.88
226.0,-38.88
227.0,-38.88
228.0,-38.88
229.0,-38.88
230.0,-38.88
231.0,-38.88
232.0,-38.88
233.0,-38.88
234.0,-38.88
235.0,-38.88
236.0,-38.88
237.0,-38.88
238.0,-38.88
239.0,-38.88
240.0,-38.88
241.0,-38.88
242.0,-38.88
