Time(sec),A4AB8514GUJS5
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-100.0
80.0,-100.0
81.0,-100.0
82.0,-100.0
83.0,-100.0
84.0,-100.0
85.0,-100.0
86.0,-100.0
87.0,-100.0
88.0,-100.0
89.0,-100.0
90.0,-100.0
91.0,-100.0
92.0,-100.0
93.0,-100.0
94.0,-100.0
95.0,-100.0
96.0,-100.0
97.0,-100.0
98.0,-100.0
99.0,-100.0
100.0,-100.0
101.0,-100.0
102.0,-100.0
103.0,-100.0
104.0,-99.4
105.0,-93.275
106.0,-88.0
107.0,-88.0
108.0,-84.91570512820513
109.0,-73.0
110.0,-73.0
111.0,-73.0
112.0,-73.0
113.0,-73.0
114.0,-73.0
115.0,-73.0
116.0,-73.0
117.0,-73.0
118.0,-73.0
119.0,-73.0
120.0,-73.0
121.0,-73.0
122.0,-73.0
123.0,-73.0
124.0,-73.0
125.0,-73.0
126.0,-73.0
127.0,-73.0
128.0,-73.0
129.0,-73.0
130.0,-73.0
131.0,-67.4
132.0,-67.0
133.0,-67.0
134.0,-67.0
135.0,-58.221825396825395
136.0,-54.0
137.0,-47.23099358974359
138.0,-38.65
139.0,-35.097857142857144
140.0,-31.285294117647062
141.0,-31.0
142.0,-31.0
143.0,-31.0
144.0,-31.0
145.0,-31.0
146.0,-31.0
147.0,-31.0
148.0,-31.0
149.0,-31.0
150.0,-31.0
151.0,-31.0
152.0,-31.0
153.0,-31.0
154.0,-31.0
155.0,-31.0
156.0,-31.0
157.0,-31.0
158.0,-31.0
159.0,-31.0
160.0,-31.0
161.0,-31.0
162.0,-31.0
163.0,-31.0
164.0,-31.0
165.0,-31.0
166.0,-31.0
167.0,-31.0
168.0,-31.0
169.0,-31.0
170.0,-31.0
171.0,-31.0
172.0,-31.0
173.0,-31.0
174.0,-31.0
175.0,-31.0
176.0,-31.0
177.0,-31.0
178.0,-31.0
179.0,-31.0
180.0,-31.0
181.0,-31.0
182.0,-31.0
183.0,-31.0
184.0,-31.0
185.0,-31.0
