Time(sec),Data
0.0,-66.074
1.0,-66.074
2.0,-66.074
3.0,-66.074
4.0,-66.074
5.0,-66.074
6.0,-66.074
7.0,-66.074
8.0,-66.074
9.0,-66.074
10.0,-66.074
11.0,-66.074
12.0,-66.074
13.0,-66.074
14.0,-66.074
15.0,-66.074
16.0,-66.074
17.0,-66.074
18.0,-66.074
19.0,-66.074
20.0,-66.074
21.0,-66.074
22.0,-66.074
23.0,-66.074
24.0,-66.074
25.0,-66.074
26.0,-66.074
27.0,-66.074
28.0,-66.074
29.0,-66.074
30.0,-66.074
31.0,-66.074
32.0,-66.074
33.0,-66.074
34.0,-66.074
35.0,-66.074
36.0,-66.074
37.0,-66.074
38.0,-66.074
39.0,-66.074
40.0,-66.074
41.0,-66.074
42.0,-66.074
43.0,-66.074
44.0,-66.074
45.0,-66.074
46.0,-66.074
47.0,-66.074
48.0,-66.074
49.0,-66.074
50.0,-66.074
51.0,-66.074
52.0,-66.074
53.0,-66.074
54.0,-66.074
55.0,-66.074
56.0,-66.074
57.0,-66.074
58.0,-66.074
59.0,-66.074
60.0,-66.074
61.0,-66.074
62.0,-66.074
63.0,-66.074
64.0,-66.074
65.0,-66.074
66.0,-66.074
67.0,-66.074
68.0,-66.074
69.0,-66.074
70.0,-66.074
71.0,-66.074
72.0,-66.074
73.0,-66.074
74.0,-66.074
75.0,-66.074
76.0,-66.074
77.0,-66.074
78.0,-66.074
79.0,-66.074
80.0,-66.074
81.0,-66.074
82.0,-66.074
83.0,-66.074
84.0,-66.074
85.0,-66.074
86.0,-66.074
87.0,-66.074
88.0,-66.074
89.0,-66.074
90.0,-66.074
91.0,-66.074
92.0,-66.074
93.0,-66.074
94.0,-66.074
95.0,-66.074
96.0,-66.074
97.0,-66.074
98.0,-66.074
99.0,-66.074
100.0,-66.074
101.0,-66.074
102.0,-66.074
103.0,-66.074
104.0,-66.074
105.0,-66.074
106.0,-77.3837736
107.0,-88.6935472
108.0,-100.0033208
109.0,-63.5376604
110.0,-27.072000000000003
111.0,-27.072000000000003
112.0,-27.072000000000003
113.0,-27.072000000000003
114.0,-27.072000000000003
115.0,-27.072000000000003
116.0,-27.072000000000003
117.0,-27.072000000000003
118.0,-27.072000000000003
119.0,-27.072000000000003
120.0,-27.072000000000003
121.0,-27.072000000000003
122.0,-27.072000000000003
123.0,-27.072000000000003
124.0,-27.072000000000003
125.0,-27.072000000000003
126.0,-27.072000000000003
127.0,-27.072000000000003
128.0,-27.072000000000003
129.0,-27.072000000000003
130.0,-27.072000000000003
131.0,-27.072000000000003
132.0,-27.072000000000003
133.0,-27.072000000000003
134.0,-27.072000000000003
135.0,-27.072000000000003
136.0,-27.072000000000003
137.0,-27.072000000000003
138.0,-27.072000000000003
139.0,-27.072000000000003
140.0,-27.072000000000003
