,ACBG07QLGIDP0,AOEGJLWFISOZQ,ACM1CEGHXTKZP
0,-100.0,-100.0,-100.0
21428,-100.0,-100.0,-100.0
21451,-100.0,-100.0,-100.0
21491,-100.0,-100.0,-100.0
21509,-100.0,-100.0,-100.0
21511,-100.0,-100.0,-100.0
21525,-100.0,-100.0,-100.0
21529,-100.0,-100.0,-100.0
21542,-100.0,-100.0,-100.0
21559,-100.0,-100.0,-100.0
21575,-100.0,-100.0,-100.0
21578,-100.0,-100.0,-100.0
21592,-100.0,-100.0,-100.0
21594,-100.0,-100.0,-100.0
21608,-100.0,-100.0,-100.0
21626,-100.0,-100.0,-100.0
21642,-100.0,-100.0,-100.0
21658,-100.0,-100.0,-100.0
21675,-100.0,-100.0,-100.0
21692,-100.0,-100.0,-100.0
21709,-100.0,-100.0,-100.0
21721,-100.0,-100.0,-100.0
21726,-100.0,-100.0,-100.0
21739,-100.0,-100.0,-100.0
21742,-100.0,-100.0,-100.0
21759,-100.0,-100.0,-100.0
21771,-100.0,-100.0,-100.0
21775,-100.0,-100.0,-100.0
21787,-100.0,-100.0,-100.0
21792,-100.0,-100.0,-100.0
21806,-100.0,-100.0,-100.0
21809,-100.0,-100.0,-100.0
21821,-100.0,-100.0,-100.0
21825,-100.0,-100.0,-100.0
21838,-100.0,-100.0,-100.0
21842,-100.0,-100.0,-100.0
21854,-100.0,-100.0,-100.0
21859,-100.0,-100.0,-100.0
21861,-100.0,-100.0,-100.0
21871,-100.0,-100.0,-100.0
21875,-100.0,-100.0,-100.0
21881,-100.0,-100.0,-100.0
21888,-100.0,-100.0,-100.0
21892,-100.0,-100.0,-100.0
21909,-100.0,-100.0,-100.0
21912,-100.0,-100.0,-100.0
21925,-100.0,-100.0,-100.0
21928,-100.0,-100.0,-100.0
21942,-100.0,-100.0,-100.0
21958,-100.0,-100.0,-100.0
21961,-100.0,-100.0,-100.0
21975,-100.0,-100.0,-100.0
21978,-100.0,-100.0,-100.0
21992,-100.0,-100.0,-100.0
21996,-100.0,-100.0,-100.0
22009,-100.0,-100.0,-100.0
22025,-100.0,-100.0,-100.0
22042,-100.0,-100.0,-100.0
