,A2APLCDM5WB4D,AZSSG2REHDX18,AF8GOPFSTWCH8,AD2M4BF7KYVQW,ASL9LVC97FUCZ
0,-100.0,-100.0,-100.0,-100.0,-100.0
1,,-100.0,-100.0,-100.0,-100.0
2466,,-100.0,-100.0,-100.0,-100.0
2484,,-100.0,-100.0,-100.0,-100.0
2517,,-100.0,-100.0,-100.0,-100.0
2536,,-100.0,-100.0,-100.0,-100.0
2566,,-100.0,-100.0,-100.0,-100.0
2584,,-100.0,-100.0,-100.0,-100.0
2619,,-100.0,-100.0,-100.0,-100.0
2632,,-100.0,-100.0,-100.0,-100.0
2649,,-100.0,-100.0,-100.0,-100.0
2650,,-100.0,-100.0,-100.0,-100.0
2665,,-100.0,-100.0,-100.0,-100.0
2666,,-100.0,-100.0,-100.0,-100.0
2682,,-100.0,-100.0,-100.0,-100.0
2699,,-100.0,-100.0,-100.0,-100.0
2701,,-100.0,-100.0,-100.0,-100.0
2716,,-100.0,-100.0,-100.0,-100.0
2733,,-100.0,-100.0,-100.0,-100.0
2751,,-100.0,-100.0,-100.0,-100.0
2767,,-100.0,-100.0,-100.0,-100.0
2784,,-100.0,-100.0,-100.0,-100.0
2816,,-100.0,-100.0,-100.0,-100.0
2835,,-100.0,-100.0,-100.0,-100.0
2848,,-100.0,-100.0,-100.0,-100.0
2851,,-100.0,-100.0,-100.0,-100.0
2868,,-100.0,-100.0,-100.0,-100.0
2870,,-100.0,-100.0,-100.0,-100.0
2882,,-100.0,-100.0,-100.0,-100.0
2899,,-100.0,-100.0,-100.0,-100.0
2900,,-100.0,-100.0,-100.0,-100.0
2911,,-100.0,-100.0,-100.0,-100.0
2916,,-100.0,-99.83333333333333,-100.0,-100.0
2917,,-100.0,-99.66666666666667,-100.0,-100.0
2931,,-100.0,-99.5,-100.0,-100.0
2934,,-100.0,-99.33333333333333,-100.0,-100.0
2949,,-100.0,-99.16666666666667,-100.0,-100.0
2958,,-100.0,-99.0,-100.0,-100.0
2993,,-100.0,-96.0,-100.0,-100.0
3039,,-100.0,-94.0,-100.0,-100.0
3120,,-100.0,-92.0,-100.0,-100.0
3155,,-100.0,-91.0,-100.0,-100.0
3202,,-100.0,-89.0,-100.0,-100.0
3236,,-100.0,-87.0,-100.0,-100.0
3318,,-100.0,-85.0,-100.0,-100.0
3364,,-100.0,-84.0,-100.0,-100.0
3399,,-100.0,-82.0,-100.0,-100.0
3863,,-100.0,-80.0,-100.0,-100.0
3910,,-100.0,-79.0,-100.0,-100.0
3945,,-100.0,-77.0,-100.0,-100.0
3991,,-100.0,-75.0,-100.0,-100.0
4072,,-100.0,-72.0,-100.0,-100.0
4107,,-100.0,-71.0,-100.0,-100.0
4154,,-100.0,-69.0,-100.0,-100.0
4188,,-100.0,-67.0,-100.0,-100.0
4235,,-100.0,-66.0,-100.0,-100.0
4270,,-100.0,-63.0,-100.0,-100.0
4316,,-100.0,-62.0,-100.0,-100.0
4335,,-100.0,-62.0,-100.0,-100.0
4363,,-100.0,-62.0,-100.0,-100.0
4367,,-100.0,-61.666666666666664,-100.0,-100.0
4400,,-100.0,-61.333333333333336,-100.0,-100.0
4409,,-100.0,-61.0,-100.0,-100.0
4416,,-100.0,-60.25,-100.0,-100.0
4440,,-100.0,-59.5,-100.0,-100.0
4441,-99.0,-100.0,-58.75,-100.0,-100.0
4444,-98.8,-100.0,-58.0,-100.0,-100.0
4451,-98.6,-100.0,-57.0,-100.0,-100.0
4490,-98.4,-100.0,-56.0,-100.0,-100.0
4498,-98.2,-100.0,-55.875,-100.0,-100.0
4501,-98.0,-100.0,-55.75,-100.0,-100.0
4516,-97.25,-100.0,-55.625,-100.0,-100.0
4532,-96.5,-100.0,-55.5,-100.0,-100.0
4549,-95.75,-100.0,-55.375,-100.0,-100.0
4561,-95.0,-100.0,-55.25,-100.0,-100.0
4565,-94.6,-100.0,-55.125,-100.0,-100.0
4572,-94.2,-100.0,-55.0,-100.0,-100.0
4582,-93.8,-100.0,-54.75,-100.0,-100.0
4598,-93.4,-100.0,-54.5,-100.0,-100.0
4602,-93.0,-100.0,-54.25,-100.0,-100.0
4606,-92.6,-100.0,-54.0,-100.0,-100.0
4617,-92.2,-100.0,-53.6,-100.0,-100.0
4632,-91.8,-100.0,-53.2,-100.0,-100.0
4648,-91.4,-100.0,-52.8,-100.0,-100.0
