,A4FNENGCDFSOG,A7ERZELTAMWL5,A1WAAWQH57B1T
0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0
2,-100.0,-100.0,-100.0
3710,-100.0,-100.0,-100.0
3727,-100.0,-99.0,-100.0
3756,-100.0,-98.0,-100.0
3768,-100.0,-97.0,-100.0
3785,-100.0,-96.0,-100.0
3799,-100.0,-95.0,-100.0
3813,-100.0,-94.0,-100.0
3827,-100.0,-93.0,-100.0
3844,-100.0,-92.0,-100.0
4780,-100.0,-92.0,-100.0
4781,-100.0,-92.0,-100.0
4822,-100.0,-92.0,-100.0
4863,-100.0,-92.0,-100.0
4904,-100.0,-92.0,-100.0
4944,-100.0,-92.0,-100.0
4984,-100.0,-92.0,-100.0
5024,-100.0,-92.0,-100.0
5064,-100.0,-92.0,-100.0
5104,-100.0,-92.0,-100.0
5144,-100.0,-92.0,-100.0
5184,-100.0,-92.0,-100.0
5224,-100.0,-92.0,-100.0
5264,-100.0,-92.0,-100.0
5304,-100.0,-92.0,-100.0
5344,-100.0,-92.0,-100.0
5384,-100.0,-92.0,-100.0
5425,-100.0,-92.0,-100.0
5465,-100.0,-92.0,-100.0
5506,-100.0,-92.0,-100.0
5546,-100.0,-92.0,-100.0
5586,-100.0,-92.0,-100.0
5626,-100.0,-92.0,-100.0
5627,-100.0,-92.0,-100.0
8146,-100.0,-92.0,-100.0
8163,-100.0,-91.0,-100.0
8178,-100.0,-90.0,-100.0
8194,-100.0,-89.0,-100.0
8210,-100.0,-88.0,-100.0
8234,-100.0,-87.0,-100.0
8249,-100.0,-86.0,-100.0
8264,-100.0,-85.0,-100.0
8281,-100.0,-84.0,-100.0
9368,-100.0,-84.0,-100.0
9369,-100.0,-84.0,-100.0
9409,-100.0,-84.0,-100.0
9449,-100.0,-84.0,-100.0
9489,-100.0,-84.0,-100.0
9529,-100.0,-84.0,-100.0
9569,-100.0,-84.0,-100.0
9609,-100.0,-84.0,-100.0
9649,-100.0,-84.0,-100.0
10118,-100.0,-84.0,-100.0
10159,-100.0,-84.0,-100.0
10199,-100.0,-84.0,-100.0
10239,-100.0,-84.0,-100.0
10280,-100.0,-84.0,-100.0
10320,-100.0,-84.0,-100.0
10360,-100.0,-84.0,-100.0
10400,-100.0,-84.0,-100.0
10441,-100.0,-84.0,-100.0
10481,-100.0,-84.0,-100.0
10888,-100.0,-84.0,-100.0
10932,-100.0,-84.0,-100.0
10972,-100.0,-84.0,-100.0
11018,-100.0,-84.0,-100.0
11058,-100.0,-84.0,-100.0
11178,-100.0,-84.0,-100.0
11218,-100.0,-84.0,-100.0
11258,-100.0,-84.0,-100.0
11298,-100.0,-84.0,-100.0
14002,-100.0,-84.0,-100.0
14043,-100.0,-84.0,-100.0
14083,-100.0,-84.0,-100.0
14124,-100.0,-84.0,-100.0
14165,-100.0,-84.0,-100.0
14205,-100.0,-84.0,-100.0
14245,-100.0,-84.0,-100.0
14445,-100.0,-84.0,-100.0
14486,-100.0,-84.0,-100.0
14527,-100.0,-84.0,-100.0
14567,-100.0,-84.0,-100.0
14607,-100.0,-84.0,-100.0
14647,-100.0,-84.0,-100.0
14687,-100.0,-84.0,-100.0
14848,-100.0,-84.0,-100.0
14897,-100.0,-84.0,-100.0
14939,-100.0,-84.0,-100.0
14982,-100.0,-84.0,-100.0
15117,-100.0,-84.0,-100.0
15165,-100.0,-84.0,-100.0
15206,-100.0,-84.0,-100.0
15704,-100.0,-84.0,-100.0
15747,-100.0,-84.0,-100.0
15787,-100.0,-84.0,-100.0
15827,-100.0,-84.0,-100.0
15867,-100.0,-84.0,-100.0
16409,-100.0,-84.0,-100.0
16426,-100.0,-84.0,-100.0
16443,-100.0,-84.0,-100.0
16459,-100.0,-84.0,-100.0
16476,-100.0,-84.0,-100.0
16492,-100.0,-84.0,-100.0
16509,-100.0,-84.0,-100.0
16550,-100.0,-84.0,-100.0
16591,-100.0,-84.0,-100.0
16631,-100.0,-84.0,-100.0
16672,-100.0,-84.0,-100.0
16712,-100.0,-84.0,-100.0
16713,-100.0,-84.0,-100.0
18290,-100.0,-84.0,-100.0
18306,-100.0,-84.0,-99.0
18319,-100.0,-84.0,-98.0
18336,-100.0,-84.0,-97.0
18362,-100.0,-84.0,-96.0
18377,-100.0,-84.0,-94.0
18393,-100.0,-84.0,-93.0
18409,-100.0,-84.0,-92.0
18423,-100.0,-84.0,-91.0
18438,-100.0,-84.0,-90.0
18454,-100.0,-84.0,-89.0
18470,-100.0,-84.0,-88.0
18494,-100.0,-84.0,-87.0
18511,-100.0,-84.0,-86.0
18712,-100.0,-84.0,-86.0
18729,-100.0,-84.0,-86.0
18745,-100.0,-84.0,-86.0
18762,-100.0,-84.0,-86.0
18778,-100.0,-84.0,-86.0
18795,-100.0,-84.0,-86.0
18812,-100.0,-84.0,-86.0
19148,-100.0,-84.0,-86.0
19163,-100.0,-84.0,-85.0
19179,-100.0,-84.0,-84.0
19194,-100.0,-84.0,-82.0
19209,-100.0,-84.0,-81.0
19225,-100.0,-84.0,-80.0
19240,-100.0,-84.0,-79.0
19266,-100.0,-84.0,-78.0
19281,-100.0,-84.0,-77.0
19297,-100.0,-84.0,-76.0
19312,-100.0,-84.0,-75.0
19327,-100.0,-84.0,-74.0
19332,-100.0,-84.0,-74.0
19333,-100.0,-84.0,-74.0
19376,-100.0,-84.0,-74.0
19417,-100.0,-84.0,-74.0
19460,-100.0,-84.0,-74.0
19500,-100.0,-84.0,-74.0
19542,-100.0,-84.0,-74.0
19583,-100.0,-84.0,-74.0
19623,-100.0,-84.0,-74.0
19663,-100.0,-84.0,-74.0
19704,-100.0,-84.0,-74.0
19744,-100.0,-84.0,-74.0
19784,-100.0,-84.0,-74.0
19824,-100.0,-84.0,-74.0
19864,-100.0,-84.0,-74.0
19904,-100.0,-84.0,-74.0
19944,-100.0,-84.0,-74.0
19984,-100.0,-84.0,-74.0
20025,-100.0,-84.0,-74.0
20065,-100.0,-84.0,-74.0
20538,-100.0,-84.0,-74.0
20583,-100.0,-84.0,-74.0
20623,-100.0,-84.0,-74.0
20663,-100.0,-84.0,-74.0
20703,-100.0,-84.0,-74.0
20984,-100.0,-84.0,-74.0
21027,-100.0,-84.0,-74.0
21071,-100.0,-84.0,-74.0
21112,-100.0,-84.0,-74.0
21662,-100.0,-84.0,-74.0
21702,-100.0,-84.0,-74.0
21746,-100.0,-84.0,-74.0
21747,-100.0,-84.0,-74.0
24174,-100.0,-84.0,-74.0
24175,-100.0,-84.0,-74.0
24208,-100.0,-84.0,-74.0
24215,-100.0,-84.0,-73.5
24225,-100.0,-84.0,-73.0
24239,-100.0,-84.0,-72.0
24255,-100.0,-84.0,-71.5
24265,-100.0,-84.0,-71.0
24281,-100.0,-84.0,-70.0
24295,-100.0,-84.0,-69.0
24313,-100.0,-84.0,-68.0
24326,-100.0,-84.0,-67.0
24335,-100.0,-84.0,-67.0
24375,-100.0,-84.0,-67.0
24416,-100.0,-84.0,-67.0
24456,-100.0,-84.0,-67.0
24496,-100.0,-84.0,-67.0
24536,-100.0,-84.0,-67.0
24576,-100.0,-84.0,-67.0
24617,-100.0,-84.0,-67.0
24657,-100.0,-84.0,-67.0
24697,-100.0,-84.0,-67.0
24738,-100.0,-84.0,-67.0
24778,-100.0,-84.0,-67.0
24818,-100.0,-84.0,-67.0
24858,-100.0,-84.0,-67.0
24898,-100.0,-84.0,-67.0
24938,-100.0,-84.0,-67.0
24978,-100.0,-84.0,-67.0
25018,-100.0,-84.0,-67.0
25243,-100.0,-84.0,-67.0
25258,-100.0,-83.5,-67.0
25260,-100.0,-83.0,-67.0
25276,-100.0,-82.0,-67.0
25298,-100.0,-81.5,-67.0
25302,-100.0,-81.0,-67.0
25316,-100.0,-80.0,-67.0
25330,-100.0,-79.0,-67.0
25338,-100.0,-78.5,-67.0
25347,-100.0,-78.0,-67.0
25362,-100.0,-77.0,-67.0
25377,-100.0,-76.0,-67.0
25378,-100.0,-75.5,-67.0
25394,-100.0,-75.0,-67.0
25418,-100.0,-74.0,-67.0
25419,-100.0,-73.0,-67.0
25433,-100.0,-72.0,-67.0
25448,-100.0,-71.0,-67.0
25458,-100.0,-70.5,-67.0
25465,-100.0,-70.0,-67.0
25498,-100.0,-70.0,-67.0
25539,-100.0,-70.0,-67.0
25580,-100.0,-70.0,-67.0
25620,-100.0,-70.0,-67.0
25660,-100.0,-70.0,-67.0
25700,-100.0,-70.0,-67.0
25741,-100.0,-70.0,-67.0
25781,-100.0,-70.0,-67.0
25821,-100.0,-70.0,-67.0
25861,-100.0,-70.0,-67.0
25901,-100.0,-70.0,-67.0
25941,-100.0,-70.0,-67.0
25983,-100.0,-70.0,-67.0
26269,-100.0,-70.0,-67.0
26309,-100.0,-70.0,-67.0
26349,-100.0,-70.0,-67.0
26389,-100.0,-70.0,-67.0
26429,-100.0,-70.0,-67.0
26630,-100.0,-70.0,-67.0
26676,-100.0,-70.0,-67.0
26717,-100.0,-70.0,-67.0
26761,-100.0,-70.0,-67.0
26801,-100.0,-70.0,-67.0
27290,-100.0,-70.0,-67.0
27300,-100.0,-70.0,-66.5
27307,-100.0,-70.0,-66.0
27322,-100.0,-70.0,-65.0
27336,-100.0,-70.0,-64.0
27340,-100.0,-70.0,-63.5
27353,-100.0,-70.0,-63.0
27368,-100.0,-70.0,-62.0
27381,-100.0,-70.0,-61.5
27383,-100.0,-70.0,-61.0
27408,-100.0,-70.0,-59.0
27422,-100.0,-70.0,-59.0
27462,-100.0,-70.0,-59.0
27463,-100.0,-70.0,-59.0
28510,-100.0,-70.0,-59.0
28511,-100.0,-70.0,-59.0
28552,-100.0,-70.0,-59.0
28592,-100.0,-70.0,-59.0
28633,-100.0,-70.0,-59.0
28634,-100.0,-70.0,-59.0
33972,-100.0,-70.0,-59.0
33973,-100.0,-70.0,-59.0
34014,-100.0,-70.0,-59.0
34060,-100.0,-70.0,-59.0
34100,-100.0,-70.0,-59.0
34140,-100.0,-70.0,-59.0
34180,-100.0,-70.0,-59.0
34220,-100.0,-70.0,-59.0
34260,-100.0,-70.0,-59.0
34300,-100.0,-70.0,-59.0
34340,-100.0,-70.0,-59.0
34381,-100.0,-70.0,-59.0
34421,-100.0,-70.0,-59.0
34429,-100.0,-70.0,-59.0
34446,-100.0,-70.0,-59.0
34461,-100.0,-70.0,-59.0
34462,-100.0,-70.0,-59.0
34479,-100.0,-70.0,-59.0
34496,-100.0,-70.0,-59.0
34501,-100.0,-70.0,-59.0
34512,-100.0,-70.0,-59.0
34529,-100.0,-70.0,-59.0
34541,-100.0,-70.0,-59.0
34546,-100.0,-70.0,-59.0
34562,-100.0,-70.0,-59.0
34579,-100.0,-70.0,-59.0
34582,-100.0,-70.0,-59.0
34623,-100.0,-70.0,-59.0
34663,-100.0,-70.0,-59.0
34696,-100.0,-70.0,-59.0
34704,-100.0,-70.0,-59.0
34713,-100.0,-70.0,-59.0
34729,-100.0,-70.0,-59.0
34744,-100.0,-70.0,-59.0
34746,-100.0,-70.0,-59.0
34763,-100.0,-70.0,-59.0
34779,-100.0,-70.0,-59.0
34796,-100.0,-70.0,-59.0
34813,-100.0,-70.0,-59.0
34830,-100.0,-70.0,-59.0
34846,-100.0,-70.0,-59.0
35030,-100.0,-70.0,-59.0
35047,-100.0,-70.0,-59.0
35063,-100.0,-70.0,-59.0
35080,-100.0,-70.0,-59.0
35096,-100.0,-70.0,-59.0
35113,-100.0,-70.0,-59.0
35130,-100.0,-70.0,-59.0
35146,-100.0,-70.0,-59.0
35157,-100.0,-70.0,-59.0
35163,-100.0,-70.0,-59.0
35180,-100.0,-70.0,-59.0
35197,-100.0,-70.0,-59.0
35199,-100.0,-70.0,-59.0
35213,-100.0,-70.0,-59.0
35230,-100.0,-70.0,-59.0
35239,-100.0,-70.0,-59.0
35246,-100.0,-70.0,-59.0
35263,-100.0,-70.0,-59.0
35280,-100.0,-70.0,-59.0
35282,-100.0,-70.0,-59.0
35297,-100.0,-70.0,-59.0
35313,-100.0,-70.0,-59.0
35327,-100.0,-70.0,-59.0
35330,-100.0,-70.0,-59.0
35362,-100.0,-70.0,-59.0
35374,-100.0,-70.0,-58.5
35378,-100.0,-70.0,-58.0
35391,-100.0,-70.0,-57.0
35417,-100.0,-70.0,-55.0
35433,-100.0,-70.0,-54.0
35449,-100.0,-70.0,-53.0
36062,-100.0,-70.0,-53.0
36102,-100.0,-70.0,-53.0
36146,-100.0,-70.0,-53.0
36187,-100.0,-70.0,-53.0
36227,-100.0,-70.0,-53.0
36267,-100.0,-70.0,-53.0
36308,-100.0,-70.0,-53.0
36348,-100.0,-70.0,-53.0
36388,-100.0,-70.0,-53.0
36428,-100.0,-70.0,-53.0
36468,-100.0,-70.0,-53.0
36508,-100.0,-70.0,-53.0
36548,-100.0,-70.0,-53.0
36588,-100.0,-70.0,-53.0
36629,-100.0,-70.0,-53.0
36669,-100.0,-70.0,-53.0
36711,-100.0,-70.0,-53.0
36752,-100.0,-70.0,-53.0
36792,-100.0,-70.0,-53.0
36832,-100.0,-70.0,-53.0
37218,-100.0,-70.0,-53.0
37258,-100.0,-70.0,-53.0
37298,-100.0,-70.0,-53.0
