,A2YN6Z2DAW88X,A3KE7OXK8J5QA,A3TUMZ954ORSU
0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0
5418,-100.0,-100.0,-100.0
5435,-100.0,-100.0,-100.0
5439,-100.0,-100.0,-100.0
5470,-100.0,-100.0,-100.0
5486,-100.0,-100.0,-100.0
5501,-100.0,-100.0,-100.0
5521,-100.0,-100.0,-100.0
5533,-100.0,-100.0,-100.0
5537,-100.0,-100.0,-100.0
5550,-100.0,-100.0,-100.0
5553,-100.0,-100.0,-100.0
5594,-100.0,-100.0,-100.0
5618,-100.0,-100.0,-100.0
5650,-100.0,-100.0,-100.0
5654,-100.0,-100.0,-100.0
5667,-100.0,-100.0,-100.0
5674,-100.0,-100.0,-100.0
5683,-100.0,-100.0,-100.0
5687,-100.0,-100.0,-100.0
5700,-100.0,-100.0,-100.0
5703,-100.0,-100.0,-100.0
5717,-100.0,-100.0,-100.0
5721,-100.0,-100.0,-100.0
5733,-100.0,-100.0,-100.0
5737,-100.0,-100.0,-100.0
5750,-100.0,-100.0,-100.0
5755,-100.0,-100.0,-100.0
5768,-100.0,-100.0,-100.0
5771,-100.0,-100.0,-100.0
5800,-100.0,-100.0,-100.0
5805,-100.0,-100.0,-100.0
5817,-100.0,-100.0,-100.0
5821,-100.0,-100.0,-100.0
5833,-100.0,-100.0,-100.0
5839,-100.0,-100.0,-100.0
5850,-100.0,-100.0,-100.0
5854,-100.0,-100.0,-100.0
5867,-100.0,-100.0,-100.0
5873,-100.0,-100.0,-100.0
5883,-100.0,-100.0,-100.0
5888,-100.0,-100.0,-100.0
5900,-100.0,-100.0,-100.0
5904,-100.0,-100.0,-100.0
5933,-100.0,-100.0,-100.0
5937,-100.0,-100.0,-100.0
5950,-100.0,-100.0,-100.0
5953,-100.0,-100.0,-100.0
5967,-100.0,-100.0,-100.0
5971,-100.0,-100.0,-100.0
5986,-100.0,-100.0,-100.0
5989,-100.0,-100.0,-100.0
6017,-100.0,-100.0,-100.0
6021,-100.0,-100.0,-100.0
6050,-100.0,-100.0,-100.0
6055,-100.0,-100.0,-100.0
6067,-100.0,-100.0,-100.0
6071,-100.0,-100.0,-100.0
6082,-100.0,-100.0,-100.0
6100,-100.0,-100.0,-100.0
6101,-100.0,-100.0,-100.0
6104,-100.0,-100.0,-100.0
6118,-100.0,-100.0,-100.0
6121,-100.0,-100.0,-100.0
6132,-100.0,-100.0,-100.0
6149,-100.0,-100.0,-100.0
6151,-100.0,-100.0,-100.0
6156,-100.0,-100.0,-100.0
6165,-100.0,-100.0,-100.0
6182,-100.0,-100.0,-100.0
6184,-100.0,-100.0,-100.0
6190,-100.0,-100.0,-100.0
6199,-100.0,-100.0,-100.0
6200,-100.0,-100.0,-100.0
6208,-100.0,-100.0,-100.0
6215,-100.0,-100.0,-100.0
6217,-100.0,-100.0,-100.0
6224,-100.0,-100.0,-100.0
6232,-100.0,-100.0,-100.0
6243,-100.0,-100.0,-100.0
6250,-100.0,-100.0,-100.0
6261,-100.0,-100.0,-100.0
6265,-100.0,-100.0,-100.0
6274,-100.0,-100.0,-100.0
6282,-100.0,-100.0,-100.0
6286,-100.0,-100.0,-100.0
6289,-100.0,-100.0,-100.0
6299,-100.0,-100.0,-100.0
6300,-100.0,-100.0,-100.0
6307,-100.0,-100.0,-100.0
6318,-100.0,-100.0,-100.0
6324,-100.0,-100.0,-100.0
6332,-100.0,-100.0,-100.0
6334,-100.0,-100.0,-100.0
6339,-100.0,-100.0,-100.0
6349,-100.0,-100.0,-100.0
6350,-100.0,-100.0,-100.0
6357,-100.0,-100.0,-100.0
6365,-100.0,-100.0,-100.0
6369,-100.0,-100.0,-100.0
6372,-100.0,-100.0,-100.0
6382,-100.0,-100.0,-100.0
6383,-100.0,-100.0,-100.0
6391,-100.0,-100.0,-100.0
6402,-100.0,-100.0,-100.0
6408,-100.0,-100.0,-100.0
6415,-100.0,-100.0,-100.0
6418,-100.0,-100.0,-100.0
6421,-100.0,-100.0,-100.0
6432,-100.0,-100.0,-100.0
6434,-100.0,-100.0,-100.0
6440,-100.0,-100.0,-100.0
6449,-100.0,-100.0,-100.0
6450,-100.0,-100.0,-100.0
6454,-100.0,-100.0,-100.0
6465,-100.0,-100.0,-100.0
6467,-100.0,-100.0,-100.0
6474,-100.0,-100.0,-100.0
6482,-100.0,-100.0,-100.0
6483,-100.0,-100.0,-100.0
6490,-100.0,-100.0,-100.0
6499,-100.0,-100.0,-100.0
6501,-100.0,-100.0,-100.0
6508,-100.0,-100.0,-100.0
6515,-100.0,-100.0,-100.0
6518,-100.0,-100.0,-100.0
6529,-100.0,-100.0,-100.0
6532,-100.0,-100.0,-100.0
6535,-100.0,-100.0,-100.0
6539,-100.0,-100.0,-100.0
6549,-100.0,-100.0,-100.0
6551,-100.0,-100.0,-100.0
6558,-100.0,-100.0,-100.0
6565,-100.0,-100.0,-100.0
6567,-100.0,-100.0,-100.0
6574,-100.0,-100.0,-100.0
6582,-100.0,-100.0,-100.0
6584,-100.0,-100.0,-100.0
6591,-100.0,-100.0,-100.0
6599,-100.0,-100.0,-100.0
6600,-100.0,-100.0,-100.0
6607,-100.0,-100.0,-100.0
6615,-100.0,-100.0,-100.0
6617,-100.0,-100.0,-100.0
6621,-100.0,-100.0,-100.0
6632,-100.0,-100.0,-100.0
6633,-100.0,-100.0,-100.0
6640,-100.0,-100.0,-100.0
6649,-100.0,-100.0,-100.0
6653,-100.0,-100.0,-100.0
6658,-100.0,-100.0,-100.0
6668,-100.0,-100.0,-100.0
6675,-100.0,-100.0,-100.0
6683,-100.0,-100.0,-100.0
6691,-100.0,-100.0,-100.0
6700,-100.0,-100.0,-100.0
6704,-100.0,-100.0,-100.0
6717,-100.0,-100.0,-100.0
6724,-100.0,-100.0,-100.0
6734,-100.0,-100.0,-100.0
6740,-100.0,-100.0,-100.0
6751,-100.0,-100.0,-100.0
6756,-100.0,-100.0,-100.0
6768,-100.0,-100.0,-100.0
6774,-100.0,-100.0,-100.0
6783,-100.0,-100.0,-100.0
6787,-100.0,-100.0,-100.0
6800,-100.0,-100.0,-100.0
6805,-100.0,-100.0,-100.0
6820,-100.0,-100.0,-100.0
6825,-100.0,-100.0,-100.0
6834,-100.0,-100.0,-100.0
6841,-100.0,-100.0,-100.0
6850,-100.0,-100.0,-100.0
6858,-100.0,-100.0,-100.0
6867,-100.0,-100.0,-100.0
6875,-100.0,-100.0,-100.0
6883,-100.0,-100.0,-100.0
6890,-100.0,-100.0,-100.0
6900,-100.0,-100.0,-100.0
6907,-100.0,-100.0,-100.0
6918,-100.0,-100.0,-100.0
6921,-100.0,-100.0,-100.0
6934,-100.0,-100.0,-100.0
6941,-100.0,-100.0,-100.0
6950,-100.0,-100.0,-100.0
6955,-100.0,-100.0,-100.0
6968,-100.0,-100.0,-100.0
6976,-100.0,-100.0,-100.0
6990,-100.0,-100.0,-100.0
6994,-100.0,-100.0,-100.0
7002,-100.0,-100.0,-100.0
7009,-100.0,-100.0,-100.0
7022,-100.0,-100.0,-100.0
7026,-100.0,-100.0,-100.0
7034,-100.0,-100.0,-100.0
7037,-100.0,-100.0,-100.0
7050,-100.0,-100.0,-100.0
7057,-100.0,-100.0,-100.0
7068,-100.0,-100.0,-100.0
7074,-100.0,-100.0,-100.0
7084,-100.0,-100.0,-100.0
7089,-100.0,-100.0,-100.0
7100,-100.0,-100.0,-100.0
7108,-100.0,-100.0,-100.0
7119,-100.0,-100.0,-100.0
7123,-100.0,-100.0,-100.0
7133,-100.0,-100.0,-100.0
7140,-100.0,-100.0,-100.0
7150,-100.0,-100.0,-100.0
7157,-100.0,-100.0,-100.0
7168,-100.0,-100.0,-100.0
7173,-100.0,-100.0,-100.0
7188,-100.0,-100.0,-100.0
7196,-100.0,-100.0,-100.0
7205,-100.0,-100.0,-100.0
7210,-100.0,-100.0,-100.0
7218,-100.0,-100.0,-100.0
7229,-100.0,-100.0,-100.0
7238,-100.0,-100.0,-100.0
7243,-100.0,-100.0,-100.0
7252,-100.0,-100.0,-100.0
7256,-100.0,-100.0,-100.0
7268,-100.0,-100.0,-100.0
7275,-100.0,-100.0,-100.0
7283,-100.0,-100.0,-100.0
7286,-100.0,-100.0,-100.0
7302,-100.0,-100.0,-100.0
7310,-100.0,-100.0,-100.0
7320,-100.0,-100.0,-100.0
7325,-100.0,-100.0,-100.0
7334,-100.0,-100.0,-100.0
7343,-100.0,-100.0,-100.0
7350,-100.0,-100.0,-100.0
7357,-100.0,-100.0,-100.0
7367,-100.0,-100.0,-100.0
7371,-100.0,-100.0,-100.0
7383,-100.0,-100.0,-100.0
7390,-100.0,-100.0,-100.0
7406,-100.0,-100.0,-100.0
7410,-100.0,-100.0,-100.0
7417,-100.0,-100.0,-100.0
7425,-100.0,-100.0,-100.0
7435,-100.0,-100.0,-100.0
7442,-100.0,-100.0,-100.0
7453,-100.0,-100.0,-100.0
7487,-100.0,-100.0,-100.0
7504,-100.0,-100.0,-100.0
7511,-100.0,-100.0,-100.0
7522,-100.0,-100.0,-100.0
7528,-100.0,-100.0,-100.0
7537,-100.0,-100.0,-100.0
7541,-100.0,-100.0,-100.0
7550,-100.0,-100.0,-100.0
7557,-100.0,-100.0,-100.0
7568,-100.0,-100.0,-100.0
7574,-100.0,-100.0,-100.0
7584,-100.0,-100.0,-100.0
7590,-100.0,-100.0,-100.0
7606,-100.0,-100.0,-100.0
7611,-100.0,-100.0,-100.0
7619,-100.0,-100.0,-100.0
7623,-100.0,-100.0,-100.0
7635,-100.0,-100.0,-100.0
7640,-100.0,-100.0,-100.0
7650,-100.0,-100.0,-100.0
7657,-100.0,-100.0,-100.0
7668,-100.0,-100.0,-100.0
7674,-100.0,-100.0,-100.0
7687,-100.0,-100.0,-100.0
7691,-100.0,-100.0,-100.0
7700,-100.0,-100.0,-100.0
7704,-100.0,-100.0,-100.0
7717,-100.0,-100.0,-100.0
7724,-100.0,-100.0,-100.0
7736,-100.0,-100.0,-100.0
7741,-100.0,-100.0,-100.0
7750,-100.0,-100.0,-100.0
7758,-100.0,-100.0,-100.0
7770,-100.0,-100.0,-100.0
7775,-100.0,-100.0,-100.0
7785,-100.0,-100.0,-100.0
7789,-100.0,-100.0,-100.0
7801,-100.0,-100.0,-100.0
7807,-100.0,-100.0,-100.0
7818,-100.0,-100.0,-100.0
7824,-100.0,-100.0,-100.0
7834,-100.0,-100.0,-100.0
7842,-100.0,-100.0,-100.0
7850,-100.0,-100.0,-100.0
7857,-100.0,-100.0,-100.0
7869,-100.0,-100.0,-100.0
7875,-100.0,-100.0,-100.0
7883,-100.0,-100.0,-100.0
7891,-100.0,-100.0,-100.0
7901,-100.0,-100.0,-100.0
7907,-100.0,-100.0,-100.0
7918,-100.0,-100.0,-100.0
7924,-100.0,-100.0,-100.0
7938,-100.0,-100.0,-100.0
7943,-100.0,-100.0,-100.0
7950,-100.0,-100.0,-100.0
7954,-100.0,-100.0,-100.0
7968,-100.0,-100.0,-100.0
7975,-100.0,-100.0,-100.0
7984,-100.0,-100.0,-100.0
7992,-100.0,-100.0,-100.0
8002,-100.0,-100.0,-100.0
8007,-100.0,-100.0,-100.0
8022,-100.0,-100.0,-100.0
8027,-100.0,-100.0,-100.0
8037,-100.0,-100.0,-100.0
8041,-100.0,-100.0,-100.0
8050,-100.0,-100.0,-100.0
8056,-100.0,-100.0,-100.0
8068,-100.0,-100.0,-100.0
8074,-100.0,-100.0,-100.0
8084,-100.0,-100.0,-100.0
8089,-100.0,-100.0,-100.0
8103,-100.0,-100.0,-100.0
8108,-100.0,-100.0,-100.0
8117,-100.0,-100.0,-100.0
8120,-100.0,-100.0,-100.0
8133,-100.0,-100.0,-100.0
8139,-100.0,-100.0,-100.0
8153,-100.0,-100.0,-100.0
8158,-100.0,-100.0,-100.0
8168,-100.0,-100.0,-100.0
8171,-100.0,-100.0,-100.0
8184,-100.0,-100.0,-100.0
8190,-100.0,-100.0,-100.0
8200,-100.0,-100.0,-100.0
8204,-100.0,-100.0,-100.0
8215,-100.0,-100.0,-100.0
8217,-100.0,-100.0,-100.0
8224,-100.0,-100.0,-100.0
8237,-100.0,-100.0,-100.0
8242,-100.0,-100.0,-100.0
8248,-100.0,-100.0,-100.0
8250,-100.0,-100.0,-100.0
8257,-100.0,-100.0,-100.0
8268,-100.0,-100.0,-100.0
8269,-100.0,-100.0,-100.0
8274,-100.0,-100.0,-100.0
8283,-100.0,-100.0,-100.0
8287,-100.0,-100.0,-100.0
8300,-100.0,-100.0,-100.0
8307,-100.0,-100.0,-100.0
8315,-100.0,-100.0,-100.0
8318,-100.0,-100.0,-100.0
8324,-100.0,-100.0,-100.0
8332,-100.0,-100.0,-100.0
8334,-100.0,-100.0,-100.0
8341,-100.0,-100.0,-100.0
8349,-100.0,-100.0,-100.0
8350,-100.0,-100.0,-100.0
8357,-100.0,-100.0,-100.0
8365,-100.0,-100.0,-100.0
8368,-100.0,-100.0,-100.0
8372,-100.0,-100.0,-100.0
8383,-100.0,-100.0,-100.0
8390,-100.0,-100.0,-100.0
8399,-100.0,-100.0,-100.0
8401,-100.0,-100.0,-100.0
8415,-100.0,-100.0,-100.0
