,A1O51ZAYABZYI,ARGR4AJESGHHP,A2IJQ30G1BWGV
0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0
8830,-100.0,-100.0,-100.0
8874,-100.0,-100.0,-100.0
8965,-100.0,-100.0,-100.0
9020,-100.0,-100.0,-100.0
9055,-100.0,-100.0,-100.0
9146,-100.0,-100.0,-100.0
9163,-100.0,-99.0,-100.0
9180,-100.0,-98.0,-100.0
9196,-100.0,-96.0,-100.0
9200,-100.0,-95.5,-100.0
9213,-100.0,-95.0,-100.0
9230,-100.0,-94.0,-100.0
9247,-100.0,-93.0,-100.0
9252,-100.0,-92.5,-100.0
9263,-100.0,-92.0,-100.0
9280,-100.0,-91.0,-100.0
9296,-100.0,-90.0,-100.0
9306,-100.0,-89.5,-100.0
9313,-100.0,-89.0,-100.0
9330,-100.0,-88.0,-100.0
9343,-100.0,-87.0,-100.0
9346,-100.0,-86.0,-100.0
9363,-100.0,-85.0,-100.0
9380,-100.0,-84.0,-100.0
9394,-100.0,-83.5,-100.0
9396,-100.0,-83.0,-100.0
9413,-100.0,-82.0,-100.0
9430,-100.0,-81.0,-100.0
9446,-100.0,-80.0,-100.0
9463,-100.0,-79.0,-100.0
9466,-100.0,-78.5,-100.0
9479,-100.0,-78.0,-100.0
9496,-100.0,-76.0,-100.0
9502,-100.0,-75.5,-100.0
9513,-100.0,-75.0,-100.0
9529,-100.0,-74.0,-100.0
9546,-100.0,-73.0,-100.0
9547,-100.0,-72.5,-100.0
9563,-100.0,-72.0,-100.0
9580,-100.0,-71.0,-100.0
9587,-100.0,-70.5,-100.0
9596,-100.0,-70.0,-100.0
9613,-100.0,-69.0,-100.0
9629,-100.0,-68.0,-100.0
9639,-100.0,-67.0,-100.0
9647,-100.0,-66.0,-100.0
9663,-100.0,-65.0,-100.0
9664,-100.0,-64.5,-100.0
9680,-100.0,-64.0,-100.0
9697,-100.0,-63.0,-100.0
9704,-100.0,-62.5,-100.0
9713,-100.0,-62.0,-100.0
9730,-100.0,-61.0,-100.0
9746,-100.0,-60.0,-100.0
9763,-100.0,-59.0,-100.0
9772,-100.0,-58.5,-100.0
9780,-100.0,-58.0,-100.0
9797,-100.0,-56.0,-100.0
9802,-100.0,-55.5,-100.0
9813,-100.0,-55.0,-100.0
9830,-100.0,-54.0,-100.0
9832,-100.0,-53.5,-100.0
9846,-100.0,-53.0,-100.0
9863,-100.0,-52.0,-100.0
9879,-100.0,-51.0,-100.0
9884,-100.0,-50.5,-100.0
9896,-100.0,-50.0,-100.0
9913,-100.0,-49.0,-100.0
9930,-100.0,-48.0,-100.0
9946,-100.0,-46.0,-100.0
9964,-100.0,-45.0,-100.0
9980,-100.0,-44.0,-100.0
9996,-100.0,-43.0,-100.0
10013,-100.0,-42.0,-100.0
10030,-100.0,-41.0,-100.0
10046,-100.0,-40.0,-100.0
10063,-100.0,-39.0,-100.0
10080,-100.0,-38.0,-100.0
10096,-100.0,-36.0,-100.0
10099,-100.0,-35.5,-100.0
10113,-100.0,-35.0,-100.0
10130,-100.0,-34.0,-100.0
10136,-100.0,-33.5,-100.0
10146,-100.0,-33.0,-100.0
10163,-100.0,-32.0,-100.0
10180,-100.0,-31.0,-100.0
10197,-100.0,-30.0,-100.0
10213,-100.0,-29.0,-100.0
10220,-100.0,-28.5,-100.0
10230,-100.0,-28.0,-100.0
10246,-100.0,-26.0,-100.0
10263,-100.0,-25.0,-100.0
10280,-100.0,-24.0,-100.0
10296,-100.0,-23.0,-100.0
10315,-100.0,-22.0,-100.0
10330,-100.0,-21.0,-100.0
10346,-100.0,-20.0,-100.0
10360,-100.0,-19.5,-100.0
10363,-100.0,-19.0,-100.0
10380,-100.0,-18.0,-100.0
10396,-100.0,-16.0,-100.0
10398,-100.0,-15.5,-100.0
10413,-100.0,-15.0,-100.0
10430,-100.0,-14.0,-100.0
10437,-100.0,-13.5,-100.0
10447,-100.0,-13.0,-100.0
10463,-100.0,-12.0,-100.0
10476,-100.0,-11.5,-100.0
10480,-100.0,-11.0,-100.0
10497,-100.0,-10.0,-100.0
10512,-100.0,-9.5,-100.0
10513,-100.0,-9.0,-100.0
10530,-100.0,-8.0,-100.0
10547,-100.0,-6.0,-100.0
10549,-100.0,-5.5,-100.0
10563,-100.0,-5.0,-100.0
10580,-100.0,-4.0,-100.0
10597,-100.0,-3.0,-100.0
10600,-100.0,-3.0,-100.0
10676,-100.0,-3.0,-100.0
10716,-100.0,-3.0,-100.0
10730,-100.0,-3.0,-100.0
10747,-100.0,-2.0,-100.0
10762,-100.0,-1.0,-100.0
10763,-100.0,0.0,-100.0
10780,-100.0,1.0,-100.0
10797,-100.0,2.0,-100.0
10804,-100.0,2.5,-100.0
10813,-100.0,3.0,-100.0
10830,-100.0,4.0,-100.0
10845,-100.0,4.5,-100.0
10846,-100.0,5.0,-100.0
10863,-100.0,6.0,-100.0
10879,-100.0,6.5,-100.0
10880,-100.0,7.0,-100.0
10896,-100.0,8.0,-100.0
10906,-100.0,8.5,-100.0
10913,-100.0,9.0,-100.0
10930,-100.0,11.0,-100.0
11430,-100.0,11.0,-100.0
11447,-100.0,12.0,-100.0
11463,-100.0,13.0,-100.0
11480,-100.0,14.0,-100.0
11496,-100.0,15.0,-100.0
11514,-100.0,17.0,-100.0
11530,-100.0,18.0,-100.0
11547,-100.0,19.0,-100.0
11563,-100.0,20.0,-100.0
11580,-100.0,21.0,-100.0
11597,-100.0,22.0,-100.0
11613,-100.0,23.0,-100.0
11630,-100.0,24.0,-100.0
11646,-100.0,25.0,-100.0
11663,-100.0,27.0,-100.0
11680,-100.0,28.0,-100.0
11696,-100.0,29.0,-100.0
11713,-100.0,30.0,-100.0
11730,-100.0,31.0,-100.0
11747,-100.0,32.0,-100.0
11763,-100.0,33.0,-100.0
11780,-100.0,34.0,-100.0
11797,-100.0,36.0,-100.0
11813,-100.0,37.0,-100.0
11830,-100.0,38.0,-100.0
11847,-100.0,39.0,-100.0
11863,-100.0,40.0,-100.0
11880,-100.0,41.0,-100.0
11897,-100.0,42.0,-100.0
11913,-100.0,43.0,-100.0
11930,-100.0,44.0,-100.0
11947,-100.0,46.0,-100.0
11963,-100.0,47.0,-100.0
11980,-100.0,48.0,-100.0
11997,-100.0,49.0,-100.0
12013,-100.0,50.0,-100.0
12030,-100.0,51.0,-100.0
12047,-100.0,52.0,-100.0
12063,-100.0,53.0,-100.0
12080,-100.0,54.0,-100.0
12097,-100.0,55.0,-100.0
12113,-100.0,57.0,-100.0
12130,-100.0,58.0,-100.0
12146,-100.0,59.0,-100.0
12165,-100.0,60.0,-100.0
12180,-100.0,61.0,-100.0
12197,-100.0,62.0,-100.0
12213,-100.0,63.0,-100.0
12230,-100.0,64.0,-100.0
12247,-100.0,66.0,-100.0
12263,-100.0,67.0,-100.0
12280,-100.0,68.0,-100.0
12297,-100.0,69.0,-100.0
12313,-100.0,70.0,-100.0
12330,-100.0,71.0,-100.0
12346,-100.0,72.0,-100.0
12363,-100.0,73.0,-100.0
12380,-100.0,74.0,-100.0
13293,-100.0,74.0,-100.0
13331,-100.0,74.0,-100.0
13396,-100.0,74.0,-100.0
13430,-100.0,74.0,-100.0
13500,-100.0,74.0,-100.0
13548,-100.0,74.0,-100.0
13604,-100.0,74.0,-100.0
13640,-100.0,74.0,-100.0
13710,-100.0,74.0,-100.0
13840,-100.0,74.0,-100.0
13878,-100.0,74.0,-100.0
13897,-100.0,74.0,-100.0
13976,-100.0,74.0,-100.0
14036,-100.0,74.0,-100.0
14081,-100.0,74.0,-100.0
14149,-100.0,74.0,-100.0
14193,-100.0,74.0,-100.0
14249,-100.0,74.0,-100.0
14299,-100.0,74.0,-100.0
14338,-100.0,74.0,-100.0
14410,-100.0,74.0,-100.0
14540,-100.0,74.0,-100.0
14582,-100.0,74.0,-100.0
14669,-100.0,74.0,-100.0
14690,-100.0,74.0,-100.0
14781,-100.0,74.0,-100.0
14821,-100.0,74.0,-100.0
14847,-100.0,74.0,-100.0
14869,-100.0,74.0,-100.0
14891,-100.0,74.0,-100.0
14930,-100.0,74.0,-100.0
14957,-100.0,74.0,-100.0
15045,-100.0,74.0,-100.0
15086,-100.0,74.0,-100.0
15110,-100.0,74.0,-100.0
15187,-100.0,74.0,-100.0
15211,-100.0,74.0,-100.0
15249,-100.0,74.0,-100.0
15282,-100.0,74.0,-100.0
15340,-100.0,74.0,-100.0
15391,-100.0,74.0,-100.0
15858,-100.0,74.0,-100.0
15899,-100.0,74.0,-100.0
15974,-100.0,74.0,-100.0
16004,-100.0,74.0,-100.0
16028,-100.0,74.0,-100.0
16087,-100.0,74.0,-100.0
16141,-100.0,74.0,-100.0
16175,-100.0,74.0,-100.0
16214,-100.0,74.0,-100.0
16238,-100.0,74.0,-100.0
16273,-100.0,74.0,-100.0
16315,-100.0,74.0,-100.0
16348,-100.0,74.0,-100.0
16468,-100.0,74.0,-100.0
16492,-100.0,74.0,-100.0
16526,-100.0,74.0,-100.0
16561,-100.0,74.0,-100.0
16579,-100.0,74.0,-100.0
16615,-100.0,74.0,-100.0
16650,-100.0,74.0,-100.0
16758,-100.0,74.0,-100.0
16827,-100.0,74.0,-100.0
16865,-100.0,74.0,-100.0
16900,-100.0,74.0,-100.0
16930,-100.0,74.0,-100.0
16975,-100.0,74.0,-100.0
17010,-100.0,74.0,-100.0
17033,-100.0,74.0,-100.0
17137,-100.0,74.0,-100.0
17177,-100.0,74.0,-100.0
17221,-100.0,74.0,-100.0
17257,-100.0,74.0,-100.0
17273,-100.0,74.0,-100.0
17846,-100.0,74.0,-100.0
17868,-100.0,74.0,-99.0
17900,-100.0,74.0,-98.0
17926,-100.0,74.0,-97.0
17943,-100.0,74.0,-96.0
17964,-100.0,74.0,-95.0
17983,-100.0,74.0,-94.0
18001,-100.0,74.0,-94.0
18020,-100.0,74.0,-93.0
43965,-100.0,74.0,-93.0
43982,-100.0,73.0,-93.0
43998,-100.0,72.0,-93.0
44015,-100.0,71.0,-93.0
44031,-100.0,70.0,-93.0
44048,-100.0,69.0,-93.0
44065,-100.0,68.0,-93.0
44082,-100.0,67.0,-93.0
44098,-100.0,66.0,-93.0
44115,-100.0,65.0,-93.0
44132,-100.0,63.0,-93.0
44148,-100.0,62.0,-93.0
44165,-100.0,61.0,-93.0
44182,-100.0,60.0,-93.0
44198,-100.0,59.0,-93.0
44215,-100.0,58.0,-93.0
44232,-100.0,57.0,-93.0
44248,-100.0,56.0,-93.0
44265,-100.0,55.0,-93.0
44282,-100.0,53.0,-93.0
44298,-100.0,52.0,-93.0
44315,-100.0,51.0,-93.0
44331,-100.0,50.0,-93.0
44349,-100.0,49.0,-93.0
44365,-100.0,48.0,-93.0
44381,-100.0,47.0,-93.0
44398,-100.0,46.0,-93.0
44415,-100.0,45.0,-93.0
44432,-100.0,43.0,-93.0
44448,-100.0,42.0,-93.0
44465,-100.0,41.0,-93.0
44481,-100.0,40.0,-93.0
44499,-100.0,39.0,-93.0
44515,-100.0,38.0,-93.0
44531,-100.0,37.0,-93.0
44548,-100.0,36.0,-93.0
44565,-100.0,35.0,-93.0
44581,-100.0,33.0,-93.0
44598,-100.0,32.0,-93.0
44615,-100.0,31.0,-93.0
44632,-100.0,30.0,-93.0
44648,-100.0,29.0,-93.0
44665,-100.0,28.0,-93.0
44681,-100.0,27.0,-93.0
44698,-100.0,26.0,-93.0
44715,-100.0,25.0,-93.0
44731,-100.0,23.0,-93.0
44748,-100.0,22.0,-93.0
44765,-100.0,21.0,-93.0
44782,-100.0,20.0,-93.0
44799,-100.0,19.0,-93.0
44815,-100.0,18.0,-93.0
44832,-100.0,17.0,-93.0
44848,-100.0,16.0,-93.0
44865,-100.0,15.0,-93.0
44882,-100.0,13.0,-93.0
44898,-100.0,12.0,-93.0
44915,-100.0,11.0,-93.0
44932,-100.0,10.0,-93.0
44948,-100.0,9.0,-93.0
44965,-100.0,8.0,-93.0
44982,-100.0,7.0,-93.0
44998,-100.0,6.0,-93.0
45016,-100.0,5.0,-93.0
45049,-100.0,2.0,-93.0
45065,-100.0,1.0,-93.0
45082,-100.0,0.0,-93.0
45098,-100.0,-1.0,-93.0
45116,-100.0,-2.0,-93.0
45134,-100.0,-3.0,-93.0
45148,-100.0,-4.0,-93.0
45165,-100.0,-5.0,-93.0
45182,-100.0,-7.0,-93.0
45198,-100.0,-8.0,-93.0
45215,-100.0,-9.0,-93.0
45232,-100.0,-10.0,-93.0
45249,-100.0,-11.0,-93.0
45265,-100.0,-12.0,-93.0
45282,-100.0,-13.0,-93.0
45298,-100.0,-14.0,-93.0
45315,-100.0,-15.0,-93.0
45332,-100.0,-17.0,-93.0
45348,-100.0,-18.0,-93.0
45365,-100.0,-19.0,-93.0
45382,-100.0,-20.0,-93.0
45398,-100.0,-21.0,-93.0
45415,-100.0,-22.0,-93.0
45432,-100.0,-23.0,-93.0
45832,-100.0,-23.0,-93.0
45849,-100.0,-24.0,-93.0
45865,-100.0,-25.0,-93.0
45882,-100.0,-27.0,-93.0
45899,-100.0,-28.0,-93.0
45915,-100.0,-29.0,-93.0
45932,-100.0,-30.0,-93.0
45948,-100.0,-31.0,-93.0
