,AJSW1J6VE37BL,A1NRY8F9U4AYE,A11PJ3TQ4LWGW,A1EUJEHDI66UT,A73CNVUAKO1AY
0,-100.0,-100.0,-100.0,-100.0,-100.0
1,-100.0,-100.0,,,-100.0
1811,-100.0,-100.0,,,-100.0
1828,-99.0,-100.0,,,-100.0
1861,-97.0,-100.0,,,-100.0
1877,-96.0,-100.0,,,-100.0
1894,-94.0,-100.0,,,-100.0
1911,-93.0,-100.0,,,-100.0
1928,-92.0,-100.0,,,-100.0
1995,-92.0,-100.0,,,-100.0
2012,-91.0,-100.0,,,-100.0
2028,-90.0,-100.0,,,-100.0
2045,-89.0,-100.0,,,-100.0
2061,-88.0,-100.0,,,-100.0
2079,-87.0,-100.0,,,-100.0
2095,-86.0,-100.0,,,-100.0
2112,-85.0,-100.0,,,-100.0
2162,-85.0,-100.0,,,-100.0
2179,-84.0,-100.0,,,-100.0
2195,-83.0,-100.0,,,-100.0
2212,-82.0,-100.0,,,-100.0
2229,-81.0,-100.0,,,-100.0
2246,-80.0,-100.0,,,-100.0
2262,-79.0,-100.0,,,-100.0
2280,-78.0,-100.0,,,-100.0
2363,-78.0,-100.0,,,-100.0
2379,-77.0,-100.0,,,-100.0
2396,-76.0,-100.0,,,-100.0
2414,-75.0,-100.0,,,-100.0
2430,-74.0,-100.0,,,-100.0
2446,-73.0,-100.0,,,-100.0
2463,-72.0,-100.0,,,-100.0
2480,-71.0,-100.0,,,-100.0
2547,-71.0,-100.0,,,-100.0
2563,-70.0,-100.0,,,-100.0
2581,-69.0,-100.0,,,-100.0
2597,-68.0,-100.0,,,-100.0
2613,-67.0,-100.0,,,-100.0
2630,-65.0,-100.0,,,-100.0
2648,-64.0,-100.0,,,-100.0
2714,-64.0,-100.0,,,-100.0
2731,-63.0,-100.0,,,-100.0
2764,-61.0,-100.0,,,-100.0
2782,-59.0,-100.0,,,-100.0
2798,-58.0,-100.0,,,-100.0
2814,-57.0,-100.0,,,-100.0
2864,-57.0,-100.0,,,-100.0
2881,-56.0,-100.0,,,-100.0
2898,-55.0,-100.0,,,-100.0
2915,-54.0,-100.0,,,-100.0
2932,-53.0,-100.0,,,-100.0
2949,-52.0,-100.0,,,-100.0
2965,-51.0,-100.0,,,-100.0
2982,-50.0,-100.0,,,-100.0
3015,-50.0,-100.0,,,-100.0
3034,-49.0,-100.0,,,-100.0
3049,-49.0,-100.0,,,-100.0
3065,-47.0,-100.0,,,-100.0
3083,-46.0,-100.0,,,-100.0
3099,-45.0,-100.0,,,-100.0
3116,-44.0,-100.0,,,-100.0
4689,-44.0,-100.0,,,-100.0
4706,-43.0,-100.0,,,-100.0
4738,-41.0,-100.0,,,-100.0
4762,-40.0,-100.0,,,-100.0
4773,-38.0,-100.0,,,-100.0
4789,-37.0,-100.0,,,-100.0
4806,-36.0,-100.0,,,-100.0
4822,-35.0,-100.0,,,-100.0
4839,-34.0,-100.0,,,-100.0
4860,-33.0,-100.0,,,-100.0
4890,-31.0,-100.0,,,-100.0
4906,-30.0,-100.0,,,-100.0
4923,-28.0,-100.0,,,-100.0
4940,-27.0,-100.0,,,-100.0
4957,-26.0,-100.0,,,-100.0
4975,-25.0,-100.0,,,-100.0
4992,-24.0,-100.0,,,-100.0
5024,-22.0,-100.0,,,-100.0
5041,-21.0,-100.0,,,-100.0
5058,-20.0,-100.0,,,-100.0
5074,-18.0,-100.0,,,-100.0
5090,-17.0,-100.0,,,-100.0
5108,-16.0,-100.0,,,-100.0
5125,-15.0,-100.0,,,-100.0
5141,-14.0,-100.0,,,-100.0
5158,-13.0,-100.0,,,-100.0
5174,-12.0,-100.0,,,-100.0
5191,-11.0,-100.0,,,-100.0
5208,-9.0,-100.0,,,-100.0
