Time(sec),ASL9LVC97FUCZ
0.0,-100.0
1.0,-100.0
2.0,-99.928125
3.0,-83.03042763157893
4.0,-58.20592105263158
5.0,-43.785714285714285
6.0,
7.0,-42.611111111111114
8.0,-42.5
9.0,-41.7
10.0,-41.5
11.0,-41.5
12.0,-33.42142857142857
13.0,-32.0
14.0,-32.0
15.0,-32.0
16.0,-32.0
17.0,-31.78333333333333
18.0,-26.552083333333336
19.0,-16.5
20.0,
21.0,
22.0,
23.0,
24.0,
25.0,
26.0,22.734615384615385
27.0,23.580769230769228
28.0,24.426923076923078
29.0,25.273076923076925
30.0,26.119230769230768
31.0,52.114999999999995
32.0,56.875
33.0,
34.0,
35.0,
36.0,
37.0,
38.0,
39.0,
40.0,
41.0,
42.0,
43.0,
44.0,
45.0,38.9222972972973
46.0,38.548986486486484
47.0,38.122972972972974
48.0,37.63333333333333
49.0,29.125
50.0,29.0
51.0,29.0
52.0,29.0
53.0,29.0
54.0,29.0
55.0,29.0
56.0,29.0
57.0,29.0
58.0,29.0
59.0,29.0
60.0,29.0
61.0,29.0
62.0,29.0
63.0,29.0
64.0,56.35582187420423
65.0,82.0
66.0,93.6625
67.0,99.96666666666667
68.0,82.65555555555555
69.0,62.212962962962955
70.0,60.0
71.0,60.0
72.0,
73.0,
74.0,
75.0,
76.0,
77.0,
78.0,
79.0,
80.0,
81.0,
82.0,
83.0,
84.0,
85.0,
86.0,
87.0,83.5
88.0,
89.0,
90.0,
91.0,
92.0,
93.0,
94.0,
95.0,
96.0,
97.0,
98.0,
99.0,
100.0,
101.0,
102.0,
103.0,
104.0,
105.0,
106.0,-15.0
107.0,-15.0
108.0,-15.0
109.0,-16.3
110.0,-23.261904761904763
111.0,-23.73809523809524
112.0,-24.0
113.0,-24.0
114.0,-24.0
115.0,-24.0
116.0,-24.0
117.0,-24.0
118.0,-24.0
119.0,-24.0
120.0,-24.0
121.0,-24.0
122.0,-24.0
123.0,-24.0
124.0,-24.0
125.0,-24.0
126.0,-24.0
127.0,-24.0
128.0,-24.0
129.0,-24.0
130.0,-24.0
131.0,-26.2
132.0,-32.0
133.0,-32.0
134.0,-32.03809523809524
135.0,-35.76190476190476
136.0,-38.0
137.0,-38.0
138.0,-38.0
139.0,-38.0
140.0,-38.0
141.0,-38.0
142.0,-38.0
143.0,-38.0
144.0,-38.0
145.0,-38.0
146.0,-38.0
147.0,-38.0
148.0,-37.76
149.0,-29.013333333333332
150.0,-24.47222222222222
151.0,-23.0
152.0,-22.904
153.0,-22.328
154.0,-21.688
155.0,-17.813333333333333
156.0,-12.9225
157.0,1.6603846153846153
158.0,4.0
159.0,4.0
160.0,4.0
161.0,4.0
162.0,4.0
163.0,4.0
164.0,4.0
165.0,6.192857142857143
166.0,14.0
167.0,14.0
168.0,9.058181818181819
169.0,-1.285714285714286
170.0,-1.285714285714286
171.0,-1.285714285714286
172.0,-1.285714285714286
173.0,-1.285714285714286
174.0,-1.2857142857142858
175.0,
176.0,
177.0,
178.0,
179.0,
180.0,
181.0,
182.0,
183.0,
184.0,
185.0,
186.0,
187.0,
188.0,
189.0,
190.0,
191.0,
192.0,
193.0,
194.0,
195.0,
196.0,6.466666666666667
197.0,0.9389071038251364
198.0,-2.0710382513661205
199.0,-2.180327868852459
200.0,-2.2896174863387975
201.0,-2.398907103825137
202.0,-2.5081967213114753
203.0,-2.617486338797814
