Time(sec),ALPARR84EASL2
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-99.85714285714288
4.0,-99.85714285714288
5.0,-98.45769230769233
6.0,-91.76602564102562
7.0,-78.86666666666667
8.0,-73.0
9.0,-72.3375
10.0,-65.88083333333333
11.0,-34.430608184918526
12.0,-22.64230769230769
13.0,-4.9944444444444445
14.0,34.51775725545748
15.0,56.0
16.0,56.0
17.0,71.75771464646465
18.0,95.59107142857142
19.0,98.5
20.0,98.5
21.0,98.5
22.0,98.5
23.0,98.5
24.0,98.5
25.0,98.5
26.0,98.5
27.0,98.5
28.0,99.4
29.0,100.0
30.0,100.0
31.0,100.0
32.0,100.0
33.0,92.99545454545455
34.0,98.49
35.0,100.0
36.0,100.0
37.0,100.0
38.0,99.86785714285715
39.0,98.67857142857143
40.0,98.67857142857143
41.0,98.67857142857143
42.0,98.67857142857143
43.0,98.67857142857143
44.0,98.67857142857143
45.0,98.67857142857143
46.0,96.16331168831171
47.0,68.32382352941177
48.0,65.0
49.0,65.0
50.0,52.25104166666667
51.0,34.0
52.0,49.53941798941799
53.0,65.49444444444444
54.0,85.17273391812866
55.0,96.78947368421052
56.0,96.78947368421052
57.0,96.78947368421052
58.0,96.78947368421052
59.0,99.67894736842105
60.0,100.0
61.0,100.0
62.0,87.35
63.0,91.34916666666666
64.0,96.6875
65.0,96.6875
66.0,96.6875
67.0,96.6875
68.0,96.6875
69.0,96.6875
70.0,96.6875
71.0,96.6875
72.0,96.6875
73.0,98.34375
74.0,100.0
75.0,100.0
76.0,100.0
77.0,100.0
78.0,100.0
79.0,100.0
80.0,100.0
81.0,100.0
82.0,100.0
83.0,100.0
84.0,100.0
85.0,100.0
86.0,100.0
87.0,100.0
88.0,100.0
89.0,100.0
90.0,100.0
91.0,100.0
92.0,100.0
93.0,100.0
94.0,100.0
95.0,100.0
96.0,100.0
97.0,100.0
98.0,100.0
99.0,100.0
100.0,100.0
101.0,100.0
102.0,100.0
103.0,100.0
104.0,99.61666666666666
105.0,97.44444444444444
106.0,97.44444444444444
107.0,97.44444444444444
108.0,97.44444444444444
109.0,97.44444444444444
110.0,97.44444444444444
111.0,97.44444444444444
112.0,95.95555555555555
113.0,74.73392857142858
114.0,71.0
115.0,71.0
116.0,94.54116666666667
117.0,100.0
118.0,100.0
119.0,61.54070502342813
120.0,86.47256944444446
121.0,96.90277777777779
122.0,96.90277777777779
123.0,96.90277777777779
124.0,96.90277777777779
125.0,96.90277777777779
126.0,96.90277777777779
127.0,96.90277777777779
128.0,96.90277777777779
129.0,96.90277777777779
130.0,97.52222222222221
131.0,100.0
132.0,100.0
133.0,100.0
134.0,100.0
135.0,100.0
136.0,100.0
137.0,100.0
138.0,100.0
139.0,100.0
140.0,100.0
141.0,100.0
142.0,100.0
143.0,100.0
144.0,100.0
145.0,100.0
146.0,100.0
147.0,100.0
148.0,100.0
149.0,100.0
150.0,100.0
151.0,100.0
152.0,100.0
153.0,100.0
154.0,100.0
155.0,100.0
156.0,100.0
157.0,100.0
158.0,100.0
159.0,100.0
160.0,100.0
161.0,100.0
162.0,100.0
163.0,100.0
164.0,100.0
165.0,100.0
166.0,100.0
167.0,100.0
168.0,100.0
169.0,100.0
170.0,100.0
171.0,100.0
172.0,100.0
173.0,100.0
174.0,100.0
175.0,100.0
176.0,96.7
177.0,92.5
178.0,92.5
179.0,92.5
