Time(sec),A4FNENGCDFSOG
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-99.25375
34.0,-77.5533673924115
35.0,-61.17999999999999
36.0,-51.11168831168831
37.0,-44.0
38.0,-44.0
39.0,-44.0
40.0,-44.0
41.0,-46.925
42.0,-50.0
43.0,-57.451055555555556
44.0,-64.0
45.0,-64.0
46.0,-64.0
47.0,-41.18375040691394
48.0,-33.0
49.0,-22.339090909090906
50.0,-19.0
51.0,-19.0
52.0,-19.0
53.0,-19.0
54.0,-19.0
55.0,-19.0
56.0,-19.0
57.0,-4.507343975468977
58.0,37.486555555555555
59.0,39.0
60.0,39.0
61.0,39.0
62.0,34.229615384615386
63.0,14.455448135198134
64.0,-17.318443223443225
65.0,-35.38333333333334
66.0,-43.375
67.0,-39.36489731449626
68.0,16.355458774497027
69.0,69.92800505050505
70.0,78.72513904780067
71.0,50.72380952380952
72.0,36.56171023965142
73.0,26.0
74.0,13.75964285714286
75.0,0.6394444444444444
76.0,-3.98125
77.0,-7.0
78.0,-7.0
79.0,0.05209972928912272
80.0,28.72368421052631
81.0,29.0
82.0,29.0
83.0,29.0
84.0,29.0
85.0,29.0
86.0,22.525019283075544
87.0,1.659660580964929
88.0,-10.708387445887446
89.0,-15.0
90.0,-24.500416666666666
91.0,-47.134027777777774
92.0,-54.0
93.0,-61.38664596273291
94.0,-35.66370860939826
95.0,-8.09516748366013
96.0,-3.0
97.0,-3.0
98.0,-3.0
99.0,4.987833000333
100.0,16.171875
101.0,23.499305555555555
102.0,24.0
103.0,24.0
104.0,17.744999999999997
105.0,2.191666666666667
106.0,1.0183333333333333
107.0,1.0
108.0,1.0
109.0,1.0
110.0,1.0
111.0,-0.2895833333333334
112.0,-25.580899100899103
113.0,-38.675
114.0,-51.2
115.0,-64.64707875457876
116.0,-77.0
117.0,-78.71666666666667
118.0,-91.0409420289855
119.0,-99.7536231884058
120.0,-99.46376811594205
121.0,-89.92111845772459
122.0,-37.846843909014964
123.0,19.209755187758866
124.0,69.44234753550543
125.0,83.05327866577866
126.0,61.054772727272734
127.0,39.4375
128.0,4.103452380952381
129.0,-36.02582995951417
130.0,-50.54974747474747
131.0,-62.804761904761904
132.0,-75.36285714285714
133.0,-79.0
134.0,-83.30757575757575
135.0,-99.75
136.0,-100.0
137.0,-100.0
138.0,-99.75
139.0,-99.19444444444443
140.0,-98.63888888888889
141.0,-93.97041666666667
142.0,-43.02067461609568
143.0,-7.551880717321893
144.0,12.903038461538461
145.0,22.0
146.0,22.0
147.0,22.0
148.0,19.419999999999998
149.0,-0.2988021238021236
150.0,-23.054545454545455
151.0,-27.835164921231648
152.0,-61.79401895206242
153.0,-67.0
154.0,-73.67930555555556
155.0,-74.00753968253967
156.0,-39.327371794871794
157.0,-7.173333333333334
158.0,-6.0
159.0,-6.0
160.0,-6.0
161.0,-6.0
162.0,-11.175
163.0,-31.40208333333333
164.0,-57.497321428571425
165.0,-43.076498596647596
166.0,10.262415158371041
167.0,32.62056547619047
168.0,42.0
169.0,42.0
170.0,18.073333333333334
171.0,8.302197802197801
172.0,-22.446923076923078
173.0,-25.0
174.0,-25.0
175.0,-25.0
176.0,-25.0
177.0,-25.0
178.0,-25.0
179.0,-25.0
180.0,-25.0
181.0,-25.0
182.0,-25.03076923076923
183.0,-25.769230769230774
184.0,-45.97880952380952
185.0,-90.5052380952381
186.0,-96.0
