Time(sec),A3BPENSX5EVJ2
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-95.8740404040404
65.0,-86.89424765293187
66.0,-81.52699402869857
67.0,-81.0
68.0,-81.0
69.0,-81.0
70.0,-81.0
71.0,-81.0
72.0,-81.0
73.0,-81.0
74.0,-81.0
75.0,-81.0
76.0,-80.27761904761904
77.0,-65.14745676021604
78.0,-48.015992063492064
79.0,-32.75226190476191
80.0,-22.35
81.0,-12.576666666666664
82.0,-2.307777777777778
83.0,4.475
84.0,8.944444444444443
85.0,13.264166666666668
86.0,17.45
87.0,21.56666666666667
88.0,24.95
89.0,28.0
90.0,30.621428571428574
91.0,31.0
92.0,31.0
93.0,32.06547619047619
94.0,37.98551587301587
95.0,52.467499999999994
96.0,69.99249999999999
97.0,87.6125
98.0,90.0
99.0,90.0
100.0,90.0
101.0,90.0
102.0,90.0
103.0,90.0
104.0,90.0
105.0,90.0
106.0,90.0
107.0,90.0
108.0,90.0
109.0,90.0
110.0,90.0
111.0,88.675
112.0,82.45
113.0,78.0
114.0,73.525
115.0,69.0
116.0,65.37549019607843
117.0,62.25467032967033
118.0,58.83180426556588
119.0,47.87842043835078
120.0,37.18541666666666
121.0,36.0
122.0,35.05555555555555
123.0,34.8611111111111
124.0,34.8611111111111
125.0,34.8611111111111
126.0,34.8611111111111
127.0,34.8611111111111
128.0,34.8611111111111
129.0,34.8611111111111
130.0,34.8611111111111
131.0,34.8611111111111
132.0,33.71233766233766
133.0,29.680202020202024
134.0,25.474551020408164
135.0,21.455000000000002
136.0,16.975
137.0,12.744
138.0,7.592371031746032
139.0,1.5258928571428572
140.0,-2.611538461538461
141.0,-8.321428571428573
142.0,-15.007916666666665
143.0,-20.906944444444445
144.0,-28.589166666666664
145.0,-43.351904761904756
146.0,-56.82710164835165
147.0,-63.62991071428572
148.0,-68.4760473901099
149.0,-73.8
150.0,-79.275
151.0,-83.375
152.0,-86.95
153.0,-90.1
154.0,-92.0
155.0,-92.0
156.0,-92.2
157.0,-93.0
158.0,-93.0
159.0,-93.0
160.0,-93.0
161.0,-93.0
162.0,-93.0
163.0,-93.0
164.0,-93.0
165.0,-93.0
166.0,-93.0
167.0,-93.0
168.0,-93.0
169.0,-93.0
170.0,-93.0
171.0,-93.0
172.0,-93.0
