Time(sec),2VKACLXTMOQWO
0.0,-100.0
1.0,-99.50656565656566
2.0,-99.24550264550264
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-99.91749999999999
10.0,-98.0
11.0,-98.0
12.0,-98.0
13.0,-98.0
14.0,-98.0
15.0,-98.0
16.0,-98.0
17.0,-98.0
18.0,-98.0
19.0,-98.0
20.0,-98.0
21.0,-98.0
22.0,-98.0
23.0,-98.0
24.0,-97.896875
25.0,-99.23928571428571
26.0,-99.87166666666667
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-98.97602286602287
36.0,-96.61619644244644
37.0,-94.25885695187165
38.0,-95.0
39.0,-94.71128787878789
40.0,-95.04314102564102
41.0,-91.02055958747135
42.0,-91.34248190301763
43.0,-97.28073158323159
44.0,-99.57430555555557
45.0,-99.47318181818181
46.0,-99.40681818181818
47.0,-99.17539682539683
48.0,-99.921
49.0,-99.51111111111112
50.0,-99.84
51.0,-100.0
52.0,-100.0
53.0,-99.92916666666667
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-99.64666666666668
64.0,-95.11625000000001
65.0,-94.56018518518519
66.0,-94.3202380952381
67.0,-95.63
68.0,-94.82833333333333
69.0,-92.16488095238095
70.0,-92.22749999999999
71.0,-89.4984126984127
72.0,-91.11833333333334
73.0,-93.005
74.0,-93.315
75.0,-91.74571428571429
76.0,-99.43333333333334
77.0,-99.86666666666666
78.0,-99.73333333333332
79.0,-100.0
80.0,-99.675
81.0,-98.22500000000001
82.0,-98.78055555555555
83.0,-100.0
84.0,-99.2057142857143
85.0,-99.68125
86.0,-98.21964285714286
87.0,-99.90625
88.0,-100.0
89.0,-100.0
90.0,-97.69063131313132
91.0,-97.13488095238095
92.0,-98.90613095238095
93.0,-99.87585891381346
94.0,-100.0
95.0,-100.0
96.0,-100.0
97.0,-100.0
98.0,-100.0
99.0,-100.0
100.0,-100.0
101.0,-100.0
102.0,-100.0
103.0,-98.2247619047619
104.0,-93.824375
105.0,-97.52819291819293
106.0,-95.19627777777778
107.0,-96.20520634920635
108.0,-96.46789915966386
109.0,-96.87579670842538
110.0,-98.72419382133019
111.0,-99.63880525030524
112.0,-97.90106421356421
113.0,-91.22326381951383
114.0,-90.10074037074035
115.0,-82.93160173160172
116.0,-81.4
117.0,-81.0
118.0,-81.0
119.0,-81.0
120.0,-81.0
121.0,-81.0
122.0,-81.0
123.0,-81.0
124.0,-81.0
125.0,-81.0
126.0,-81.0
127.0,-81.89557880391214
128.0,-83.26535714285714
129.0,-83.83333333333334
130.0,-83.78571428571428
131.0,-84.92188311688312
132.0,-88.63793939393939
133.0,-90.79067460317461
134.0,-92.48833333333333
135.0,-92.48309523809523
