annotation_practice_task_url,violence_annotation_task_url,experiment_name
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46,Movie Violence Rating Experiment #0
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=6B43C627-83CC-4512-941C-E8521BF6BE33,Movie Violence Rating Experiment #1
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=4FE012AE-6258-4AB3-86AE-5FA49C17B520,Movie Violence Rating Experiment #2
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=CB5F745C-14F1-49F6-A09C-87267E792890,Movie Violence Rating Experiment #3
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=6DE9BA0A-F9BC-4040-9D72-651BA3D1F12B,Movie Violence Rating Experiment #5
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=7D160AFD-4568-4BC1-AA5D-CEE169F4A8D0,Movie Violence Rating Experiment #6
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=903EA695-59A1-46B5-A9E2-418F05E3D50E,Movie Violence Rating Experiment #7
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=03F45035-917B-4979-9743-562CCC6F1A15,Movie Violence Rating Experiment #8
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=C80102CD-4F16-408C-8B98-2DF02B7CFE58,Movie Violence Rating Experiment #9
https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696,https://sail.usc.edu/movie_violence_annotation/annotation.php?id=8E5BB6CB-D0DF-4F8B-933C-C6099BE06AA8,Movie Violence Rating Experiment #10
