"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.annotation_practice_task_url","Input.violence_annotation_task_url","Input.experiment_name","Answer.surveycode","Answer.workerIDField","Approve","Reject"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","30IQTZXKALKCVOMLZ2F93GP7XFT0XW","ACBG07QLGIDP0","Submitted","Tue Jun 16 14:44:09 PDT 2020","Tue Jun 16 14:54:36 PDT 2020","Fri Jun 19 14:54:36 PDT 2020","","","","627","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","RTQxQkI2QjUtQzQ2RS00QjI2LUJFMTgtQkU2MDMxODhBQTQ2","ACBG07QLGIDP0"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","33M4IA01QHF0VI6KTFYONCQU65CRX5","AW99PGWI4S438","Submitted","Tue Jun 16 16:54:26 PDT 2020","Tue Jun 16 16:54:56 PDT 2020","Fri Jun 19 16:54:56 PDT 2020","","","","30","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","AW99PGWI4S438","AW99PGWI4S438"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","3KKG4CDWKJC3TGMOFNWXZGT27NF49S","AQZM81DMVPHW5","Submitted","Tue Jun 16 14:23:31 PDT 2020","Tue Jun 16 14:52:05 PDT 2020","Fri Jun 19 14:52:05 PDT 2020","","","","1714","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","RTQxQkI2QjUtQzQ2RS00QjI2LUJFMTgtQkU2MDMxODhBQTQ2","AQZM81DMVPHW5"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","3LQ8PUHQFM6QGT3MYOMT6Y19VJ6IHV","AU2980AA60A2C","Submitted","Tue Jun 16 16:17:23 PDT 2020","Tue Jun 16 16:28:00 PDT 2020","Fri Jun 19 16:28:00 PDT 2020","","","","637","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","RTQxQkI2QjUtQzQ2RS00QjI2LUJFMTgtQkU2MDMxODhBQTQ2","AU2980AA60A2C"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","3OVHNO1VE7FVZ3NUCWRPF8P1Z48DZ7","ALPARR84EASL2","Submitted","Tue Jun 16 15:24:29 PDT 2020","Tue Jun 16 15:35:05 PDT 2020","Fri Jun 19 15:35:05 PDT 2020","","","","636","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","RTQxQkI2QjUtQzQ2RS00QjI2LUJFMTgtQkU2MDMxODhBQTQ2","ALPARR84EASL2"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","3PIWWX1FJKKI2AII46AEUCWOLQKJJY","AZSSG2REHDX18","Submitted","Tue Jun 16 14:47:15 PDT 2020","Tue Jun 16 14:47:26 PDT 2020","Fri Jun 19 14:47:26 PDT 2020","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","RTQxQkI2QjUtQzQ2RS00QjI2LUJFMTgtQkU2MDMxODhBQTQ2","AZSSG2REHDX18"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","3RWE2M8QWIO7JU8HXWS05EY9V02N0G","ACM1CEGHXTKZP","Submitted","Tue Jun 16 13:29:24 PDT 2020","Tue Jun 16 14:03:03 PDT 2020","Fri Jun 19 14:03:03 PDT 2020","","","","2019","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","RTQxQkI2QjUtQzQ2RS00QjI2LUJFMTgtQkU2MDMxODhBQTQ2","ACM1CEGHXTKZP"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","3U088ZLJVL7X6OHVPXJN1XB0OD00WG","AOEGJLWFISOZQ","Submitted","Tue Jun 16 15:57:13 PDT 2020","Tue Jun 16 16:07:34 PDT 2020","Fri Jun 19 16:07:34 PDT 2020","","","","621","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","RTQxQkI2QjUtQzQ2RS00QjI2LUJFMTgtQkU2MDMxODhBQTQ2","AOEGJLWFISOZQ"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","3X87C8JFV7PSN05LMQ31JEZXV3KQS5","AR6CG5786DZ8K","Submitted","Tue Jun 16 14:16:35 PDT 2020","Tue Jun 16 14:29:34 PDT 2020","Fri Jun 19 14:29:34 PDT 2020","","","","779","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","RTQxQkI2QjUtQzQ2RS00QjI2LUJFMTgtQkU2MDMxODhBQTQ2","AR6CG5786DZ8K"
"3E9ZFLPWOY6KGZ57DQZDL0TH25SXI2","3VMQHMXNFUUCQGFIBEOMPV1YW1HRP7","Movie clip violence annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.)","Annotation of violence in movie clips","violence, movies, Hollywood","$1.00","Tue Jun 16 12:42:59 PDT 2020","10","BatchId:4081735;OriginalHitTemplateId:928390828;","3600","259200","Tue Jun 23 12:42:59 PDT 2020","","","3XXU1SWE8N90ZBESOSNVJ8E9WUOA06","AJE5OG666CBAC","Submitted","Tue Jun 16 14:59:29 PDT 2020","Tue Jun 16 15:09:48 PDT 2020","Fri Jun 19 15:09:48 PDT 2020","","","","619","0% (0/0)","0% (0/0)","0% (0/0)","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=021F7C7E-4134-8240-3607-5A92F789D696","https://sail.usc.edu/movie_violence_annotation/annotation.php?id=E41BB6B5-C46E-4B26-BE18-BE603188AA46","Movie Violence Rating Experiment #0","RTQxQkI2QjUtQzQ2RS00QjI2LUJFMTgtQkU2MDMxODhBQTQ2","AJE5OG666CBAC"
