Time,Value
0.0,
0.0,-96.61200200499316
1e-05,
225.99999,
226.0,-97.32948921350618
226.0,-97.32948921350618
226.0,-97.32948921350618
226.00001,
227.99999,
228.0,-97.3358386578293
228.0,-97.3358386578293
228.0,-97.3358386578293
228.00001,
242.99999,
243.0,-97.38345949025272
243.0,-97.38345949025272
243.0,-97.38345949025272
243.00001,
245.99999,
246.0,-97.39298365673744
246.0,-97.39298365673744
247.0,-97.396158378899
248.0,-97.39933310106056
249.0,-97.40250782322212
250.0,-97.40568254538368
251.0,-97.40885726754524
252.0,-97.4120319897068
253.0,-97.41520671186836
254.0,-97.41838143402993
255.0,-97.42155615619149
256.0,-97.42473087835305
257.0,-97.4279056005146
258.0,-97.43108032267617
259.0,-97.43425504483773
260.0,-97.43742976699929
261.0,-97.44060448916086
262.0,-97.44377921132242
263.0,-97.44695393348398
264.0,-97.45012865564554
265.0,-97.4533033778071
266.0,-97.45647809996866
267.0,-97.45965282213022
268.0,-97.46282754429178
269.0,-97.46600226645336
270.0,-97.46917698861492
271.0,-97.47235171077648
272.0,-97.47552643293804
273.0,-97.4787011550996
274.0,-97.48187587726116
275.0,-97.48505059942272
276.0,-97.48822532158428
277.0,-97.49140004374584
278.0,-97.49457476590742
279.0,-97.49774948806898
280.0,-97.50092421023054
281.0,-97.5040989323921
282.0,-97.50727365455366
283.0,-97.51044837671522
284.0,-97.51362309887678
285.0,-97.51679782103834
286.0,-97.51997254319993
287.0,-97.52314726536149
288.0,-97.52632198752305
289.0,-97.5294967096846
290.0,-97.53267143184615
291.0,-97.53584615400771
292.0,-97.53902087616927
293.0,-97.54219559833084
294.0,-97.5453703204924
295.0,-97.54854504265396
296.0,-97.55171976481552
297.0,-97.55489448697708
298.0,-97.55806920913864
299.0,-97.5612439313002
300.0,-97.56441865346176
301.0,-97.56759337562332
302.0,-97.5707680977849
303.0,-97.57394281994648
304.0,-97.57711754210804
305.0,-97.5802922642696
306.0,-97.58346698643116
307.0,-97.58664170859272
308.0,-97.58981643075428
309.0,-97.59299115291584
310.0,-97.5961658750774
311.0,-97.59934059723896
312.0,-97.60251531940052
313.0,-97.60569004156208
314.0,-97.60886476372364
315.0,-97.6120394858852
316.0,-97.61521420804677
317.0,-97.61838893020833
318.0,-97.62156365236989
319.0,-97.62473837453146
320.0,-97.62791309669302
321.0,-97.63108781885458
322.0,-97.63426254101614
323.0,-97.6374372631777
324.0,-97.64061198533926
325.0,-97.64378670750082
326.0,-97.64696142966238
327.0,-97.65013615182396
328.0,-97.65331087398552
329.0,-97.65648559614708
330.0,-97.65966031830864
331.0,-97.6628350404702
332.0,-97.66600976263176
333.0,-97.66918448479332
334.0,-97.67235920695488
335.0,-97.67553392911644
336.0,-97.678708651278
337.0,-97.68188337343958
338.0,-97.68505809560114
339.0,-97.6882328177627
340.0,-97.69140753992426
341.0,-97.69458226208582
342.0,-97.69775698424738
343.0,-97.70093170640894
344.0,-97.70410642857051
345.0,-97.70728115073207
346.0,-97.71045587289363
347.0,-97.71363059505519
348.0,-97.71680531721675
349.0,-97.71998003937831
350.0,-97.72315476153987
351.0,-97.72632948370143
352.0,-97.729504205863
353.0,-97.73267892802455
354.0,-97.73585365018612
355.0,-97.73902837234768
356.0,-97.74220309450924
357.0,-97.7453778166708
358.0,-97.74855253883236
359.0,-97.75172726099392
360.0,-97.75490198315549
361.0,-97.75807670531708
362.0,-97.76125142747864
363.0,-97.7644261496402
364.0,-97.76760087180176
365.0,-97.77077559396332
366.0,-97.77395031612488
367.0,-97.77712503828644
368.0,-97.780299760448
369.0,-97.78347448260956
370.0,-97.78664920477112
371.0,-97.78982392693268
372.0,-97.79299864909424
373.0,-97.7961733712558
374.0,-97.79934809341736
375.0,-97.80252281557893
376.0,-97.80569753774049
377.0,-97.80887225990206
378.0,-97.81204698206362
379.0,-97.8152217042252
380.0,-97.81839642638674
381.0,-97.8215711485483
382.0,-97.82474587070986
383.0,-97.82792059287142
384.0,-97.83109531503298
385.0,-97.83427003719456
386.0,-97.83744475935612
387.0,-97.84061948151769
388.0,-97.84379420367924
389.0,-97.8469689258408
390.0,-97.85014364800236
391.0,-97.85331837016392
392.0,-97.85649309232548
393.0,-97.85966781448704
394.0,-97.8628425366486
395.0,-97.86601725881016
396.0,-97.86919198097172
397.0,-97.8723667031333
398.0,-97.87554142529486
399.0,-97.87871614745642
400.0,-97.88189086961798
401.0,-97.88506559177955
402.0,-97.88824031394111
403.0,-97.8914150361027
404.0,-97.89458975826423
405.0,-97.89776448042579
406.0,-97.90093920258735
407.0,-97.90411392474891
408.0,-97.90728864691047
409.0,-97.91046336907206
410.0,-97.9136380912336
411.0,-97.91681281339515
412.0,-97.91998753555671
413.0,-97.92316225771827
414.0,-97.92633697987984
415.0,-97.9295117020414
416.0,-97.93268642420296
417.0,-97.93586114636452
418.0,-97.93903586852609
419.0,-97.9422105906877
420.0,-97.94538531284924
421.0,-97.9485600350108
422.0,-97.95173475717236
423.0,-97.95490947933392
424.0,-97.95808420149548
