Time,Value
0.0,
0.0,-99.98833813119394
1e-05,
89.99999,
90.0,-92.0527507597924
93.00000000041592,-91.788231180709
93.69693104214748,-91.788231180709
94.99998931192314,-97.99994905161793
94.99999508189023,-97.99994905161793
95.0,-97.99994793694577
95.00001,
120.43722923387308,
120.99999,
121.0,-92.23469000141705
122.0,-92.23469000141705
122.00001,
199.82603327213172,
199.99999,
200.0,-91.51189999926608
200.99999999832366,-87.357140006961
201.0,-87.357140006961
201.00001,
202.99999,
203.0,-87.357140006961
204.99999998863552,-87.357140006961
205.0,-87.35714000914061
205.00001,
235.35213276776886,
246.99999,
247.0,-93.17838999997477
247.0,-93.17838999997477
247.00001,
273.49736074745897,
273.99999,
274.0,-90.94444000017772
274.9999891421216,-86.50004825690212
274.9999891425876,-86.50004825690209
275.0,-86.50007149154739
275.00001,
277.99999,
278.0,-92.92001146461548
278.9999999958188,-95.05999144669056
285.9999999995728,-95.0599914466906
286.0,-95.05999144641588
286.00001,
294.99990779877487,
294.9999077987905,
294.99999,
295.0,-89.27254492585878
296.77379286492095,-98.99999999968487
303.3568503393019,-98.99999999968477
313.0,-98.55845969721982
313.00001,
412.55582497231933,
413.99998694982077,
413.99999,
414.0,-93.999938375842
414.0,-93.999938375842
414.00001,
415.99999,
415.99999999995765,-84.55556000019328
416.0,-84.55556000019328
416.0,-84.55556000019328
416.00001,
436.8948940539788,
436.99999,
437.0,-83.58332999957067
437.9999964714746,-74.33336263912906
437.99999829359314,-74.33336263912919
438.0,-74.3333634006085
438.00001,
449.9999526781125,
449.99999,
449.99999337528834,-79.6883088827603
450.0,-79.68837407340713
450.9999965128322,-89.52886568464329
450.9999999951018,-89.52886568464348
452.9999999994247,-99.5365308554292
452.9999999995937,-99.53653085542908
453.9999210963842,-99.99996343186352
619.0,-99.99996343186352
