Time,Value
0.0,-100.0
21.99999999901137,-100.0
29.0,-74.9037503586852
29.00001,
36.99999,
37.0,-46.22232220123333
37.0,-46.22232220123333
37.00001,
42.99999,
43.0,-24.711251083144433
46.99999999999999,-10.370537004418507
46.99999999999999,-10.370537004418523
51.48616845977765,98.24144441176668
84.33783231646358,98.24144441176658
87.0,41.52933373134298
87.00001,
89.99999,
90.0,-22.37961276118662
90.88452939406582,-41.22272666666072
92.51735345303557,-41.222726666660755
95.0,-51.22295855372261
95.00001,
98.99999,
99.0,-67.33517057889276
101.0,-75.39127659147782
101.00001,
102.1804026852563,
102.99999,
103.0,-80.14600117646023
103.0,-80.14600117646023
103.00001,
104.99999,
105.0,-80.14600117646023
105.0,-80.14600117646023
105.00001,
107.99999,
108.0,-80.14600117646023
108.0,-80.14600117646023
108.00001,
114.99999,
115.0,-80.14600117646023
115.0,-80.14600117646023
115.00001,
141.99999,
142.0,-80.14600117646022
142.0,-80.14600117646022
142.00001,
145.99999,
146.0,-80.14600117646022
146.0,-80.14600117646022
146.00001,
158.99999,
159.0,-80.14600117646022
165.0,-80.14600117646022
165.00001,
248.99999,
249.0,-80.1460011764602
249.0,-80.1460011764602
249.00001,
250.99999,
251.0,-80.1460011764602
252.0,-80.1460011764602
252.00001,
254.03804405782836,
255.99999,
256.0,-74.94283729247189
256.0,-74.94283729247189
256.00001,
257.99999,
258.0,-69.63877946716816
264.0,-53.726605991257
264.00001,
270.99999,
270.9999999999953,-35.16240360270649
271.0,-35.16240360270649
271.0,-35.16240360270649
271.00001,
272.02287977433224,
281.99999,
282.0,-29.600927997803947
284.0,-28.486082134647013
284.00001,
304.99999,
305.0,-16.780200571499215
306.0,-16.222777639920746
306.00001,
384.99999,
385.0,27.81363395477812
387.68793399102964,29.31194999994727
387.9999927841185,29.31194999994727
388.0,29.31193723029698
388.00001,
401.99999,
401.9999999999976,4.536710000005996
402.0,4.536710000005996
403.9999999999556,4.536710000005962
404.0,4.53671000002186
404.00001,
410.99999,
411.0,7.043465685671904
411.0,7.043465685671904
411.00001,
414.99999,
415.0,8.475897506043356
415.0,8.475897506043356
415.00001,
419.99999,
420.0,10.266437281507674
420.0,10.266437281507674
420.00001,
450.99999,
451.0,21.36778388938644
451.0,21.36778388938644
451.00001,
519.3601013672586,
528.3027368912938,
528.99999,
529.0,42.931940768107076
530.0,38.74967557231885
530.00001,
535.99999,
536.0,13.656084397589503
537.0,9.473819201801277
537.00001,
538.99999,
539.0,1.1092888102248253
540.0,-3.0729763855634005
540.00001,
543.3300192509219,
544.99999,
545.0,-16.99999999999866
554.9999999997568,-16.99999999999884
556.9708447375664,0.7363688888890465
564.719241041913,0.7363688888887343
566.9999999999883,-16.685573332811142
567.0000000041636,-16.685573332811547
584.0,-17.14373790522455
