Time,Value
0.0,-99.97222333333332
1.9999999999746767,-99.97222333333332
3.9999999999937823,-60.36259533355332
3.9999999999937823,-60.36259533355332
4.0,-60.3625953335373
4.00001,
15.99999,
16.0,-29.43398397161312
16.0,-29.43398397161312
16.00001,
17.99999,
18.0,-24.279215411292427
19.66029390503708,-20.000000000003816
52.94184714166982,-20.000000000003816
55.0,-9.651995501827173
55.00001,
57.99999,
58.0,5.431438835366091
59.52552413095845,13.101486521737966
81.12181421385715,13.101486521737945
84.0,45.03423805885792
84.00001,
86.99999,
87.0,78.31848783612551
87.43155971934017,83.1065350002341
88.0,83.1065350002341
88.00001,
91.76390460649864,
91.99999,
92.0,72.10902599996395
95.69485018994688,-99.99999999997273
163.9999999155756,-99.99999999997269
165.0,-97.19376464750142
165.00001,
174.99999,
175.0,-69.13141349193633
177.32279822181016,-62.61309555554044
194.0,-62.61309555554041
194.00001,
196.2256453599308,
196.99999,
197.0,-73.58311833289603
198.86208760631192,-99.96268965288981
399.74214806931536,-99.96268965288964
403.70171969482874,99.97180121945713
443.2831781598716,99.97180121945601
444.0,93.03037005668466
444.00001,
445.99999,
446.0,73.66312767040856
448.0,54.29588528413246
448.00001,
451.4860466566013,
451.99999,
451.99999999993,20.53833000000047
452.0,20.538329999809406
452.0,20.538329999809406
452.00001,
459.99999,
460.0,-1.3058949796142514
461.8024370377145,-6.227499999999509
480.4386871695591,-6.227499999999536
483.0,-37.46731139537619
483.00001,
484.99999,
485.0,-61.860904418528406
485.9682987421766,-73.67104713927166
490.0,-73.6710471392717
490.00001,
494.99999,
495.0,-73.67104713927176
495.99999999994867,-73.67104713927178
496.0,-73.6710471397088
496.00001,
497.99999,
498.0,-90.69941087825829
498.99999999993247,-99.21359274695807
506.00000000418123,-99.21359274695764
509.0,-95.6457487174547
509.00001,
525.99999,
526.0,-75.42796585542627
540.0,-58.778027027873456
