Time,Value
0.0,
0.0,-100.00000000000004
1e-05,
91.98191672456656,
150.99999,
151.0,-88.95405000000608
151.00000000005096,-88.95405000000608
152.75919051984013,-98.94398631531828
227.04797478195962,-98.94398631531824
230.0,-94.86714903353264
230.00001,
234.99999,
235.0,-87.96199582401519
235.99999999957103,-86.58096518270412
235.9999999999061,-86.58096518270416
237.8492998481616,-3.790790000000925
238.8708159565609,-3.7907900000000954
239.99999956724548,-68.46988521215462
239.9999995672487,-68.46988521215378
241.7633363418644,-86.99845391519693
619.0,-86.99845391519683
