Time,Value
0.0,-100.0
0.33271725505263416,-100.0
7.0,-95.72255933362818
7.00001,
26.99999,
27.0,-82.89142308216691
28.0,-82.24986626959385
28.00001,
31.99999,
32.0,-79.6836390193016
32.0,-79.6836390193016
32.00001,
98.99999,
99.0,-36.69933257690634
100.0,-36.057775764333286
100.00001,
105.99999,
105.99999999999409,-32.208434888898694
105.99999999999622,-32.208434888898694
106.0,-32.20843488886357
107.0,-22.916742178193935
107.00001,
115.9225382416545,
115.99999,
116.0,59.9887413624582
548.0,59.98874136245814
