Time,Value
0.0,-99.81395348837208
39.0,-99.81395348837208
39.00001,
45.99999,
46.0,-99.81395348837208
46.0,-99.81395348837208
46.00001,
150.99999,
151.0,-99.81395348837208
151.84930229916114,-99.81395348837208
152.0,-99.4999999952617
152.00001,
161.99998812809903,
161.9999881350774,
161.99999,
162.0,-78.6666952006838
162.0,-78.6666952006838
162.00001,
208.99999,
209.0,-80.51883507026726
210.0,-80.55824230153499
210.00001,
507.77752247872473,
510.9998937119988,
510.99999,
511.0,-92.29275952956547
511.0,-92.29275952956547
511.00001,
520.3408201031564,
521.99999,
522.0,-86.10000000032073
522.0,-86.10000000032073
522.00001,
534.8877551020437,
534.99999,
535.0,-87.20000000026525
535.9999965101089,-96.9999657990884
535.9999983289736,-96.99996579908802
536.0,-96.99996534335484
536.00001,
579.999877346673,
579.99999,
580.0,-85.00003345080304
600.0,-85.00003345080306
