Time(sec),Data
0.0,-28.459999999999994
1.0,-28.459999999999994
2.0,-28.459999999999994
3.0,-28.459999999999994
4.0,-28.459999999999994
5.0,-28.459999999999994
6.0,-28.459999999999994
7.0,-28.459999999999994
8.0,-28.459999999999994
9.0,-28.459999999999994
10.0,-28.459999999999994
11.0,-28.459999999999994
12.0,-28.459999999999994
13.0,-28.459999999999994
14.0,-28.459999999999994
15.0,-28.459999999999994
16.0,-28.459999999999994
17.0,-28.459999999999994
18.0,-28.459999999999994
19.0,-28.459999999999994
20.0,-28.459999999999994
21.0,-28.459999999999994
22.0,-28.459999999999994
23.0,-28.459999999999994
24.0,-28.459999999999994
25.0,-28.459999999999994
26.0,-28.459999999999994
27.0,-28.459999999999994
28.0,-28.459999999999994
29.0,-28.459999999999994
30.0,-28.459999999999994
31.0,-27.802333333333326
32.0,-27.144666666666662
33.0,-26.486999999999995
34.0,-25.829333333333327
35.0,-25.171666666666663
36.0,-24.513999999999996
37.0,-24.513999999999996
38.0,-23.737000000000002
39.0,-22.960000000000008
40.0,-22.960000000000008
41.0,-22.222500000000004
42.0,-21.485
43.0,-20.747499999999995
44.0,-20.00999999999999
45.0,-20.00999999999999
46.0,-20.00999999999999
47.0,-20.00999999999999
48.0,-20.00999999999999
49.0,-20.00999999999999
50.0,-20.00999999999999
51.0,-20.00999999999999
52.0,-20.00999999999999
53.0,-20.00999999999999
54.0,-20.00999999999999
55.0,-20.00999999999999
56.0,-20.00999999999999
57.0,-20.00999999999999
58.0,-20.00999999999999
59.0,-20.00999999999999
60.0,-20.00999999999999
61.0,-20.00999999999999
62.0,-20.00999999999999
63.0,-20.00999999999999
64.0,-20.00999999999999
65.0,-20.00999999999999
66.0,-20.00999999999999
67.0,-20.00999999999999
68.0,-20.00999999999999
69.0,-20.00999999999999
70.0,-20.00999999999999
71.0,-20.00999999999999
72.0,-20.00999999999999
73.0,-20.00999999999999
74.0,-20.00999999999999
75.0,-20.00999999999999
76.0,-20.00999999999999
77.0,-20.00999999999999
78.0,-20.00999999999999
79.0,-20.00999999999999
80.0,-20.00999999999999
81.0,-20.00999999999999
82.0,-20.00999999999999
