Time(sec),Data
54.0,-37.09
55.0,-37.09
56.0,-37.09
57.0,-37.09
58.0,-37.09
59.0,-37.09
60.0,-37.09
61.0,-37.09
62.0,-37.09
63.0,-37.09
64.0,-37.09
65.0,-37.09
66.0,-37.09
67.0,-37.09
68.0,-37.09
69.0,-37.09
70.0,-37.09
71.0,-37.09
72.0,-37.09
73.0,-37.09
74.0,-37.09
75.0,-37.09
76.0,-37.09
77.0,-37.09
78.0,-37.09
79.0,-37.09
80.0,-37.09
81.0,-37.09
82.0,-37.09
83.0,-37.09
84.0,-37.09
85.0,-37.09
86.0,-37.09
87.0,-37.09
88.0,-37.09
89.0,-37.09
90.0,-37.09
91.0,-37.09
92.0,-37.09
93.0,-37.09
94.0,-37.09
95.0,-37.09
96.0,-37.09
97.0,-37.09
98.0,-37.09
99.0,-37.09
100.0,-37.09
101.0,-37.09
102.0,-37.09
103.0,-37.09
104.0,-37.09
105.0,-37.09
106.0,-37.09
107.0,-37.09
108.0,-37.09
109.0,-37.09
110.0,-37.09
111.0,-37.09
112.0,-37.09
113.0,-37.09
114.0,-37.09
115.0,-37.09
116.0,-37.09
117.0,-37.09
118.0,-37.09
119.0,-37.09
120.0,-37.09
121.0,-37.09
122.0,-37.09
123.0,-37.09
124.0,-37.09
125.0,-37.09
126.0,-37.09
127.0,-37.09
128.0,-37.09
129.0,-37.09
130.0,-37.09
131.0,-37.09
132.0,-37.09
133.0,-37.09
134.0,-37.09
135.0,-37.09
136.0,-37.09
137.0,-37.09
138.0,-37.09
139.0,-37.09
140.0,-37.09
141.0,-37.09
142.0,-37.09
143.0,-37.09
144.0,-37.09
145.0,-37.09
146.0,-37.09
147.0,-37.09
148.0,-37.09
149.0,-37.09
150.0,-37.09
151.0,-37.09
152.0,-37.09
153.0,-37.09
154.0,-37.09
155.0,-37.09
156.0,-37.09
157.0,-37.09
158.0,-37.09
159.0,-37.09
160.0,-37.09
161.0,-37.09
162.0,-37.09
163.0,-37.09
164.0,-37.09
165.0,-37.09
166.0,-37.09
167.0,-37.09
168.0,-37.09
169.0,-37.09
170.0,-37.09
171.0,-37.09
172.0,-37.09
173.0,-37.09
174.0,-37.09
175.0,-37.09
176.0,-37.09
177.0,-37.09
178.0,-37.09
179.0,-37.09
180.0,-37.09
181.0,-37.09
182.0,-37.09
183.0,-37.09
184.0,-37.09
185.0,-37.09
186.0,-37.09
187.0,-37.09
188.0,-37.09
189.0,-37.09
190.0,-37.09
191.0,-37.09
192.0,-37.09
193.0,-37.09
194.0,-37.09
195.0,-37.09
196.0,-37.09
197.0,-37.09
198.0,-37.09
199.0,-37.09
200.0,-37.09
201.0,-37.09
202.0,-37.09
203.0,-37.09
204.0,-37.09
205.0,-37.09
206.0,-37.09
207.0,-37.09
208.0,-37.09
209.0,-37.09
210.0,-37.09
211.0,-37.09
212.0,-37.09
213.0,-37.09
214.0,-37.09
215.0,-37.09
216.0,-37.09
217.0,-37.09
218.0,-37.09
219.0,-37.09
220.0,-37.09
221.0,-37.09
222.0,-37.09
223.0,-37.09
224.0,-37.09
225.0,-37.09
226.0,-37.09
227.0,-37.09
228.0,-37.09
229.0,-37.09
230.0,-37.09
231.0,-41.32600000000001
232.0,-45.56200000000001
233.0,-42.84333333333335
234.0,-40.12466666666667
235.0,-37.40600000000001
236.0,-37.40600000000001
237.0,-37.40600000000001
238.0,-37.40600000000001
239.0,-37.40600000000001
240.0,-37.40600000000001
241.0,-37.40600000000001
242.0,-37.40600000000001
243.0,-37.40600000000001
244.0,-37.40600000000001
245.0,-37.40600000000001
246.0,-37.40600000000001
247.0,-37.40600000000001
248.0,-37.40600000000001
249.0,-37.40600000000001
250.0,-37.40600000000001
251.0,-37.40600000000001
252.0,-37.40600000000001
253.0,-37.40600000000001
254.0,-37.40600000000001
255.0,-37.40600000000001
256.0,-37.40600000000001
257.0,-37.40600000000001
258.0,-37.40600000000001
259.0,-37.40600000000001
260.0,-37.40600000000001
261.0,-37.40600000000001
262.0,-37.40600000000001
263.0,-37.40600000000001
264.0,-37.40600000000001
265.0,-37.40600000000001
266.0,-37.40600000000001
267.0,-37.40600000000001
268.0,-37.40600000000001
269.0,-37.40600000000001
270.0,-37.40600000000001
271.0,-37.40600000000001
272.0,-37.40600000000001
273.0,-37.40600000000001
274.0,-37.40600000000001
275.0,-37.40600000000001
276.0,-37.40600000000001
277.0,-37.40600000000001
278.0,-37.40600000000001
279.0,-37.40600000000001
280.0,-37.40600000000001
281.0,-37.40600000000001
282.0,-37.40600000000001
283.0,-37.40600000000001
284.0,-37.40600000000001
285.0,-37.40600000000001
286.0,-37.40600000000001
287.0,-37.40600000000001
288.0,-37.40600000000001
289.0,-37.40600000000001
290.0,-37.40600000000001
291.0,-37.40600000000001
292.0,-37.40600000000001
293.0,-37.40600000000001
294.0,-37.40600000000001
295.0,-37.40600000000001
296.0,-37.40600000000001
297.0,-37.40600000000001
298.0,-37.40600000000001
299.0,-37.40600000000001
300.0,-37.40600000000001
301.0,-37.40600000000001
302.0,-37.40600000000001
303.0,-37.40600000000001
304.0,-37.40600000000001
305.0,-37.40600000000001
306.0,-37.40600000000001
307.0,-37.40600000000001
308.0,-37.40600000000001
309.0,-37.40600000000001
310.0,-37.40600000000001
311.0,-37.40600000000001
312.0,-37.40600000000001
313.0,-37.40600000000001
314.0,-37.40600000000001
315.0,-37.40600000000001
316.0,-37.40600000000001
317.0,-37.40600000000001
318.0,-37.40600000000001
319.0,-37.40600000000001
320.0,-37.40600000000001
321.0,-37.40600000000001
322.0,-37.40600000000001
323.0,-37.40600000000001
324.0,-37.40600000000001
325.0,-37.40600000000001
326.0,-37.40600000000001
327.0,-37.40600000000001
328.0,-37.40600000000001
329.0,-37.40600000000001
330.0,-37.40600000000001
331.0,-37.40600000000001
332.0,-37.40600000000001
333.0,-37.40600000000001
334.0,-37.40600000000001
335.0,-37.40600000000001
336.0,-37.40600000000001
337.0,-37.40600000000001
338.0,-37.40600000000001
339.0,-37.40600000000001
340.0,-37.40600000000001
341.0,-37.40600000000001
342.0,-37.40600000000001
343.0,-37.40600000000001
344.0,-37.40600000000001
345.0,-37.40600000000001
346.0,-37.40600000000001
347.0,-37.40600000000001
348.0,-37.40600000000001
349.0,-37.40600000000001
350.0,-37.40600000000001
351.0,-37.40600000000001
352.0,-37.40600000000001
353.0,-37.40600000000001
354.0,-37.40600000000001
355.0,-37.40600000000001
356.0,-37.40600000000001
357.0,-37.40600000000001
358.0,-37.40600000000001
359.0,-37.40600000000001
360.0,-37.40600000000001
361.0,-37.40600000000001
362.0,-37.40600000000001
363.0,-37.40600000000001
364.0,-37.40600000000001
365.0,-37.40600000000001
366.0,-37.40600000000001
367.0,-37.40600000000001
368.0,-37.40600000000001
369.0,-37.40600000000001
370.0,-37.40600000000001
371.0,-37.40600000000001
372.0,-37.40600000000001
373.0,-37.40600000000001
374.0,-37.40600000000001
375.0,-37.40600000000001
376.0,-37.40600000000001
377.0,-37.40600000000001
378.0,-37.40600000000001
379.0,-37.40600000000001
380.0,-37.40600000000001
381.0,-37.40600000000001
382.0,-37.40600000000001
383.0,-37.40600000000001
384.0,-37.40600000000001
385.0,-37.40600000000001
386.0,-37.40600000000001
387.0,-37.40600000000001
388.0,-37.40600000000001
389.0,-37.40600000000001
390.0,-37.40600000000001
391.0,-37.40600000000001
392.0,-37.40600000000001
393.0,-37.40600000000001
394.0,-37.40600000000001
395.0,-37.40600000000001
396.0,-37.40600000000001
397.0,-37.40600000000001
398.0,-37.40600000000001
399.0,-37.40600000000001
400.0,-37.40600000000001
401.0,-37.40600000000001
402.0,-37.40600000000001
403.0,-37.40600000000001
404.0,-37.40600000000001
405.0,-37.40600000000001
406.0,-37.40600000000001
407.0,-37.40600000000001
408.0,-37.40600000000001
409.0,-37.40600000000001
410.0,-37.40600000000001
411.0,-37.40600000000001
412.0,-37.40600000000001
413.0,-37.40600000000001
