Movie Path,Cut Name,Start Time Sec,End Time Sec
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Rambo__Last_Blood.mp4,cut1,51,659
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Rambo__Last_Blood.mp4,cut2,659,1265
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Rambo__Last_Blood.mp4,cut3,1265,1884
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Rambo__Last_Blood.mp4,cut4,1884,2468
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Rambo__Last_Blood.mp4,cut5,2468,3008
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Rambo__Last_Blood.mp4,cut6,3008,3608
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Rambo__Last_Blood.mp4,cut7,3608,4206
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Rambo__Last_Blood.mp4,cut8,4206,4773
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Rambo__Last_Blood.mp4,cut9,4773,4959
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Possession_of_Hannah_Grace.mp4,cut1,34,596
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Possession_of_Hannah_Grace.mp4,cut2,596,1192
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Possession_of_Hannah_Grace.mp4,cut3,1192,1795
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Possession_of_Hannah_Grace.mp4,cut4,1795,2414
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Possession_of_Hannah_Grace.mp4,cut5,2414,3014
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Possession_of_Hannah_Grace.mp4,cut6,3014,3713
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Possession_of_Hannah_Grace.mp4,cut7,3713,4261
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Possession_of_Hannah_Grace.mp4,cut8,4261,4901
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut1,15,573
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut2,573,1247
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut3,1247,1844
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut4,1844,2486
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut5,2486,3106
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut6,3106,3630
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut7,3630,4177
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut8,4177,4872
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut9,4872,5332
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut10,5332,5521
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Hustle.mp4,cut11,5521,5612
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Good_Boys.mp4,cut1,54,598
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Good_Boys.mp4,cut2,598,1281
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Good_Boys.mp4,cut3,1281,1886
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Good_Boys.mp4,cut4,1886,2588
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Good_Boys.mp4,cut5,2588,3121
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Good_Boys.mp4,cut6,3121,3729
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Good_Boys.mp4,cut7,3729,4405
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/Good_Boys.mp4,cut8,4405,5121
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Peanut_Butter_Falcon.mp4,cut1,53,620
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Peanut_Butter_Falcon.mp4,cut2,620,1255
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Peanut_Butter_Falcon.mp4,cut3,1255,1964
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Peanut_Butter_Falcon.mp4,cut4,1964,2554
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Peanut_Butter_Falcon.mp4,cut5,2554,3264
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Peanut_Butter_Falcon.mp4,cut6,3264,3842
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Peanut_Butter_Falcon.mp4,cut7,3842,4548
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Peanut_Butter_Falcon.mp4,cut8,4548,5116
/media/brandon/SailData/2019_Continuous_Annotations/datasets/movie_violence/movies/The_Peanut_Butter_Falcon.mp4,cut9,5116,5469
