Time(sec),AJE5OG666CBAC
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-99.99502652519894
6.0,-99.98397435897436
7.0,-99.97292219274978
8.0,-99.96187002652519
9.0,-99.95081786030062
10.0,-99.93976569407604
11.0,-99.92871352785146
12.0,-99.91766136162688
13.0,-99.9066091954023
14.0,-99.89555702917772
15.0,-99.88450486295315
16.0,-99.87345269672855
17.0,-99.86240053050398
18.0,-99.8513483642794
19.0,-99.84029619805482
20.0,-99.82924403183024
21.0,-99.81819186560566
22.0,-99.80713969938108
23.0,-99.79608753315651
24.0,-99.78503536693192
25.0,-99.77398320070733
26.0,-99.76293103448276
27.0,-99.75187886825817
28.0,-99.7408267020336
29.0,-99.72977453580901
30.0,-99.71872236958444
31.0,-99.70767020335987
32.0,-99.69661803713528
33.0,-99.6855658709107
34.0,-99.67451370468612
35.0,-99.66346153846153
36.0,-99.65240937223696
37.0,-99.64135720601237
38.0,-99.6303050397878
39.0,-99.61925287356323
40.0,-99.60820070733864
41.0,-99.59714854111405
42.0,-99.58609637488948
43.0,-99.57504420866489
44.0,-99.56244473916888
45.0,-99.55227674624226
46.0,-99.54188770999116
47.0,-99.53083554376659
48.0,-99.519783377542
49.0,-99.50873121131742
50.0,-99.49767904509284
51.0,-99.48662687886826
52.0,-99.47557471264368
53.0,-99.46452254641909
54.0,-99.45347038019452
55.0,-99.44241821396994
56.0,-99.43136604774536
57.0,-99.42031388152078
58.0,-99.4092617152962
59.0,-99.39820954907162
60.0,-99.38715738284704
61.0,-99.37610521662245
62.0,-99.36505305039788
63.0,-99.3540008841733
64.0,-99.34294871794872
65.0,-99.33189655172414
66.0,-99.32084438549956
67.0,-99.30979221927498
68.0,-99.2987400530504
69.0,-99.28768788682581
70.0,-99.27663572060123
71.0,-99.26558355437666
72.0,-99.25453138815207
73.0,-99.2434792219275
74.0,-99.23242705570291
75.0,-99.22137488947834
76.0,-99.21032272325377
77.0,-99.19927055702917
78.0,-99.1882183908046
79.0,-99.17716622458002
80.0,-99.16611405835543
81.0,-99.15506189213086
82.0,-99.14400972590627
83.0,-99.1329575596817
84.0,-99.12179487179488
85.0,-99.10919540229885
86.0,-99.09980106100795
87.0,-99.08874889478338
88.0,-99.07769672855879
89.0,-99.06664456233422
90.0,-99.05559239610963
91.0,-99.04454022988506
92.0,-99.03348806366049
93.0,-99.0224358974359
94.0,-99.01138373121132
95.0,-99.00033156498674
96.0,-98.98927939876215
97.0,-98.97822723253758
98.0,-98.96717506631299
99.0,-98.95612290008842
100.0,-98.94507073386384
101.0,-98.93401856763926
102.0,-98.92296640141468
103.0,-98.9119142351901
104.0,-98.90086206896552
105.0,-98.88980990274094
106.0,-98.87875773651635
107.0,-98.86770557029178
108.0,-98.8566534040672
109.0,-98.84560123784262
110.0,-98.83454907161804
111.0,-98.82349690539345
112.0,-98.81244473916888
113.0,-98.8013925729443
114.0,-98.78923519009726
115.0,-98.77862511052166
116.0,-98.76823607427056
117.0,-98.75718390804597
118.0,-98.7461317418214
119.0,-98.73507957559681
120.0,-98.72402740937224
121.0,-98.71297524314767
122.0,-98.70192307692307
123.0,-98.6908709106985
124.0,-98.67981874447392
125.0,-98.66876657824933
126.0,-98.65771441202476
127.0,-98.64666224580017
128.0,-98.6356100795756
129.0,-98.62455791335103
130.0,-98.61350574712644
