Time(sec),AU2980AA60A2C
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-96.05888888888889
29.0,-92.83
30.0,-87.58
31.0,-78.83500000000001
32.0,-76.0
33.0,-76.0
34.0,-76.0
35.0,-76.0
36.0,-76.0
37.0,-76.0
38.0,-76.0
39.0,-76.0
40.0,-76.0
41.0,-76.0
42.0,-76.0
43.0,-76.0
44.0,-73.16251082251082
45.0,-44.36111111111111
46.0,-40.0
47.0,-40.0
48.0,-53.90770833333333
49.0,-72.16153846153847
50.0,-72.5
51.0,-72.5
52.0,-72.5
53.0,-72.5
54.0,-72.25
55.0,-58.075641025641026
56.0,-54.59615384615385
57.0,-54.21153846153847
58.0,-53.82692307692307
59.0,-53.44230769230769
60.0,-53.05769230769231
61.0,-52.565384615384616
62.0,-44.653632478632474
63.0,-39.0
64.0,-39.1219512195122
65.0,-39.36585365853659
66.0,-41.518382352941174
67.0,-42.254901960784316
68.0,-42.794117647058826
69.0,-45.690931372549024
70.0,-51.25
71.0,-57.6
72.0,-72.41590909090908
73.0,-74.13986013986013
74.0,-76.01923076923076
75.0,-80.8
76.0,-81.0
77.0,-81.0
78.0,-81.0
79.0,-81.0
80.0,-81.0
81.0,-81.0
82.0,-81.0
83.0,-81.0
84.0,-81.0
85.0,-81.0
86.0,-81.0
87.0,-81.0
88.0,-81.0
89.0,-81.0
90.0,-81.0
91.0,-81.0
92.0,-81.0
93.0,-80.99549549549549
94.0,-80.9572072072072
95.0,-80.91216216216216
96.0,-80.86711711711712
97.0,-80.82207207207207
98.0,-80.77702702702703
99.0,-80.73198198198199
100.0,-80.68693693693693
101.0,-80.6418918918919
102.0,-80.59684684684684
103.0,-80.5518018018018
104.0,-79.28900491400492
105.0,-76.14545454545456
106.0,-76.0
107.0,-76.0
108.0,-76.0
109.0,-76.0
110.0,-76.0
111.0,-79.56363636363636
112.0,-80.0
113.0,-80.0
114.0,-80.0
115.0,-80.0
116.0,-80.0
117.0,-80.0
118.0,-80.0
119.0,-77.15833333333333
120.0,-68.53928571428571
121.0,-70.41
122.0,-79.55
123.0,-80.0
124.0,-80.0
125.0,-80.0
126.0,-80.0
127.0,-80.0
128.0,-80.0
129.0,-80.0
130.0,-80.0
131.0,-80.0
132.0,-79.98524590163935
133.0,-79.94467213114754
134.0,-79.90368852459017
135.0,-79.86270491803279
136.0,-79.82172131147541
137.0,-79.78073770491804
138.0,-79.73975409836065
139.0,-79.69877049180329
140.0,-79.6577868852459
141.0,-79.61680327868854
142.0,-79.57581967213115
143.0,-79.53483606557377
144.0,-76.80245901639344
145.0,-75.125
146.0,-75.875
147.0,-76.41125541125541
148.0,-76.58441558441558
149.0,-76.75757575757575
150.0,-76.92987012987012
151.0,-77.0
152.0,-77.0
153.0,-77.0
154.0,-77.0
155.0,-77.0
156.0,-77.0
157.0,-75.20909090909092
158.0,-72.42045454545455
159.0,-71.59545454545454
160.0,-63.629999999999995
