Time(sec),AJE5OG666CBAC
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-99.1
45.0,-93.0
46.0,-93.0
47.0,-93.0
48.0,-98.40344497607656
49.0,-99.01291866028708
50.0,-99.02248803827752
51.0,-99.03205741626795
52.0,-99.04162679425838
53.0,-99.05119617224881
54.0,-99.06071770334928
55.0,-99.06722488038278
56.0,-99.07200956937798
57.0,-99.07679425837321
58.0,-99.08157894736841
59.0,-99.08636363636364
60.0,-99.09114832535884
61.0,-99.09593301435407
62.0,-99.10071770334928
63.0,-99.1055023923445
64.0,-99.1102870813397
65.0,-99.11507177033494
66.0,-99.11985645933014
67.0,-99.12464114832537
68.0,-99.12942583732057
69.0,-99.1342105263158
70.0,-99.138995215311
71.0,-99.14377990430623
72.0,-99.14856459330143
73.0,-99.15334928229666
74.0,-99.15813397129186
75.0,-99.16291866028709
76.0,-99.16770334928229
77.0,-99.17248803827752
78.0,-99.17727272727272
79.0,-99.18205741626795
80.0,-99.18684210526315
81.0,-99.19162679425838
82.0,-99.19641148325358
83.0,-99.20119617224881
84.0,-99.20598086124402
85.0,-99.21076555023924
86.0,-99.21555023923445
87.0,-99.22033492822968
88.0,-99.22511961722488
89.0,-99.2299043062201
90.0,-99.23468899521531
91.0,-99.23947368421054
92.0,-99.24425837320574
93.0,-99.24904306220097
94.0,-99.25382775119617
95.0,-99.25861244019138
96.0,-99.2633971291866
97.0,-99.26818181818182
98.0,-99.27296650717703
99.0,-99.27775119617225
100.0,-99.28253588516746
101.0,-99.28732057416268
102.0,-99.2921052631579
103.0,-99.29688995215311
104.0,-99.30167464114832
105.0,-99.30645933014354
106.0,-99.31124401913875
107.0,-99.31602870813397
108.0,-99.32081339712919
109.0,-99.3255980861244
110.0,-99.33038277511962
111.0,-99.33516746411483
112.0,-99.33995215311005
113.0,-99.34473684210526
114.0,-99.34952153110048
115.0,-99.3543062200957
116.0,-99.35909090909091
117.0,-99.36387559808612
118.0,-99.36866028708134
119.0,-99.37344497607656
120.0,-99.37822966507177
121.0,-99.38301435406699
122.0,-99.3877990430622
123.0,-99.39258373205742
124.0,-99.39736842105263
125.0,-99.40215311004785
126.0,-99.40693779904306
127.0,-99.41172248803828
128.0,-99.4165071770335
129.0,-99.42129186602871
130.0,-99.42607655502393
131.0,-99.43086124401914
132.0,-99.43564593301436
133.0,-99.44043062200957
134.0,-99.44521531100479
135.0,-99.45
136.0,-99.4547846889952
137.0,-99.45956937799043
138.0,-99.46435406698563
139.0,-99.46913875598086
140.0,-99.47392344497607
141.0,-99.4787081339713
142.0,-99.4834928229665
143.0,-99.48827751196173
144.0,-99.49306220095693
