Time(sec),AZSSG2REHDX18
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-81.06567251461988
10.0,-67.90625
11.0,-67.125
12.0,-50.68629031120829
13.0,-15.346923076923076
14.0,-15.0
15.0,4.323055555555555
16.0,18.0
17.0,32.55684273815852
18.0,56.333333333333336
19.0,65.75555555555556
20.0,66.0
21.0,66.0
22.0,66.0
23.0,66.0
24.0,67.27333333333334
25.0,81.875
26.0,82.0
27.0,82.0
28.0,82.0
29.0,82.0
30.0,82.0
31.0,82.0
32.0,82.0
33.0,82.0
34.0,82.0
35.0,82.0
36.0,82.0
37.0,82.0
38.0,73.0985606060606
39.0,40.52455539558481
40.0,78.13636363636364
41.0,80.0
42.0,80.0
43.0,80.0
44.0,80.0
45.0,55.12377272727273
46.0,1.3875925925925925
47.0,-4.0
48.0,-4.0
49.0,-7.1219343891402715
50.0,-43.01565656565656
51.0,-52.816517857142856
52.0,-70.5908692185008
53.0,-100.0
54.0,-100.0
55.0,-95.98894736842105
56.0,-83.0
57.0,-70.42115384615384
58.0,-46.47201086956522
59.0,-39.0
60.0,-39.0
61.0,-39.0
62.0,-39.0
63.0,-16.232238215488216
64.0,10.975
65.0,11.0
66.0,11.0
67.0,11.0
68.0,11.0
69.0,11.103846153846153
70.0,29.96284271284271
71.0,33.0
72.0,33.0
73.0,33.0
74.0,33.0
75.0,33.0
76.0,33.0
77.0,33.0
78.0,33.0
79.0,33.0
80.0,33.0
81.0,33.0
82.0,33.0
83.0,33.0
84.0,33.0
85.0,33.0
86.0,33.0
87.0,33.0
88.0,33.0
89.0,33.0
90.0,33.0
91.0,33.0
92.0,33.0
93.0,33.0
94.0,33.0
95.0,33.0
96.0,33.0
97.0,33.0
98.0,34.32192307692308
99.0,45.0
100.0,45.0
101.0,45.0
102.0,45.0
103.0,45.0
104.0,45.0
105.0,45.0
106.0,45.0
107.0,45.0
108.0,45.0
109.0,45.0
110.0,45.0
111.0,45.0
112.0,45.0
113.0,45.0
114.0,45.0
115.0,45.0
116.0,45.0
117.0,45.0
118.0,45.0
119.0,45.0
120.0,45.0
121.0,45.0
122.0,45.0
123.0,45.0
124.0,45.0
125.0,45.0
126.0,41.49313725490196
127.0,-35.79553655726424
128.0,-45.73410794602698
129.0,4.729111842105263
130.0,12.0
131.0,12.0
132.0,12.0
133.0,13.814285714285713
134.0,26.0
135.0,26.0
136.0,26.0
137.0,11.760497835497835
138.0,-26.0
139.0,-19.846875
140.0,10.898809523809524
141.0,13.255263157894737
142.0,44.57373949579832
143.0,46.0
144.0,46.0
145.0,46.0
146.0,56.28166215170279
147.0,71.0
148.0,71.0
149.0,71.0
150.0,71.0
151.0,71.0
152.0,71.0
153.0,71.0
154.0,71.0
155.0,71.0
156.0,71.0
157.0,71.0
158.0,71.0
159.0,71.0
160.0,71.0
161.0,71.0
162.0,71.0
163.0,71.0
164.0,71.0
165.0,71.0
166.0,71.0
167.0,71.0
168.0,71.0
169.0,71.0
170.0,71.0
171.0,71.0
172.0,71.0
173.0,71.0
174.0,71.0
175.0,71.0
176.0,71.0
177.0,71.0
178.0,71.0
179.0,71.0
180.0,71.0
181.0,71.0
182.0,71.0
183.0,71.0
184.0,71.0
185.0,48.18042557932264
186.0,34.0
187.0,34.0
188.0,34.0
