Time(sec),AJE5OG666CBAC
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-100.0
80.0,-100.0
81.0,-100.0
82.0,-99.96770186335404
83.0,-90.55135017259197
84.0,-86.0
85.0,-86.0
86.0,-86.0
87.0,-86.0
88.0,-86.0
89.0,-86.0
90.0,-86.0
91.0,-88.11111111111111
92.0,-93.5
93.0,-96.4252718006795
94.0,-99.00385050962628
95.0,-99.0083805209513
96.0,-99.01291053227632
97.0,-99.01744054360135
98.0,-99.02095130237825
99.0,-99.02321630804076
100.0,-99.0254813137033
101.0,-99.0277463193658
102.0,-99.03001132502831
103.0,-99.03227633069083
104.0,-99.03454133635334
105.0,-99.03680634201586
106.0,-99.03907134767837
107.0,-99.04133635334088
108.0,-99.0436013590034
109.0,-99.04586636466591
110.0,-99.04813137032843
111.0,-99.05039637599094
112.0,-99.05266138165345
113.0,-99.05492638731597
114.0,-99.05719139297848
115.0,-99.059456398641
116.0,-99.06172140430351
117.0,-99.06398640996602
118.0,-99.06625141562854
119.0,-99.06851642129105
120.0,-99.07078142695357
121.0,-99.07304643261608
122.0,-99.07531143827859
123.0,-99.07757644394111
124.0,-99.07984144960362
125.0,-99.08210645526614
126.0,-99.08437146092865
127.0,-99.08663646659116
128.0,-99.08890147225368
129.0,-99.09116647791619
130.0,-99.09343148357871
131.0,-99.09569648924122
132.0,-99.09796149490373
133.0,-99.10022650056625
134.0,-99.10249150622876
135.0,-99.10475651189128
136.0,-99.10702151755379
137.0,-99.1092865232163
138.0,-99.11155152887882
139.0,-99.11381653454134
140.0,-99.11608154020385
141.0,-99.11834654586637
142.0,-99.12061155152887
143.0,-99.1228765571914
144.0,-99.12514156285391
145.0,-99.12740656851642
146.0,-99.12967157417894
147.0,-99.13193657984145
148.0,-99.13420158550397
149.0,-99.13646659116648
150.0,-99.13873159682899
151.0,-99.14099660249151
152.0,-99.14326160815402
153.0,-99.14552661381654
154.0,-99.14779161947905
155.0,-99.15005662514156
156.0,-99.15232163080408
157.0,-99.15458663646659
