Time(sec),A1W7S7ALCLVTL
0.0,-99.95374548736461
1.0,-99.86123646209386
2.0,-99.76132671480144
3.0,-99.66696750902527
4.0,-99.56520758122744
5.0,-99.47269855595667
6.0,-99.37278880866425
7.0,-99.27842960288808
8.0,-99.17666967509025
9.0,-99.0841606498195
10.0,-98.97685018050541
11.0,-98.80663357400722
12.0,-98.6216155234657
13.0,-98.43659747292419
14.0,-98.25157942238266
15.0,-98.06656137184116
16.0,-97.88154332129963
17.0,-97.69652527075813
18.0,-97.5115072202166
19.0,-97.32648916967509
20.0,-97.14147111913357
21.0,-96.95645306859205
22.0,-96.77143501805054
23.0,-96.58641696750902
24.0,-96.40139891696751
25.0,-96.216380866426
26.0,-96.03136281588448
27.0,-95.84634476534296
28.0,-95.66132671480145
29.0,-95.47630866425993
30.0,-95.29129061371842
31.0,-95.10627256317689
32.0,-94.92125451263539
33.0,-94.73623646209386
34.0,-94.55121841155236
35.0,-94.36620036101083
36.0,-94.18118231046932
37.0,-93.9961642599278
38.0,-93.81114620938628
39.0,-93.62612815884476
40.0,-93.44111010830325
41.0,-93.25609205776173
42.0,-93.07107400722022
43.0,-92.8860559566787
44.0,-92.70103790613719
45.0,-92.51601985559566
46.0,-92.33100180505416
47.0,-92.14598375451263
48.0,-91.96096570397113
49.0,-91.7759476534296
50.0,-91.59092960288808
51.0,-91.40591155234657
52.0,-91.22089350180505
53.0,-91.03587545126354
54.0,-90.85085740072202
55.0,-90.6658393501805
56.0,-90.48082129963899
57.0,-90.29580324909747
58.0,-90.11078519855596
59.0,-89.92576714801444
60.0,-89.74074909747293
61.0,-89.55573104693141
62.0,-89.3707129963899
63.0,-89.18569494584838
64.0,-89.00067689530685
65.0,-88.81565884476535
66.0,-88.63064079422382
67.0,-88.44562274368232
68.0,-88.26060469314079
69.0,-88.07558664259928
70.0,-87.89056859205776
71.0,-87.70555054151625
72.0,-87.52053249097473
73.0,-87.33551444043322
74.0,-87.15049638989169
75.0,-86.96547833935018
