Time(sec),AFV9RX3T7ZHIB
0.0,-99.96391068195534
1.0,-99.8676725005029
2.0,-99.75940454636894
3.0,-99.65113659223496
4.0,-99.5669281834641
5.0,-99.33836250251458
6.0,-98.25568296117481
7.0,-97.05270569301952
8.0,-95.84972842486421
9.0,-94.64675115670892
10.0,-93.44377388855361
11.0,-92.2407966203983
12.0,-91.03781935224302
13.0,-89.83484208408771
14.0,-88.6318648159324
15.0,-87.42888754777711
16.0,-86.2259102796218
17.0,-85.0229330114665
18.0,-83.81995574331121
19.0,-82.6169784751559
20.0,-81.41400120700061
21.0,-80.2110239388453
22.0,-79.00804667069
23.0,-77.80506940253471
24.0,-76.6020921343794
25.0,-75.3991148662241
26.0,-74.1961375980688
27.0,-72.9931603299135
28.0,-71.7901830617582
29.0,-70.5872057936029
30.0,-69.3842285254476
31.0,-68.1812512572923
32.0,-66.978273989137
33.0,-65.77529672098169
34.0,-64.5723194528264
35.0,-63.3693421846711
36.0,-62.166364916515796
37.0,-60.963387648360495
38.0,-59.76041038020519
39.0,-58.557433112049885
40.0,-57.3544558438946
41.0,-56.15147857573929
42.0,-54.94850130758399
43.0,-53.74552403942869
44.0,-52.542546771273386
45.0,-51.339569503118085
46.0,-50.136592234962784
47.0,-48.93361496680749
48.0,-47.73063769865219
49.0,-46.52766043049688
50.0,-45.324683162341586
51.0,-44.121705894186285
52.0,-42.91872862603098
53.0,-41.71575135787568
54.0,-40.51277408972038
55.0,-39.30979682156508
56.0,-38.10681955340978
57.0,-36.90384228525448
58.0,-35.700865017099176
59.0,-34.49788774894388
60.0,-33.29491048078857
61.0,-32.09193321263327
62.0,-30.888955944477978
63.0,-29.685978676322673
64.0,-28.483001408167375
65.0,-27.280024140012074
66.0,-26.077046871856773
67.0,-24.874069603701475
68.0,-23.67109233554617
69.0,-22.468115067390872
70.0,-21.26513779923557
71.0,-20.06216053108027
72.0,-18.85918326292497
73.0,-17.65620599476967
74.0,-16.453228726614366
75.0,-15.25025145845907
76.0,-14.047274190303767
77.0,-12.844296922148464
78.0,-11.641319653993165
79.0,-10.438342385837863
80.0,-9.235365117682564
81.0,-8.032387849527263
82.0,-6.829410581371962
83.0,-5.626433313216661
84.0,-4.423456045061362
85.0,-3.2204787769060603
86.0,-2.0175015087507604
87.0,-0.814524240595459
88.0,0.3884530275598408
89.0,1.591430295715142
90.0,2.7944075638704433
91.0,3.9973848320257432
92.0,5.200362100181044
93.0,6.403339368336344
94.0,7.606316636491646
95.0,8.809293904646946
96.0,10.012271172802247
97.0,11.215248440957549
98.0,12.41822570911285
99.0,13.62120297726815
100.0,14.824180245423452
101.0,16.02715751357875
102.0,17.23013478173405
103.0,18.433112049889353
104.0,19.63608931804465
105.0,20.839066586199955
106.0,22.042043854355253
107.0,23.245021122510554
108.0,24.447998390665855
109.0,25.650975658821153
110.0,26.853952926976454
111.0,28.05693019513176
112.0,29.25990746328706
113.0,30.462884731442358
114.0,31.66586199959766
115.0,32.86883926775296
116.0,34.07181653590826
117.0,35.27479380406356
118.0,36.477771072218864
119.0,37.680748340374166
120.0,38.88372560852946
121.0,40.08670287668476
122.0,41.28968014484006
123.0,42.49265741299537
124.0,43.695634681150665
125.0,44.898611949305966
126.0,46.10158921746127
127.0,47.30456648561657
128.0,48.50754375377187
129.0,49.71052102192717
130.0,50.91349829008247
131.0,52.11647555823777
132.0,53.31945282639307
133.0,54.52243009454837
134.0,55.72540736270368
135.0,56.92838463085898
136.0,58.131361899014266
137.0,59.334339167169574
138.0,60.537316435324875
