Time(sec),A21V0SPZ59EEA
0.0,-99.94704925440578
1.0,-99.8086940804338
2.0,-99.50465431540894
3.0,-99.16303660189787
4.0,-98.8214188883868
5.0,-98.47980117487573
6.0,-98.13818346136466
7.0,-97.87342973339358
8.0,-97.70262087663805
9.0,-97.53181201988251
10.0,-97.36100316312698
11.0,-97.19019430637145
12.0,-97.0193854496159
13.0,-96.84857659286038
14.0,-96.67776773610483
15.0,-96.5069588793493
16.0,-96.33615002259377
17.0,-96.20121102575688
18.0,-96.19096249435155
19.0,-96.19096249435155
20.0,-96.19096249435155
21.0,-96.19096249435155
22.0,-96.19096249435155
23.0,-96.19096249435155
24.0,-96.19096249435155
25.0,-96.19096249435155
26.0,-96.19096249435155
27.0,-96.15509263443289
28.0,-95.9945323090827
29.0,-95.82372345232716
30.0,-95.65291459557162
31.0,-95.48210573881609
32.0,-95.31129688206055
33.0,-95.14048802530502
34.0,-94.96967916854949
35.0,-94.79887031179393
36.0,-94.62806145503842
37.0,-94.45725259828286
38.0,-94.28644374152734
39.0,-94.11563488477181
40.0,-93.94482602801627
41.0,-93.77401717126074
42.0,-93.6032083145052
43.0,-93.43239945774965
44.0,-93.26159060099413
45.0,-93.09078174423858
46.0,-92.91997288748306
47.0,-92.74916403072753
48.0,-92.57835517397197
49.0,-92.40754631721646
50.0,-92.2367374604609
51.0,-92.06592860370537
52.0,-91.89511974694985
53.0,-91.7243108901943
54.0,-91.55350203343878
55.0,-91.38269317668323
56.0,-91.21188431992769
57.0,-91.04107546317216
58.0,-90.87026660641662
59.0,-90.6994577496611
60.0,-90.52864889290557
61.0,-90.35784003615002
62.0,-90.1870311793945
63.0,-90.01622232263895
64.0,-89.84541346588341
65.0,-89.67460460912788
66.0,-89.50379575237234
67.0,-89.33298689561681
68.0,-89.16217803886128
69.0,-88.99136918210573
70.0,-88.82056032535021
71.0,-88.64975146859466
72.0,-88.47894261183913
73.0,-88.3081337550836
74.0,-88.13732489832806
75.0,-87.93064618165386
76.0,-87.59927699954812
77.0,-87.25765928603705
78.0,-86.91604157252598
79.0,-86.57442385901491
80.0,-86.23280614550384
81.0,-85.89118843199277
82.0,-85.5495707184817
83.0,-85.20795300497062
84.0,-84.86633529145955
85.0,-84.56058743786716
86.0,-84.37953004970629
87.0,-84.20872119295075
88.0,-84.0379123361952
89.0,-83.86710347943968
90.0,-83.69629462268414
91.0,-83.52548576592861
92.0,-83.35467690917307
93.0,-83.18386805241752
94.0,-83.01305919566201
95.0,-82.84225033890645
96.0,-82.67144148215093
97.0,-82.5006326253954
98.0,-82.32982376863986
99.0,-82.15901491188433
100.0,-81.98820605512879
101.0,-81.81739719837324
102.0,-81.64658834161771
103.0,-81.47577948486217
104.0,-81.30497062810664
105.0,-81.13416177135112
106.0,-80.96335291459556
107.0,-80.79254405784005
108.0,-80.62173520108449
109.0,-80.45092634432896
110.0,-80.28011748757343
111.0,-80.10930863081789
112.0,-79.93849977406236
113.0,-79.76769091730682
114.0,-79.59688206055128
115.0,-79.42607320379575
116.0,-79.25526434704021
117.0,-79.08445549028468
118.0,-78.91364663352915
119.0,-78.7428377767736
120.0,-78.57202892001808
121.0,-78.40122006326253
122.0,-78.230411206507
123.0,-78.05960234975147
124.0,-77.88879349299593
125.0,-77.7179846362404
126.0,-77.54717577948486
127.0,-77.37636692272932
128.0,-77.20555806597379
129.0,-77.03474920921825
130.0,-76.86394035246272
131.0,-76.69313149570719
132.0,-76.52232263895164
133.0,-76.35151378219612
134.0,-76.18070492544058
135.0,-76.00989606868504
136.0,-75.88691369182105
137.0,-75.88178942611839
138.0,-75.81004970628106
139.0,-75.48892905558066
140.0,-75.17293267058292
141.0,-74.98504292815183
142.0,-74.81423407139629
143.0,-74.64342521464076
144.0,-74.47261635788523
145.0,-74.30180750112969
146.0,-74.13099864437416
147.0,-73.96018978761862
148.0,-73.78938093086308
149.0,-73.61857207410755
150.0,-73.447763217352
151.0,-73.27695436059648
152.0,-73.10614550384095
153.0,-72.93533664708539
154.0,-72.76452779032988
155.0,-72.59371893357434
156.0,-72.4229100768188
157.0,-72.27772254857659
158.0,-72.26064166290104
159.0,-72.26064166290104
160.0,-72.26064166290104
161.0,-72.26064166290104
162.0,-72.26064166290104
163.0,-72.26064166290104
164.0,-72.26064166290104
165.0,-72.26064166290104
166.0,-72.26064166290104
167.0,-72.23502033438771
168.0,-72.08129236330772
169.0,-71.9104835065522
170.0,-71.73967464979665
171.0,-71.50737460460913
172.0,-71.16746497966561
173.0,-70.82584726615454
174.0,-70.48422955264347
175.0,-70.1426118391324
176.0,-69.80099412562133
177.0,-69.45937641211026
178.0,-69.11775869859919
179.0,-68.77614098508812
180.0,-68.43452327157704
181.0,-68.15439674649797
182.0,-67.98187980117487
183.0,-67.81107094441934
184.0,-67.6402620876638
185.0,-67.46945323090827
186.0,-67.3037686398554
187.0,-67.25594215996385
188.0,-67.25594215996385
189.0,-67.25594215996385
190.0,-67.25594215996385
191.0,-67.25594215996385
192.0,-67.25594215996385
193.0,-67.25594215996385
194.0,-67.25594215996385
195.0,-67.25594215996385
196.0,-67.25081789426119
197.0,-67.12783551739719
198.0,-66.95702666064167
199.0,-66.78621780388612
200.0,-66.61540894713059
201.0,-66.44460009037506
202.0,-66.27379123361952
203.0,-66.10298237686399
204.0,-65.93217352010845
205.0,-65.76136466335291
206.0,-65.59055580659738
207.0,-65.41974694984184
208.0,-65.24893809308631
209.0,-65.07812923633078
210.0,-64.90732037957522
211.0,-64.73651152281971
212.0,-64.56570266606417
213.0,-64.39489380930863
214.0,-64.2240849525531
215.0,-64.05327609579756
216.0,-63.88246723904202
217.0,-63.71165838228649
218.0,-63.54084952553095
219.0,-63.37004066877542
220.0,-63.199231812019875
221.0,-63.02842295526434
222.0,-62.85761409850882
223.0,-62.68680524175328
224.0,-62.51599638499774
225.0,-62.34518752824221
226.0,-62.17437867148667
227.0,-62.00356981473114
228.0,-61.832760957975594
229.0,-61.66195210122006
230.0,-61.491143244464524
231.0,-61.32033438770899
232.0,-61.149525530953454
233.0,-60.97871667419791
234.0,-60.80790781744239
235.0,-60.637098960686856
236.0,-60.466290103931314
237.0,-60.29548124717578
238.0,-60.124672390420244
239.0,-59.95386353366471
240.0,-59.783054676909174
241.0,-59.61224582015363
242.0,-59.4414369633981
243.0,-59.27062810664256
244.0,-59.09981924988703
245.0,-58.92901039313149
246.0,-58.758201536375964
247.0,-58.58739267962043
248.0,-58.416583822864894
249.0,-58.24577496610935
250.0,-58.07496610935382
251.0,-57.90415725259828
252.0,-57.73334839584275
253.0,-57.56253953908721
254.0,-57.39173068233167
255.0,-57.220921825576134
256.0,-57.0501129688206
257.0,-56.87930411206507
258.0,-56.708495255309536
259.0,-56.537686398554
260.0,-56.366877541798466
261.0,-56.19606868504293
262.0,-56.02525982828739
263.0,-55.854450971531854
264.0,-55.68364211477632
265.0,-55.512833258020784
266.0,-55.34202440126525
267.0,-55.17121554450971
268.0,-55.000406687754186
269.0,-54.82959783099865
270.0,-54.65878897424311
271.0,-54.487980117487574
272.0,-54.31717126073204
273.0,-54.146362403976504
274.0,-53.97555354722097
275.0,-53.80474469046543
276.0,-53.63393583370989
277.0,-53.46312697695436
278.0,-53.29231812019882
279.0,-53.121509263443286
280.0,-52.950700406687744
281.0,-52.77989154993222
