Time(sec),A2LO2DX6H49IK
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-99.8923076923077
12.0,-98.91880341880342
13.0,-97.27160493827161
14.0,-97.0
15.0,-97.0
16.0,-97.0
17.0,-97.0
18.0,-97.0
19.0,-97.0
20.0,-97.0
21.0,-97.0
22.0,-97.0
23.0,-97.0
24.0,-97.0
25.0,-97.0
26.0,-97.0
27.0,-97.0
28.0,-97.0
29.0,-97.0
30.0,-97.0
31.0,-97.0
32.0,-97.0
33.0,-97.0
34.0,-97.0
35.0,-97.0
36.0,-97.0
37.0,-97.0
38.0,-97.0
39.0,-97.0
40.0,-97.0
41.0,-97.0
42.0,-97.0
43.0,-97.0
44.0,-97.0
45.0,-97.0
46.0,-97.0
47.0,-97.0
48.0,-97.0
49.0,-97.0
50.0,-97.0
51.0,-97.0
52.0,-97.0
53.0,-97.0
54.0,-97.0
55.0,-97.0
56.0,-97.0
57.0,-97.0
58.0,-97.0
59.0,-97.0
60.0,-97.0
61.0,-97.0
62.0,-97.0
63.0,-97.0
64.0,-97.0
65.0,-97.0
66.0,-97.0
67.0,-97.0
68.0,-97.0
69.0,-97.0
70.0,-97.0
71.0,-97.0
72.0,-97.0
73.0,-97.0
74.0,-97.0
75.0,-97.0
76.0,-97.0
77.0,-97.0
78.0,-97.0
79.0,-97.0
80.0,-97.0
81.0,-97.0
82.0,-97.0
83.0,-97.0
84.0,-97.0
85.0,-97.0
86.0,-97.0
87.0,-97.0
88.0,-97.0
89.0,-97.0
90.0,-97.0
91.0,-97.0
92.0,-97.0
93.0,-97.0
94.0,-97.0
95.0,-97.0
96.0,-97.0
97.0,-97.0
98.0,-97.0
99.0,-97.0
100.0,-97.0
101.0,-97.0
102.0,-97.0
103.0,-97.0
104.0,-97.0
105.0,-97.0
106.0,-97.0
107.0,-97.0
108.0,-97.0
109.0,-97.0
110.0,-97.0
111.0,-97.0
112.0,-97.0
113.0,-97.0
114.0,-97.0
115.0,-97.0
116.0,-97.0
117.0,-97.0
118.0,-97.0
119.0,-97.0
120.0,-97.0
121.0,-97.0
122.0,-97.0
123.0,-97.0
124.0,-97.0
125.0,-97.0
126.0,-97.0
127.0,-97.0
128.0,-97.0
129.0,-97.0
130.0,-97.0
131.0,-97.0
132.0,-97.0
133.0,-97.0
134.0,-97.0
135.0,-97.0
136.0,-97.0
137.0,-97.0
138.0,-97.0
139.0,-97.0
140.0,-97.0
141.0,-97.0
142.0,-97.0
143.0,-97.0
144.0,-97.0
145.0,-97.0
146.0,-97.0
147.0,-97.0
148.0,-97.0
149.0,-97.0
150.0,-97.0
151.0,-97.0
152.0,-97.0
153.0,-97.0
154.0,-97.0
155.0,-97.0
156.0,-97.0
157.0,-97.0
158.0,-97.0
159.0,-97.0
160.0,-97.0
161.0,-97.0
162.0,-97.0
163.0,-97.0
164.0,-97.0
165.0,-97.0
166.0,-97.0
167.0,-97.0
168.0,-97.0
169.0,-97.0
170.0,-97.0
171.0,-97.0
172.0,-97.0
173.0,-97.0
174.0,-97.0
175.0,-97.0
176.0,-97.0
177.0,-97.0
178.0,-97.0
179.0,-97.0
180.0,-97.0
181.0,-97.0
182.0,-97.0
183.0,-97.0
184.0,-97.0
185.0,-97.0
