Time(sec),ABIX4VABZUCW3
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-99.99849749582638
77.0,-99.99436560934892
78.0,-99.99019198664442
79.0,-99.9860183639399
80.0,-99.98184474123539
81.0,-99.97767111853088
82.0,-99.97349749582638
83.0,-99.96932387312187
84.0,-99.96515025041737
85.0,-99.96097662771285
86.0,-99.95680300500835
87.0,-99.95262938230384
88.0,-99.94845575959934
89.0,-99.94428213689483
90.0,-99.94010851419031
91.0,-99.9359348914858
92.0,-99.9317612687813
93.0,-99.92758764607679
94.0,-99.92341402337229
95.0,-99.91924040066777
96.0,-99.91506677796328
97.0,-99.91089315525878
98.0,-99.90671953255426
99.0,-99.90254590984975
100.0,-99.89837228714524
101.0,-99.89419866444072
102.0,-99.89002504173622
103.0,-99.88585141903172
104.0,-99.88167779632721
105.0,-99.87750417362271
106.0,-99.8733305509182
107.0,-99.8691569282137
108.0,-99.86498330550918
109.0,-99.86080968280467
110.0,-99.85663606010016
111.0,-99.85246243739566
112.0,-99.84828881469114
113.0,-99.84411519198665
114.0,-99.83994156928213
115.0,-99.83576794657763
116.0,-99.83159432387313
117.0,-99.82742070116862
118.0,-99.8232470784641
119.0,-99.8190734557596
120.0,-99.8148998330551
121.0,-99.81072621035058
122.0,-99.80655258764608
123.0,-99.80237896494157
124.0,-99.79820534223707
125.0,-99.79403171953255
126.0,-99.78985809682806
127.0,-99.78568447412354
128.0,-99.78151085141903
129.0,-99.77733722871452
130.0,-99.77316360601002
131.0,-99.7689899833055
132.0,-99.764816360601
133.0,-99.76064273789649
134.0,-99.75646911519199
135.0,-99.75229549248749
136.0,-99.74812186978298
137.0,-99.74394824707846
138.0,-99.73977462437395
139.0,-99.73560100166944
140.0,-99.73142737896494
141.0,-99.72725375626044
142.0,-99.72308013355592
143.0,-99.71890651085143
144.0,-99.71473288814691
145.0,-99.71055926544241
146.0,-99.7063856427379
147.0,-99.70221202003339
148.0,-99.69803839732887
149.0,-99.69386477462437
150.0,-99.68969115191986
151.0,-99.68551752921536
152.0,-99.68134390651085
