Time(sec),A11PJ3TQ4LWGW
0.0,-99.07921875
1.0,-97.043125
2.0,-95.03296875
3.0,-92.98390624999999
4.0,-90.9478125
5.0,-88.91171875
6.0,-86.88859375
7.0,-84.85249999999999
8.0,-82.829375
9.0,-81.26015625
10.0,-79.96328125
11.0,-78.66640625
12.0,-77.36953125
13.0,-76.07265625
14.0,-74.77578125
15.0,-73.47890625
16.0,-72.18203125
17.0,-70.88515625
18.0,-69.58828125
19.0,-68.29140625
20.0,-66.99453125
21.0,-65.69765625
22.0,-64.40078125
23.0,-63.10390625
24.0,-61.80703125
25.0,-60.51015625
26.0,-59.21328125
27.0,-57.91640625
28.0,-56.61953125
29.0,-55.32265625
30.0,-54.02578125
31.0,-52.72890625
32.0,-51.43203125
33.0,-50.135156249999994
34.0,-48.838281249999994
35.0,-47.541406249999994
36.0,-46.244531249999994
37.0,-44.947656249999994
38.0,-43.650781249999994
39.0,-42.353906249999994
40.0,-41.057031249999994
41.0,-39.760156249999994
42.0,-38.463281249999994
43.0,-37.166406249999994
44.0,-35.869531249999994
45.0,-34.572656249999994
46.0,-33.275781249999994
47.0,-31.978906249999994
48.0,-30.682031249999994
49.0,-29.385156249999994
50.0,-28.088281249999994
51.0,-26.791406249999994
52.0,-25.494531249999994
53.0,-24.197656249999994
54.0,-22.900781249999994
55.0,-21.603906249999994
56.0,-20.307031249999994
57.0,-19.010156249999994
58.0,-17.713281249999994
59.0,-16.416406249999994
60.0,-15.11953124999999
61.0,-13.82265624999999
62.0,-12.52578124999999
63.0,-11.22890624999999
64.0,-9.93203124999999
65.0,-8.63515624999999
66.0,-7.338281249999992
67.0,-6.041406249999992
68.0,-4.744531249999992
69.0,-3.4476562499999917
70.0,-2.1507812499999917
71.0,-0.8539062499999914
72.0,0.4429687500000085
73.0,1.7398437500000086
74.0,2.569843750000004
75.0,2.582812500000003
76.0,2.582812500000003
77.0,2.582812500000003
78.0,2.582812500000003
79.0,2.582812500000003
80.0,2.582812500000003
81.0,2.582812500000003
82.0,2.582812500000003
83.0,2.582812500000003
84.0,3.049687500000007
85.0,4.333593750000008
86.0,5.630468750000008
87.0,6.927343750000008
88.0,8.22421875000001
89.0,9.52109375000001
90.0,10.81796875000001
91.0,12.11484375000001
92.0,13.41171875000001
93.0,14.70859375000001
94.0,16.005468750000013
95.0,17.302343750000013
96.0,18.599218750000013
97.0,19.896093750000013
98.0,21.192968750000013
99.0,22.489843750000013
100.0,23.786718750000013
101.0,25.083593750000013
102.0,26.380468750000013
103.0,27.677343750000013
104.0,28.974218750000013
105.0,30.271093750000013
106.0,31.567968750000013
107.0,32.86484375000001
108.0,34.16171875000001
109.0,35.45859375000001
110.0,36.75546875000001
111.0,38.05234375000001
112.0,39.34921875000001
113.0,40.64609375000001
114.0,41.94296875000001
115.0,43.23984375000001
116.0,49.64421875000001
117.0,86.61713864306785
118.0,95.69734513274337
119.0,89.07787610619468
120.0,82.45840707964602
121.0,75.83893805309734
122.0,69.21946902654868
123.0,62.6
124.0,55.98053097345134
125.0,49.36106194690266
126.0,43.6683185840708
127.0,40.25929203539823
128.0,36.9495575221239
129.0,33.63982300884956
130.0,30.33008849557523
131.0,27.02035398230089
132.0,23.71061946902655
133.0,20.40088495575222
134.0,17.09115044247788
135.0,13.781415929203543
136.0,10.471681415929208
137.0,7.161946902654873
138.0,3.8522123893805373
139.0,1.2375221238938123
140.0,1.038938053097354
141.0,1.038938053097354
142.0,1.038938053097354
143.0,1.038938053097354
144.0,1.038938053097354
145.0,1.038938053097354
146.0,1.038938053097354
147.0,1.038938053097354
148.0,1.038938053097354
149.0,0.3438938053097417
150.0,-2.7672566371681357
151.0,-6.076991150442472
152.0,-9.386725663716808
153.0,-12.696460176991144
154.0,-16.00619469026548
155.0,-19.315929203539817
156.0,-22.625663716814152
157.0,-25.935398230088488
158.0,-29.245132743362824
159.0,-32.55486725663716
160.0,-36.361061946902645
161.0,-42.649557522123885
162.0,-49.26902654867256
163.0,-55.888495575221235
164.0,-62.5079646017699
165.0,-69.12743362831857
166.0,-75.74690265486724
167.0,-82.36637168141593
168.0,-82.72386061946902
169.0,-64.71083333333334
170.0,-35.97638888888889
171.0,-23.75
172.0,-15.1
173.0,-9.230357142857143
174.0,5.9279761904761905
175.0,21.2
176.0,32.90833333333333
177.0,45.8
178.0,53.875
179.0,55.8
180.0,57.0
181.0,58.97142857142857
182.0,60.28571428571429
183.0,61.4
184.0,64.0
185.0,65.0
186.0,66.0
187.0,67.76
188.0,71.54809523809524
189.0,88.31274427953
190.0,91.0
191.0,91.82729166666667
192.0,98.2969696969697
193.0,100.0
194.0,100.0
195.0,100.0
