Time(sec),A1NRY8F9U4AYE
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-99.99772727272727
62.0,-99.85227272727272
63.0,-71.43467611336033
64.0,-53.517543859649116
65.0,-52.87426900584795
66.0,-52.23099415204679
67.0,-51.58771929824561
68.0,-50.94444444444444
69.0,-50.301169590643276
70.0,-49.6578947368421
71.0,-49.014619883040936
72.0,-48.37134502923977
73.0,-47.728070175438596
74.0,-47.08479532163743
75.0,-46.441520467836256
76.0,-45.79824561403509
77.0,-45.251461988304094
78.0,-45.187134502923975
79.0,-45.187134502923975
80.0,-45.187134502923975
81.0,-45.187134502923975
82.0,-45.187134502923975
83.0,-45.187134502923975
84.0,-45.187134502923975
85.0,-45.187134502923975
86.0,-45.187134502923975
87.0,-45.090643274853804
88.0,-44.51169590643275
89.0,-43.868421052631575
90.0,-43.22514619883041
91.0,-42.58187134502924
92.0,-41.93859649122807
93.0,-41.2953216374269
94.0,-40.65204678362573
95.0,-40.00877192982456
96.0,-39.365497076023395
97.0,-38.72222222222222
98.0,-38.078947368421055
99.0,-37.43567251461989
100.0,-36.792397660818715
101.0,-36.14912280701755
102.0,-35.505847953216374
103.0,-34.8625730994152
104.0,-34.21929824561404
105.0,-33.57602339181287
106.0,-32.932748538011694
107.0,-32.28947368421053
108.0,-31.646198830409354
109.0,-31.00292397660819
110.0,-30.35964912280702
111.0,-29.716374269005847
112.0,-29.073099415204677
113.0,-28.429824561403514
114.0,-27.78654970760234
115.0,-27.14327485380117
116.0,-26.5
117.0,-25.85672514619883
118.0,-25.21345029239766
119.0,-24.570175438596493
120.0,-23.926900584795323
121.0,-23.283625730994153
122.0,-22.640350877192983
123.0,-21.997076023391816
124.0,-21.353801169590646
125.0,-20.710526315789476
126.0,-20.067251461988306
127.0,-19.423976608187136
128.0,-18.780701754385966
129.0,-18.137426900584796
130.0,-17.494152046783626
131.0,-16.85087719298246
132.0,-16.14327485380117
133.0,-14.953216374269008
134.0,-13.666666666666668
135.0,-12.38011695906433
136.0,-11.093567251461991
137.0,-9.80701754385965
138.0,-8.520467836257314
139.0,-7.233918128654975
140.0,-5.947368421052634
141.0,-4.660818713450295
142.0,-3.4385964912280733
143.0,-2.698830409356728
144.0,-2.0555555555555585
145.0,-1.4122807017543892
146.0,-0.7690058479532184
147.0,-0.12573099415205036
