Time(sec),A6PO7JT39QQGP
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-94.66071428571429
12.0,-93.53571428571429
13.0,-93.17857142857142
14.0,-93.0
15.0,-93.02000000000001
16.0,-96.765
17.0,-97.5
18.0,-97.5
19.0,-97.5
20.0,-97.5
21.0,-97.38333333333334
22.0,-91.22
23.0,-90.93529411764706
24.0,-86.34303405572756
25.0,-77.6421052631579
26.0,-74.0
27.0,-74.0
28.0,-74.0
29.0,-74.0
30.0,-74.0
31.0,-74.0
32.0,-78.44047619047619
33.0,-86.4875
34.0,-91.0
35.0,-92.3
36.0,-98.22346153846154
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-99.95909090909092
66.0,-99.8465909090909
67.0,-99.73295454545455
68.0,-99.61931818181817
69.0,-97.22037878787879
70.0,-85.30888888888889
71.0,-84.1411111111111
72.0,-77.85
73.0,-59.011811594202904
74.0,-44.076086956521735
75.0,-43.423913043478265
76.0,-38.08652173913043
77.0,-29.880000000000003
78.0,-18.898333333333333
79.0,-2.3666666666666663
80.0,18.0
81.0,38.777976190476195
82.0,64.71428571428571
83.0,88.75714285714285
84.0,97.5
85.0,97.5
86.0,97.5
87.0,97.5
88.0,97.5
89.0,97.5
90.0,97.5
91.0,97.5
92.0,97.5
93.0,97.33
94.0,79.16499999999999
95.0,53.20530303030303
96.0,19.261904761904763
97.0,-8.464469696969697
98.0,-42.173809523809524
99.0,-53.49155844155844
100.0,-82.71587301587302
101.0,-99.59285714285714
102.0,-99.9952380952381
103.0,-100.0
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-99.76666666666667
116.0,-82.21000000000001
117.0,-58.34166666666666
118.0,-52.0
119.0,-52.0
120.0,-52.0
121.0,-46.53055555555555
122.0,-32.420434782608694
123.0,-38.6755900621118
124.0,-69.35369167869167
125.0,-77.0
126.0,-78.67142857142856
127.0,-90.01666666666667
128.0,-98.975
129.0,-99.36
130.0,-99.5
131.0,-99.5
132.0,-99.5
133.0,-99.5
134.0,-99.5
135.0,-99.5
136.0,-99.5
137.0,-99.5
138.0,-99.5
139.0,-99.15
140.0,-72.29555555555555
141.0,-56.263392857142854
142.0,-67.36375000000001
143.0,-98.02112676056338
144.0,-98.0680751173709
145.0,-98.1150234741784
146.0,-98.1619718309859
147.0,-98.20892018779344
148.0,-98.25586854460093
149.0,-98.30258215962442
150.0,-98.33450704225352
151.0,-98.35798122065728
152.0,-98.38145539906102
153.0,-98.4049295774648
154.0,-98.42840375586854
155.0,-98.4518779342723
156.0,-98.47535211267606
157.0,-98.49647887323944
158.0,-91.58571428571429
159.0,-94.7520634920635
