Time(sec),AM2RT8BYNQFDR
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-98.075
19.0,-95.66666666666667
20.0,-95.66666666666667
21.0,-95.66666666666667
22.0,-95.66666666666667
23.0,-95.66666666666667
24.0,-95.66666666666667
25.0,-95.66666666666667
26.0,-95.66666666666667
27.0,-95.66666666666667
28.0,-91.71666666666667
29.0,-62.8
30.0,-47.94
31.0,-40.0
32.0,-40.0
33.0,-40.0
34.0,-40.0
35.0,-40.0
36.0,-40.0
37.0,-39.75
38.0,-31.4
39.0,-31.0
40.0,-31.0
41.0,-31.0
42.0,-31.0
43.0,-31.0
44.0,-31.0
45.0,-31.0
46.0,-31.0
47.0,-31.0
48.0,-17.345
49.0,41.465476190476195
50.0,57.0
51.0,34.29
52.0,-20.847608695652173
53.0,-71.04130434782607
54.0,-93.15391304347825
55.0,-89.5
56.0,-89.5
57.0,-89.5
58.0,-89.5
59.0,-89.5
60.0,-89.5
61.0,-89.5
62.0,-89.5
63.0,-89.5
64.0,-89.5
65.0,-81.96666666666667
66.0,-68.74333333333334
67.0,-62.75
68.0,-52.5875
69.0,-23.20049019607843
70.0,-23.156862745098042
71.0,-23.352941176470587
72.0,-23.54901960784314
73.0,-23.745098039215684
74.0,-23.937254901960785
75.0,-24.0
76.0,-24.0
77.0,-24.0
78.0,-24.0
79.0,-24.0
80.0,-24.0
81.0,-24.0
82.0,-24.0
83.0,-24.0
84.0,-24.0
85.0,-24.0
86.0,-24.0
87.0,-24.0
88.0,-24.0
89.0,-24.0
90.0,-24.0
91.0,-24.0
92.0,-24.0
93.0,-24.0
94.0,-24.0
95.0,-24.0
96.0,-24.0
97.0,-24.0
98.0,-24.0
99.0,-24.0
100.0,-24.0
101.0,-24.0
102.0,-24.0
103.0,-24.0
104.0,-24.0
105.0,-24.0
106.0,-24.0
107.0,-24.0
108.0,-24.0
109.0,-24.0
110.0,-24.0
111.0,-24.0
112.0,-24.0
113.0,-15.7
114.0,-19.749188034188034
115.0,-21.88888888888889
116.0,-30.19059829059829
117.0,-56.62902985074627
118.0,-60.514925373134325
119.0,-60.96268656716418
120.0,-61.41044776119403
121.0,-61.85820895522388
122.0,-62.30597014925373
123.0,-62.75373134328358
124.0,-63.0
125.0,-63.0
126.0,-63.0
127.0,-63.0
128.0,-63.0
129.0,-63.0
130.0,-63.0
131.0,-63.0
132.0,-63.0
133.0,-63.0
134.0,-63.0
135.0,-63.0
136.0,-63.0
137.0,-63.0
138.0,-62.98089171974523
139.0,-62.866242038216555
140.0,-62.738853503184714
141.0,-62.61146496815287
142.0,-62.48407643312102
143.0,-62.35668789808917
144.0,-62.22929936305733
145.0,-62.101910828025474
146.0,-61.974522292993626
147.0,-61.847133757961785
148.0,-61.719745222929944
149.0,-61.59235668789809
150.0,-61.46496815286624
151.0,-61.3375796178344
152.0,-61.210191082802545
153.0,-61.0828025477707
154.0,-52.31794055201698
155.0,-48.75396825396825
156.0,-48.079365079365076
157.0,-48.0
158.0,-48.0
159.0,-48.0
160.0,-48.0
161.0,-48.0
162.0,-48.0
163.0,-48.0
164.0,-48.0
