Time(sec),A1EK8YNHZHTW1
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-99.997
80.0,-99.80499999999999
81.0,-99.505
82.0,-99.205
83.0,-98.905
84.0,-98.60499999999999
85.0,-98.30499999999999
86.0,-98.005
87.0,-97.248
88.0,-90.62
89.0,-87.0
90.0,-87.0
91.0,-87.0
92.0,-87.0
93.0,-87.0
94.0,-87.0
95.0,-87.0
96.0,-87.0
97.0,-87.0
98.0,-87.0
99.0,-87.0
100.0,-87.0
101.0,-87.0
102.0,-87.0
103.0,-87.0
104.0,-87.0
105.0,-87.0
106.0,-87.0
107.0,-87.0
108.0,-87.0
109.0,-87.0
110.0,-87.0
111.0,-87.0
112.0,-87.0
113.0,-87.0
114.0,-87.0
115.0,-87.0
116.0,-87.0
117.0,-87.0
118.0,-87.0
119.0,-87.0
120.0,-87.0
121.0,-87.0
122.0,-87.0
123.0,-87.0
124.0,-87.0
125.0,-87.0
126.0,-87.0
127.0,-87.0
128.0,-87.0
129.0,-87.0
130.0,-87.0
131.0,-87.0
132.0,-87.0
133.0,-87.0
134.0,-87.0
135.0,-87.0
136.0,-87.0
137.0,-87.0
138.0,-87.0
139.0,-87.0
140.0,-87.0
141.0,-87.0
142.0,-87.0
143.0,-87.0
144.0,-87.0
145.0,-87.0
146.0,-87.0
147.0,-87.0
148.0,-87.0
149.0,-87.0
150.0,-87.0
151.0,-87.0
152.0,-87.0
153.0,-87.0
154.0,-87.0
155.0,-87.0
156.0,-87.0
157.0,-87.0
158.0,-87.0
159.0,-87.0
160.0,-87.0
161.0,-87.0
162.0,-87.0
163.0,-87.0
164.0,-87.0
165.0,-87.0
166.0,-87.0
167.0,-87.0
168.0,-87.0
169.0,-87.0
170.0,-87.0
171.0,-87.0
172.0,-87.0
173.0,-96.98419913419914
174.0,-98.14204545454545
175.0,-94.97256493506492
176.0,-81.66071428571429
177.0,-70.0814393939394
178.0,-59.800714285714285
179.0,-57.0
180.0,-57.0
181.0,-57.0
182.0,-46.34404761904762
