Time(sec),A1UH47OTAH2RT
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-98.98333333333332
4.0,-97.58333333333333
5.0,-97.39166666666667
6.0,-95.66666666666667
7.0,-95.66666666666667
8.0,-95.66666666666667
9.0,-94.13333333333334
10.0,-93.75
11.0,-93.75
12.0,-89.78380829015543
13.0,-78.07253886010362
14.0,-68.95336787564767
15.0,-59.83419689119171
16.0,-49.34715025906736
17.0,-32.020725388601036
18.0,-13.782383419689117
19.0,4.4559585492227995
20.0,22.694300518134717
21.0,40.932642487046635
22.0,59.170984455958546
23.0,77.40932642487047
24.0,76.94927461139896
25.0,15.851799326799327
26.0,-47.949806949806955
27.0,-78.6015444015444
28.0,-80.66795366795367
29.0,-80.66795366795367
30.0,-80.66795366795367
31.0,-80.66795366795367
32.0,-80.66795366795367
33.0,-80.66795366795367
34.0,-80.66795366795367
35.0,-87.96351158686488
36.0,-87.87999001996008
37.0,-86.71731536926147
38.0,-85.55464071856287
39.0,-84.39196606786427
40.0,-83.22929141716567
41.0,-82.06661676646706
42.0,-80.92138223552894
43.0,-80.17727045908183
44.0,-79.59593313373253
45.0,-79.01459580838323
46.0,-78.43325848303394
47.0,-77.85192115768463
48.0,-77.27058383233532
49.0,-76.68924650698602
50.0,-76.10790918163673
51.0,-75.52657185628742
52.0,-74.94523453093811
53.0,-74.36389720558881
54.0,-73.78255988023952
55.0,-73.20122255489022
56.0,-72.61988522954091
57.0,-72.03854790419162
58.0,-71.45721057884232
59.0,-70.87587325349301
60.0,-70.2945359281437
61.0,-69.7131986027944
62.0,-69.1318612774451
63.0,-68.5505239520958
64.0,-67.9691866267465
65.0,-67.38784930139721
66.0,-66.8065119760479
67.0,-66.2251746506986
68.0,-65.6438373253493
69.0,-65.0625
70.0,-64.48116267465069
71.0,-63.899825349301395
72.0,-63.31848802395209
73.0,-62.7371506986028
74.0,-62.15581337325349
75.0,-61.57447604790419
76.0,-60.99313872255489
77.0,-60.41180139720559
78.0,-59.830464071856284
79.0,-59.249126746506974
80.0,-58.66778942115768
81.0,-58.08645209580838
82.0,-57.50511477045908
83.0,-56.92377744510977
84.0,-56.342440119760475
85.0,-55.76110279441118
86.0,-55.17976546906188
87.0,-54.59842814371257
88.0,-54.01709081836327
89.0,-53.43575349301396
90.0,-52.85441616766467
91.0,-52.273078842315364
92.0,-51.69174151696607
93.0,-51.110404191616766
94.0,-49.75386726546906
95.0,-44.83333333333333
96.0,-44.0
97.0,-43.56
98.0,-43.04666666666667
99.0,-42.53333333333333
100.0,-41.8
101.0,-41.8
102.0,-40.36
103.0,-40.0
104.0,-40.0
105.0,-38.11818181818182
106.0,-24.004545454545454
107.0,-5.186363636363636
108.0,13.631818181818181
109.0,32.45
110.0,51.45636363636364
111.0,69.61091954022989
112.0,69.8103448275862
113.0,66.82183908045977
114.0,63.833333333333336
115.0,60.8448275862069
116.0,59.5
117.0,59.5
118.0,59.5
119.0,59.5
120.0,59.5
121.0,59.523936170212764
122.0,59.577127659574465
123.0,59.63031914893617
124.0,59.68351063829787
125.0,59.736702127659576
126.0,59.78989361702128
127.0,59.84308510638298
128.0,59.89627659574468
129.0,59.949468085106375
130.0,59.99468085106383
131.0,60.0
132.0,60.0
133.0,60.0
134.0,60.0
135.0,60.0
136.0,60.0
137.0,60.0
138.0,60.0
139.0,60.0
140.0,60.0
141.0,60.0
