Time(sec),A29R1LR84VSJU
0.0,-99.73954703832753
1.0,-99.16076267905535
2.0,-98.58197831978319
3.0,-98.00319396051103
4.0,-97.42440960123886
5.0,-96.8456252419667
6.0,-96.26684088269454
7.0,-95.68805652342238
8.0,-95.10927216415021
9.0,-94.53048780487805
10.0,-93.95170344560589
11.0,-93.37291908633372
12.0,-92.79413472706156
13.0,-92.2153503677894
14.0,-91.63656600851724
15.0,-91.05778164924507
16.0,-90.47899728997291
17.0,-89.90021293070075
18.0,-89.32142857142858
19.0,-88.74264421215642
20.0,-88.16385985288426
21.0,-87.58507549361208
22.0,-87.00629113433992
23.0,-86.42750677506776
24.0,-85.84872241579559
25.0,-85.26993805652343
26.0,-84.69115369725127
27.0,-84.11236933797909
28.0,-83.53358497870693
29.0,-82.95480061943476
30.0,-82.3760162601626
31.0,-81.79723190089044
32.0,-81.21844754161827
33.0,-80.63966318234611
34.0,-80.06087882307395
35.0,-79.48209446380179
36.0,-78.90331010452962
37.0,-78.32452574525746
38.0,-77.7457413859853
39.0,-77.16695702671313
40.0,-76.58817266744096
41.0,-76.0093883081688
42.0,-75.43060394889663
43.0,-74.85181958962447
44.0,-74.2730352303523
45.0,-73.69425087108014
46.0,-73.11546651180797
47.0,-72.5366821525358
48.0,-71.95789779326364
49.0,-71.37911343399148
50.0,-70.80032907471931
51.0,-70.22154471544715
52.0,-69.64276035617499
53.0,-69.06397599690283
54.0,-68.48519163763066
55.0,-67.9064072783585
56.0,-67.32762291908634
57.0,-66.74883855981417
58.0,-66.17005420054201
59.0,-65.59126984126985
60.0,-65.01248548199769
61.0,-64.43370112272552
62.0,-63.85491676345335
63.0,-63.27613240418119
64.0,-62.69734804490903
65.0,-62.118563685636865
66.0,-61.539779326364695
67.0,-60.96099496709253
68.0,-60.38221060782037
69.0,-59.803426248548206
70.0,-59.22464188927604
71.0,-58.64585753000388
72.0,-58.06707317073172
73.0,-57.488288811459554
74.0,-56.90950445218739
75.0,-56.33072009291523
76.0,-55.751935733643066
77.0,-55.17315137437089
78.0,-54.594367015098726
